EG	GN	SP	JW	Ori	LeftEnd	RightEnd
EG12332	erpA	P0ACC3	JW0152	Clockwise	176610	176954
EG12333	yadS	P0AFP0	JW0153	Counterclockwise	177001	177624
EG12334	btuF	P37028	JW0154	Counterclockwise	177662	178462
EG12335	cdaR	P37047	JW5013	Clockwise	182463	183620
EG12336	yaeH	P62768	JW0159	Counterclockwise	183709	184095
EG12337	yaeI	P37049	JW5014	Counterclockwise	184257	185069
EG12338	yagA	P37007	JW0260	Counterclockwise	280053	281207
EG12340	afuC	P37009	JW0254	Counterclockwise	276980	278026
EG12341	rseA	P0AFX7	JW2556	Counterclockwise	2706776	2707426
EG12342	yjjJ	P39410	JW4348	Clockwise	4619792	4621123
EG12343	yjjK	P0A9W3	JW4354	Counterclockwise	4626878	4628545
EG12344	pspF	P37344	JW1296	Counterclockwise	1364959	1365936
EG12345	ydfG	P39831	JW1532	Clockwise	1625541	1626287
EG12346	hokA	P37305	JW3526	Counterclockwise	3718471	3718623
EG12347	yecC	P37774	JW1902	Counterclockwise	1995086	1995838
EG12352	ppiC	P0A9L5	JW3748	Counterclockwise	3957555	3957836
EG12353	yifL	P0ADN6	JW3781	Clockwise	3992545	3992748
EG12354	yaeJ	P40711	JW0187	Clockwise	214833	215255
EG12356	rtcR	P38035	JW3385	Clockwise	3556290	3557888
EG12357	fadK	P38135	JW5910	Clockwise	1781055	1782701
EG12358	ssuB	P0AAI1	JW0916	Counterclockwise	992500	993267
EG12359	ybgD	P37909	JW0709	Counterclockwise	751452	752018
EG12360	yfaE	P0ABW3	JW2230	Clockwise	2346536	2346790
EG12361	kduD	P37769	JW2810	Counterclockwise	2980519	2981280
EG12362	menF	P38051	JW2260	Counterclockwise	2377370	2378665
EG12363	ygiL	P39834	JW3011	Clockwise	3183436	3183987
EG12365	prkB	P0AEX5	JW3318	Clockwise	3482512	3483381
EG12366	rsmE	P0AGL7	JW2913	Clockwise	3089156	3089887
EG12367	cusA	P38054	JW0564	Clockwise	597937	601080
EG12368	znuB	P39832	JW1848	Clockwise	1941438	1942223
EG12369	ydjE	P38055	JW1758	Counterclockwise	1850645	1852003
EG12370	intE	P75969	JW1126	Counterclockwise	1198902	1200029
EG12371	nlpI	P0AFB1	JW3132	Counterclockwise	3306062	3306946
EG12372	ygdG	P38506	JW5446	Clockwise	2929077	2929832
EG12373	ygdH	P0ADR8	JW2766	Clockwise	2924330	2925694
EG12374	yhfG	P0ADX5	JW3325	Counterclockwise	3489475	3489642
EG12375	ycaI	P37443	JW5120	Clockwise	963543	965807
EG12376	yfeH	P39836	JW5876	Clockwise	2524968	2525966
EG12378	yecD	P0ADI7	JW5307	Clockwise	1948856	1949422
EG12379	yecE	P37348	JW1857	Clockwise	1949419	1950237
EG12380	gntT	P39835	JW5690	Clockwise	3544581	3545897
EG12381	nrdF	P37146	JW2651	Clockwise	2801524	2802483
EG12382	fxsA	P37147	JW4100	Clockwise	4366687	4367163
EG12384	ybcF	P37306	JW0510	Clockwise	549662	550555
EG12385	rcsD	P39838	JW2204	Clockwise	2311510	2314182
EG12386	csiR	P37338	JW2639	Clockwise	2793696	2794358
EG12387	lhgO	P37339	JW2635	Clockwise	2788004	2789272
EG12388	sfmF	P38052	JW5072	Clockwise	562553	563068
EG12389	nanC	P69856	JW5778	Counterclockwise	4536808	4537524
EG12391	ydiE	P0ACX9	JW1695	Clockwise	1787637	1787828
EG12392	ychM	P0AFR2	JW5189	Counterclockwise	1258347	1260026
EG12393	ttdT	P39414	JW3035	Clockwise	3206046	3207509
EG12394	msrB	P0A746	JW1767	Counterclockwise	1860040	1860453
EG12395	ybgE	P0AAV0	JW0725	Clockwise	773532	773825
EG12396	yegE	P38097	JW2052	Clockwise	2141290	2144607
EG12397	ycbF	P40876	JW5124	Clockwise	1003170	1003880
EG12399	dhaM	P37349	JW5185	Counterclockwise	1246919	1248337
EG12400	mdtK	P37340	JW1655	Clockwise	1741481	1742854
EG12401	rlmN	P36979	JW2501	Counterclockwise	2641151	2642305
EG12402	chaB	P0AE63	JW1208	Clockwise	1271342	1271572
EG12403	chaC	P39163	JW1209	Clockwise	1271730	1272425
EG12404	ychN	P0AB52	JW1210	Counterclockwise	1272469	1272822
EG12405	ychO	P39165	JW1211	Clockwise	1273007	1274401
EG12406	ybiH	P0ACU0	JW0780	Counterclockwise	829195	829866
EG12407	iaaA	P37595	JW0812	Clockwise	865791	866756
EG12409	aegA	P37127	JW2452	Counterclockwise	2581568	2583547
EG12410	nudK	P37128	JW2451	Counterclockwise	2580925	2581500
EG12411	rfbD	P37760	JW2025	Counterclockwise	2109101	2110000
EG12412	rfbB	P37759	JW2026	Counterclockwise	2110000	2111085
EG12413	intS	P37326	JW2345	Clockwise	2464567	2465724
EG12414	gatA	P69828	"JW2078;JW2081"	Counterclockwise	2172619	2173071
EG12415	gatB	P37188	JW2077	Counterclockwise	2172304	2172588
EG12416	gatC	P69831	JW2076	Counterclockwise	2170945	2172300
EG12417	gatD	P0A9S3	JW2075	Counterclockwise	2169857	2170897
EG12418	gatZ	P37191	JW2082	Counterclockwise	2173081	2174343
EG12419	gatY	P37192	JW5343	Counterclockwise	2174372	2175226
EG12420	yfdC	P37327	JW2344	Clockwise	2463323	2464255
EG12421	ybiI	P41039	JW0788	Counterclockwise	837413	837679
EG12422	ybiJ	P0AAX3	JW0787	Counterclockwise	836888	837148
EG12423	tauD	P37610	JW0360	Clockwise	387019	387870
EG12424	prmC	P0ACC1	JW1203	Clockwise	1265317	1266150
EG12425	ogrK	P37057	JW2067	Counterclockwise	2165326	2165544
EG12427	modA	P37329	JW0746	Clockwise	794312	795085
EG12429	tomB	P0AAR0	JW0450	Counterclockwise	479558	479932
EG12431	puuR	P0A9U6	JW1292	Clockwise	1359935	1360492
EG12432	ydiF	P37766	JW1684	Clockwise	1773611	1775206
EG12433	rluB	P37765	JW1261	Clockwise	1324876	1325751
EG12434	ygiM	P0ADT8	JW3027	Clockwise	3199229	3199849
EG12436	rseP	P0AEH1	JW0171	Clockwise	196546	197898
EG12437	menE	P37353	JW2255	Counterclockwise	2371670	2373025
EG12438	menH	P37355	JW2258	Counterclockwise	2374856	2375614
EG12439	yjfF	P37772	JW5754	Clockwise	4451606	4452601
EG12440	mpl	P37773	JW4192	Clockwise	4453808	4455181
EG12442	yfjD	P37908	JW5415	Clockwise	2746796	2748082
EG12443	yggL	P38521	JW2926	Counterclockwise	3099829	3100155
EG12444	ycfJ	P0AB35	JW1096	Clockwise	1166822	1167361
EG12445	eamB	P38101	JW2562	Clockwise	2713445	2714032
EG12446	yfiL	P11289	JW5412	Clockwise	2739382	2739747
EG12447	speG	P0A951	JW1576	Clockwise	1654208	1654768
EG12448	ybcH	P37325	JW0556	Counterclockwise	586314	587204
EG12449	prmB	P39199	JW5841	Counterclockwise	2445530	2446462
EG12450	norW	P37596	JW2681	Clockwise	2831934	2833067
EG12451	rspA	P38104	JW1573	Counterclockwise	1651951	1653165
EG12452	rspB	P38105	JW1572	Counterclockwise	1650920	1651939
EG12453	rraB	P0AF90	JW4212	Clockwise	4476496	4476912
EG12454	ybaK	P0AAR3	JW0470	Counterclockwise	505827	506306
EG12455	lplT	P39196	JW2803	Counterclockwise	2970691	2971884
EG12456	gadC	P63235	JW1487	Counterclockwise	1566978	1568513
EG12457	ydgA	P77804	JW1606	Clockwise	1687876	1689384
EG12458	alsB	P39265	JW4049	Counterclockwise	4309130	4310065
EG12459	rpiR	P0ACS7	JW4050	Counterclockwise	4310124	4311014
EG12460	yjcZ	P39267	JW5729	Clockwise	4327383	4328261
EG12462	adiC	P60061	JW4076	Counterclockwise	4333717	4335054
EG12463	yjdF	P39270	JW4082	Counterclockwise	4342952	4343581
EG12464	dcuR	P0AD01	JW4085	Counterclockwise	4347338	4348057
EG12465	dcuS	P0AEC8	JW4086	Counterclockwise	4348054	4349685
EG12466	yjdI	P0AF59	JW4087	Clockwise	4349866	4350096
EG12467	yjdJ	P39274	JW4088	Clockwise	4350108	4350380
EG12468	yjdK	P0AF61	JW4089	Clockwise	4350607	4350903
EG12469	yjdL	P39276	JW4091	Counterclockwise	4352977	4354434
EG12470	yjeH	P39277	JW4101	Counterclockwise	4367179	4368435
EG12471	yjeI	P0AF70	JW5736	Clockwise	4370832	4371185
EG12472	yjeJ	P39279	JW4105	Counterclockwise	4371388	4372257
EG12473	yjeK	P39280	JW4106	Counterclockwise	4372652	4373680
EG12474	blc	P0A901	JW4110	Counterclockwise	4375212	4375745
EG12475	yjeM	P39282	JW5739	Clockwise	4381862	4383364
EG12476	yjeN	P39283	JW4118	Clockwise	4383416	4383730
EG12477	yjeO	P39284	JW4119	Clockwise	4383727	4384041
EG12478	yjeP	P39285	JW4120	Counterclockwise	4384070	4387393
EG12479	rsgA	P39286	JW4122	Counterclockwise	4388480	4389532
EG12480	orn	P0A784	JW5740	Clockwise	4389627	4390172
EG12481	yjeS	P39288	JW4124	Counterclockwise	4390951	4392090
EG12482	yjeT	P0AF73	JW4134	Clockwise	4402409	4402606
EG12483	rlmB	P63177	JW4138	Clockwise	4407298	4408029
EG12484	yjfI	P0AF76	JW4139	Clockwise	4408156	4408557
EG12485	yjfJ	P0AF78	JW4140	Clockwise	4408576	4409274
EG12486	yjfK	P39293	JW4141	Clockwise	4409325	4409984
EG12487	yjfL	P0AF80	JW4142	Clockwise	4410002	4410400
EG12488	yjfM	P39295	JW4143	Clockwise	4410410	4411048
EG12489	bsmA	P39297	JW5743	Counterclockwise	4414464	4414793
EG12490	yjfP	P39298	JW4148	Clockwise	4414975	4415724
EG12491	ulaR	P0A9W0	JW4149	Counterclockwise	4415721	4416476
EG12492	ulaG	P39300	JW5868	Counterclockwise	4416584	4417648
EG12493	ulaA	P39301	JW5744	Clockwise	4418003	4419400
EG12494	ulaB	P69822	JW4152	Clockwise	4419416	4419721
EG12495	ulaC	P69820	JW4153	Clockwise	4419731	4420195
EG12496	ulaD	P39304	JW4154	Clockwise	4420209	4420859
EG12497	ulaE	P39305	JW4155	Clockwise	4420869	4421723
EG12498	ulaF	P39306	JW4156	Clockwise	4421723	4422409
EG12499	yjfY	P0AF86	JW4157	Counterclockwise	4422539	4422814
EG12500	yjfZ	P39308	JW4162	Counterclockwise	4424651	4425445
EG12502	ytfB	P39310	JW5745	Counterclockwise	4426102	4426740
EG12503	fklB	P0A9L3	JW5746	Clockwise	4426958	4427578
EG12504	cycA	P0AAE0	JW4166	Clockwise	4427887	4429299
EG12505	ytfE	P69506	JW4167	Counterclockwise	4429344	4430006
EG12506	ytfF	P39314	JW4168	Counterclockwise	4430114	4431079
EG12507	qorB	P39315	JW4169	Counterclockwise	4431187	4432047
EG12508	ytfH	P0ACN2	JW5747	Clockwise	4432136	4432516
EG12509	ytfI	P39317	JW5748	Clockwise	4435730	4436668
EG12510	ytfJ	P39187	JW4175	Counterclockwise	4436731	4437285
EG12511	ytfK	P0ADE2	JW5749	Clockwise	4437610	4437816
EG12512	ytfL	P0AE45	JW4177	Counterclockwise	4437895	4439238
EG12513	ytfM	P0ADE4	JW4179	Clockwise	4440405	4442138
EG12514	ytfN	P39321	JW4180	Clockwise	4442135	4445914
EG12516	ytfP	P0AE48	JW4181	Clockwise	4445917	4446258
EG12517	ytfQ	P39325	JW4186	Clockwise	4447985	4448941
EG12518	ytfR	Q6BEX0	JW5752	Clockwise	4449081	4450583
EG12520	ytfT	P39328	JW5753	Clockwise	4450594	4451619
EG12521	yjfN	P0AF82	JW5742	Counterclockwise	4414040	4414315
EG12522	garD	P39829	JW3097	Clockwise	3273304	3274875
EG12523	nrdG	P0A9N8	JW4196	Counterclockwise	4457923	4458387
EG12524	yjgF	P0AF93	JW5755	Counterclockwise	4468550	4468936
EG12525	mgtA	P0ABB8	JW4201	Clockwise	4465648	4468344
EG12527	yjgH	P39332	JW4206	Counterclockwise	4470837	4471232
EG12528	yjgI	P39333	JW4207	Counterclockwise	4471363	4472076
EG12529	yjgJ	P39334	JW4208	Clockwise	4472147	4472740
EG12530	tabA	P0AF96	JW5756	Clockwise	4472885	4473337
EG12531	yjgL	P39336	JW5757	Clockwise	4473460	4475274
EG12532	yjgM	P39337	JW5758	Counterclockwise	4477057	4477560
EG12533	yjgN	P39338	JW5759	Clockwise	4477753	4478949
EG12535	lptF	P0AF98	JW4218	Clockwise	4484241	4485341
EG12536	lptG	P0ADC6	JW5760	Clockwise	4485341	4486423
EG12537	yjgR	P39342	JW4220	Counterclockwise	4486584	4488086
EG12538	idnR	P39343	JW4221	Counterclockwise	4488164	4489162
EG12539	idnT	P39344	JW4222	Counterclockwise	4489229	4490548
EG12540	idnO	P0A9P9	JW4223	Counterclockwise	4490610	4491374
EG12541	idnD	P39346	JW4224	Counterclockwise	4491398	4492429
EG12544	yjhB	P39352	JW5768	Clockwise	4502081	4503298
EG12545	yjhC	P39353	JW5769	Clockwise	4503310	4504428
EG12548	yjhF	P39357	JW4258	Counterclockwise	4518694	4520043
EG12549	yjhG	P39358	JW4259	Counterclockwise	4520150	4522117
EG12550	yjhH	P39359	JW5775	Counterclockwise	4522128	4523033
EG12551	yjhI	P39360	JW4261	Counterclockwise	4523038	4523826
EG12552	sgcR	P39361	JW4262	Counterclockwise	4524129	4524911
EG12553	sgcE	P39362	JW4263	Counterclockwise	4524928	4525560
EG12554	sgcA	P39363	JW4264	Counterclockwise	4525572	4526003
EG12555	sgcQ	P39364	JW4265	Counterclockwise	4526134	4526940
EG12556	sgcC	P39365	JW4266	Counterclockwise	4526953	4528266
EG12557	sgcX	P39366	JW5776	Counterclockwise	4528553	4529674
EG12558	yjhP	P39367	JW4268	Counterclockwise	4530460	4531206
EG12559	yjhQ	P39368	JW4269	Counterclockwise	4531262	4531807
EG12561	nanS	P39370	JW4272	Counterclockwise	4534637	4535617
EG12562	nanM	P39371	JW5777	Counterclockwise	4535682	4536788
EG12563	gntP	P0AC94	JW4284	Counterclockwise	4547976	4549319
EG12564	yjiC	P39374	JW4288	Counterclockwise	4553513	4554343
EG12565	iraD	P39375	JW5782	Clockwise	4555016	4555408
EG12566	qseD	P39376	JW4290	Counterclockwise	4555401	4556312
EG12567	iadA	P39377	JW4291	Counterclockwise	4556377	4557549
EG12568	yjiG	P0AEH8	JW4292	Counterclockwise	4557562	4558023
EG12569	yjiH	P39379	JW5783	Counterclockwise	4558020	4558703
EG12570	kptA	P39380	JW5784	Clockwise	4558953	4559507
EG12571	yjiJ	P39381	JW4295	Counterclockwise	4559520	4560698
EG12572	yjiK	P39382	JW5869	Counterclockwise	4560766	4561626
EG12573	yjiL	P39383	JW5785	Counterclockwise	4561945	4562712
EG12574	yjiM	P39384	JW5786	Counterclockwise	4562722	4563873
EG12575	yjiN	P39385	JW4299	Counterclockwise	4563989	4565269
EG12576	mdtM	P39386	JW4300	Counterclockwise	4565310	4566542
EG12579	yjiR	P39389	JW4303	Counterclockwise	4568185	4569597
EG12580	yjiS	P39390	JW4304	Clockwise	4569774	4569938
EG12584	symE	P39394	JW4310	Counterclockwise	4577522	4577863
EG12585	yjiX	P0ADC8	JW4316	Counterclockwise	4586899	4587102
EG12586	yjiY	P39396	JW5791	Counterclockwise	4587152	4589302
EG12588	yjjL	P39398	JW4319	Counterclockwise	4591384	4592745
EG12589	yjjM	P39399	JW5792	Counterclockwise	4592960	4593874
EG12590	yjjN	P39400	JW5793	Clockwise	4594013	4595035
EG12591	opgB	P39401	JW5794	Counterclockwise	4595173	4597464
EG12592	yjjP	P0ADD5	JW5796	Counterclockwise	4600111	4600881
EG12593	yjjQ	P0ADD7	JW4329	Clockwise	4601500	4602225
EG12594	bglJ	P39404	JW5955	Clockwise	4602333	4602860
EG12595	fhuF	P39405	JW4331	Counterclockwise	4602898	4603686
EG12596	rsmC	P39406	JW4333	Counterclockwise	4604692	4605723
EG12597	yjjU	P39407	JW4340	Clockwise	4610434	4611507
EG12598	yjjV	P39408	JW4341	Clockwise	4611504	4612283
EG12599	yjjW	P39409	JW4342	Counterclockwise	4612703	4613566
EG12600	yjjX	P39411	JW5801	Counterclockwise	4631256	4631768
EG12601	yjjY	P0ADD9	JW4365	Clockwise	4638425	4638565
EG12603	yjgZ	P39351	JW4236	Clockwise	4499283	4499612
EG12604	yjhU	P39356	JW5952	Counterclockwise	4517361	4518347
EG12605	yacL	P0A8E5	JW0115	Clockwise	134388	134750
EG12606	fabF	P0AAI5	JW1081	Clockwise	1151162	1152403
EG12607	yfcC	P39263	JW2295	Clockwise	2415103	2416623
EG12608	caiE	P39206	JW5004	Counterclockwise	34781	35371
EG12609	rluA	P0AA37	JW0057	Counterclockwise	59687	60346
EG12612	degQ	P39099	JW3203	Clockwise	3378765	3380132
EG12613	gstA	P0A9D2	JW1627	Clockwise	1712401	1713006
EG12614	yhcB	P0ADW3	JW5539	Clockwise	3378213	3378611
EG12615	torR	P38684	JW0980	Counterclockwise	1056485	1057177
EG12616	torT	P38683	JW0979	Clockwise	1055484	1056512
EG12617	torS	P39453	JW5135	Counterclockwise	1052657	1055401
EG12618	lptA	P0ADV1	JW3167	Clockwise	3341402	3341959
EG12619	ybdF	P0AAT2	JW5083	Counterclockwise	604741	605109
EG12620	mscM	P0AAT4	JW0566	Counterclockwise	602639	603886
EG12621	csgB	P0ABK7	JW1024	Clockwise	1103174	1103629
EG12622	adhP	P39451	JW1474	Counterclockwise	1550852	1551862
EG12623	ybaL	P39830	JW0467	Counterclockwise	500786	502462
EG12624	yiaG	P0A9V5	JW3524	Clockwise	3717501	3717791
EG12625	dppB	P0AEF8	JW3512	Counterclockwise	3702794	3703813
EG12626	dppC	P0AEG1	JW3511	Counterclockwise	3701882	3702784
EG12627	dppD	P0AAG0	JW3510	Counterclockwise	3700888	3701871
EG12628	dppF	P37313	JW3509	Counterclockwise	3699887	3700891
EG12629	gntK	P46859	JW3400	Counterclockwise	3575088	3575615
EG12630	gntR	P0ACP5	JW5946	Counterclockwise	3575754	3576749
EG12631	gntU	P0AC96	JW5686	Counterclockwise	3573744	3575084
EG12634	ygcB	P38036	JW2731	Counterclockwise	2882575	2885241
EG12636	dsrB	P0AEG8	JW1936	Counterclockwise	2022659	2022847
EG12637	rnk	P0AFW4	JW0602	Counterclockwise	642780	643190
EG12642	pdxK	P40191	JW2411	Counterclockwise	2534408	2535259
EG12644	yfeK	Q47702	JW2412	Clockwise	2535364	2535738
EG12651	wcaM	P71244	JW2028	Counterclockwise	2112526	2113920
EG12652	wcaL	P71243	JW2029	Counterclockwise	2113931	2115151
EG12653	ycjD	P45736	JW1282	Counterclockwise	1349431	1349784
EG12656	mdaB	P0AEY5	JW2996	Clockwise	3170552	3171133
EG12657	ygiN	P0ADU2	JW2997	Clockwise	3171164	3171478
EG12659	yceJ	P75925	JW1044	Counterclockwise	1117703	1118269
EG12661	gltJ	P0AER3	JW0649	Counterclockwise	685152	685892
EG12662	gltK	P0AER5	JW0648	Counterclockwise	684478	685152
EG12663	gltL	P0AAG3	JW0647	Counterclockwise	683753	684478
EG12664	flgM	P0AEM4	JW1058	Counterclockwise	1129058	1129351
EG12665	flgN	P43533	JW1057	Counterclockwise	1128637	1129053
EG12666	lpxH	P43341	JW0513	Counterclockwise	552441	553163
EG12667	uidR	P0ACT6	JW1610	Counterclockwise	1694486	1695076
EG12668	uidC	Q47706	JW1607	Counterclockwise	1689610	1690875
EG12669	solA	P40874	JW1046	Counterclockwise	1118691	1119809
EG12670	dinI	P0ABR1	JW1048	Counterclockwise	1120465	1120710
EG12671	pmrD	P37590	JW2254	Counterclockwise	2371294	2371560
EG12672	tpx	P0A862	JW1317	Counterclockwise	1386329	1386835
EG12674	uspF	P37903	JW1370	Counterclockwise	1433209	1433643
EG12675	ygaU	P0ADE6	JW2640	Counterclockwise	2794359	2794808
EG12676	bamA	P0A940	JW0172	Clockwise	197928	200360
EG12677	iscS	P0A6B7	JW2514	Counterclockwise	2658339	2659553
EG12678	znuA	P39172	JW5831	Counterclockwise	1939675	1940607
EG12679	yeaD	P39173	JW1769	Clockwise	1861874	1862758
EG12680	fliY	P0AEM9	JW1905	Counterclockwise	1997609	1998409
EG12682	erfK	P39176	JW1968	Counterclockwise	2060415	2061347
EG12683	uspG	P39177	JW0600	Counterclockwise	640662	641090
EG12684	lolA	P61316	JW0874	Clockwise	936595	937206
EG12685	ygfZ	P0ADE8	JW2866	Clockwise	3039335	3040315
EG12686	flu	P39180	JW1982	Clockwise	2069563	2072682
EG12688	grxB	P0AC59	JW1051	Counterclockwise	1122630	1123277
EG12689	yceK	P0AB31	JW5151	Clockwise	1112802	1113029
EG12690	rarA	P0AAZ4	JW0875	Clockwise	937217	938560
EG12691	yciM	P0AB58	JW1272	Clockwise	1338582	1339751
EG12692	ybdH	P45579	JW0592	Counterclockwise	631612	632700
EG12693	nudL	P43337	JW1802	Clockwise	1894194	1894772
EG12694	ttdR	P45463	JW3032	Counterclockwise	3203346	3204278
EG12695	azoR	P41407	JW1409	Counterclockwise	1480279	1480884
EG12697	fldB	P0ABY4	JW2863	Clockwise	3037877	3038398
EG12698	ygaD	P0A6G3	JW2670	Counterclockwise	2821871	2822368
EG12699	mltB	P41052	JW2671	Counterclockwise	2822513	2823598
EG12700	gltI	P37902	JW5092	Counterclockwise	686062	686970
EG12701	rihA	P41409	JW0646	Counterclockwise	682700	683635
EG12702	ycaK	P43340	JW0884	Clockwise	948891	949481
EG12703	yccJ	P0AB14	JW0988	Counterclockwise	1066087	1066314
EG12704	yggM	P46142	JW2923	Counterclockwise	3096580	3097587
EG12705	yggN	P0ADS9	JW2925	Counterclockwise	3098926	3099645
EG12707	ygbE	P46141	JW2719	Counterclockwise	2871036	2871359
EG12708	ybcI	P45570	JW0516	Counterclockwise	555255	555776
EG12709	yedI	P46125	JW1941	Counterclockwise	2026473	2027390
EG12710	yedJ	P46144	JW1945	Counterclockwise	2030408	2031103
EG12712	luxS	P45578	JW2662	Counterclockwise	2812240	2812755
EG12713	yddG	P46136	JW1469	Counterclockwise	1544312	1545193
EG12715	dxr	P45568	JW0168	Clockwise	193521	194717
EG12717	mug	P0A9H1	JW3040	Counterclockwise	3212989	3213495
EG12718	patA	P42588	JW5510	Clockwise	3217516	3218895
EG12719	ygjH	P42589	JW3045	Counterclockwise	3218937	3219269
EG12720	ygjI	P42590	JW5512	Clockwise	3224256	3225689
EG12721	ygjJ	P42591	JW3050	Clockwise	3225823	3226893
EG12722	ygjK	P42592	JW3051	Clockwise	3226910	3229261
EG12723	fadH	P42593	JW3052	Clockwise	3229687	3231705
EG12724	higA	P67701	JW3053	Counterclockwise	3231750	3232166
EG12725	higB	P64578	JW3054	Counterclockwise	3232163	3232477
EG12726	rlmG	P42596	JW5513	Counterclockwise	3232761	3233897
EG12727	ygjP	P42597	JW5514	Clockwise	3233982	3234485
EG12728	ygjQ	P42598	JW3057	Clockwise	3234562	3235254
EG12729	ygjR	P42599	JW3058	Clockwise	3235333	3236319
EG12731	alx	P42601	JW5515	Clockwise	3236602	3237567
EG12732	sstT	P0AGE4	JW3060	Clockwise	3237966	3239210
EG12733	ygjV	P42603	JW3061	Counterclockwise	3239215	3239766
EG12734	uxaA	P42604	JW3062	Counterclockwise	3239849	3241336
EG12737	uxaC	P0A8G3	JW3063	Counterclockwise	3241351	3242763
EG12738	exuT	P0AA78	JW3064	Clockwise	3243126	3244544
EG12739	exuR	P0ACL2	JW3065	Clockwise	3244674	3245450
EG12740	yqjA	P0AA63	JW3066	Clockwise	3245795	3246457
EG12741	mzrA	P42615	JW3067	Clockwise	3246461	3246844
EG12742	yqjC	P42616	JW5516	Clockwise	3246991	3247359
EG12743	yqjD	P64581	JW3069	Clockwise	3247397	3247702
EG12744	yqjE	P64585	JW3070	Clockwise	3247705	3248109
EG12745	yqjF	P42619	JW5850	Clockwise	3248584	3248976
EG12746	yqjG	P42620	JW3073	Clockwise	3249046	3250032
EG12747	yhaH	P64590	JW3074	Clockwise	3250326	3250691
EG12748	yhaI	P64592	JW3075	Clockwise	3250933	3251289
EG12749	yhaJ	P67660	JW3076	Counterclockwise	3251340	3252236
EG12750	yhaK	P42624	JW3077	Clockwise	3252341	3253042
EG12751	yhaL	P42625	JW5517	Clockwise	3253065	3253229
EG12752	yhaM	P42626	JW5518	Counterclockwise	3253363	3254673
EG12754	yhaO	P42628	JW5519	Counterclockwise	3254701	3256032
EG12756	tdcG	P42630	JW5520	Counterclockwise	3256307	3257671
EG12757	tdcF	P0AGL2	JW5521	Counterclockwise	3257743	3258132
EG12758	tdcE	P42632	JW5522	Counterclockwise	3258146	3260440
EG12760	garP	P0AA80	JW3096	Counterclockwise	3271595	3272929
EG12761	yhaV	P64594	JW3099	Clockwise	3275359	3275823
EG12762	agaR	P0ACK2	JW3100	Counterclockwise	3275878	3276687
EG12763	kbaZ	P42903	JW3101	Clockwise	3276936	3278216
EG12764	agaV	P42904	JW3102	Clockwise	3278239	3278712
EG12767	agaS	P42907	JW3105	Clockwise	3279998	3281152
EG12768	kbaY	P0AB74	JW3106	Clockwise	3281165	3282025
EG12769	agaB	P42909	JW3107	Clockwise	3282192	3282668
EG12770	agaC	P42910	JW3108	Clockwise	3282707	3283510
EG12771	agaD	P42911	JW3109	Clockwise	3283500	3284291
EG12772	agaI	P42912	JW3110	Clockwise	3284292	3285047
EG12773	yraH	P42913	JW3111	Clockwise	3285448	3286032
EG12774	yraI	P42914	JW3112	Clockwise	3286112	3286807
EG12775	yraJ	P42915	JW3113	Clockwise	3286836	3289352
EG12776	yraK	P43319	JW3114	Clockwise	3289363	3290454
EG12777	rsmI	P67087	JW3115	Counterclockwise	3290497	3291357
EG12778	yraM	P45464	JW3116	Clockwise	3291422	3293458
EG12779	yraN	P45465	JW3117	Clockwise	3293416	3293811
EG12780	diaA	P66817	JW3118	Clockwise	3293831	3294421
EG12781	yraP	P64596	JW3119	Clockwise	3294431	3295006
EG12782	yraQ	P45468	JW3120	Counterclockwise	3295120	3296160
EG12783	yraR	P45469	JW5528	Counterclockwise	3296233	3296868
EG12784	yhbO	P45470	JW5529	Clockwise	3296996	3297514
EG12785	yhbP	P67762	JW3123	Counterclockwise	3297494	3297937
EG12786	yhbQ	P45472	JW3124	Clockwise	3297988	3298290
EG12788	yhbS	P63417	JW3125	Counterclockwise	3298277	3298780
EG12789	yhbT	P64599	JW3126	Counterclockwise	3298774	3299298
EG12790	yhbU	P45527	JW3127	Clockwise	3299507	3300502
EG12791	yhbV	P45475	JW5530	Clockwise	3300511	3301389
EG12792	yhbW	P0ADV5	JW3129	Clockwise	3301470	3302477
EG12793	yhbX	P42640	JW5534	Counterclockwise	3318010	3319635
EG12794	yhbY	P0AGK4	JW3147	Clockwise	3325812	3326105
EG12795	obgE	P42641	JW3150	Counterclockwise	3328604	3329776
EG12796	yrbA	P0A9W6	JW3157	Counterclockwise	3334571	3334825
EG12797	mlaB	P64602	JW5535	Counterclockwise	3334985	3335278
EG12798	mlaC	P0ADV7	JW3159	Counterclockwise	3335278	3335913
EG12799	mlaD	P64604	JW3160	Counterclockwise	3335932	3336483
EG12800	mlaE	P64606	JW3161	Counterclockwise	3336488	3337270
EG12801	mlaF	P63386	JW3162	Counterclockwise	3337278	3338087
EG12802	yrbG	P45394	JW3163	Clockwise	3338297	3339274
EG12803	kdsD	P45395	JW3164	Clockwise	3339288	3340274
EG12804	kdsC	P0ABZ4	JW3165	Clockwise	3340295	3340861
EG12806	lptC	P0ADV9	JW3166	Clockwise	3340858	3341433
EG12807	yrbL	P64610	JW3174	Clockwise	3346474	3347106
EG12808	mtgA	P46022	JW3175	Counterclockwise	3347103	3347831
EG12809	yhcC	P0ADW6	JW3178	Counterclockwise	3351143	3352072
EG12810	yhcD	P45420	JW3183	Clockwise	3360829	3363210
EG12812	yhcF	P45422	JW3188	Clockwise	3364948	3365664
