Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P37660	yhjV		b3539	JW3508	YHJV_ECOLI	EG12266	yhjV	P37660	JW3508	Clockwise	3698586	3699857
P37661	eptB	yhjW	b3546	JW5660	EPTB_ECOLI	EG12267	eptB	P37661	JW5660	Counterclockwise	3706807	3708498
P37662	yhjX		b3547	JW3516	YHJX_ECOLI	EG12268	yhjX	P37662	JW3516	Counterclockwise	3708822	3710030
P37663	yhjY		b3548	JW5659	YHJY_ECOLI	EG12269	yhjY	P37663	JW5659	Counterclockwise	3710259	3710957
P37664	yiaC		b3550	JW3519	YIAC_ECOLI	EG12270	yiaC	P37664	JW3519	Clockwise	3711675	3712115
P37665	yiaD		b3552	JW5657	YIAD_ECOLI	EG12271	yiaD	P37665	JW5657	Clockwise	3714570	3715229
P37666	ghrB	tkrA yiaE	b3553	JW5656	GHRB_ECOLI	EG12272	ghrB	P37666	JW5656	Clockwise	3715333	3716307
P0ADK0	yiaF		b3554	JW5655	YIAF_ECOLI	EG12273	yiaF	P0ADK0	JW5655	Counterclockwise	3716357	3717067
P37669	yiaH		b3561	JW3533	YIAH_ECOLI	EG12274	wecH	P37669	JW3533	Clockwise	3723910	3724905
P37388	xylG		b3567	JW3539	XYLG_ECOLI	EG12275	xylG	P37388	JW3539	Clockwise	3730224	3731765
P0AGI4	xylH		b3568	JW3540	XYLH_ECOLI	EG12276	xylH	P0AGI4	JW3540	Clockwise	3731743	3732924
P37671	yiaJ		b3574	JW3546	YIAJ_ECOLI	EG12278	yiaJ	P37671	JW3546	Counterclockwise	3739707	3740555
P37672	dlgD	yiaK	b3575	JW3547	DLGD_ECOLI	EG12279	yiaK	P37672	JW3547	Clockwise	3740756	3741754
P37673	yiaL		b3576	JW3548	YIAL_ECOLI	EG12280	yiaL	P37673	JW3548	Clockwise	3741766	3742233
P37674	yiaM		b3577	JW3549	YIAM_ECOLI	EG12281	yiaM	P37674	JW3549	Clockwise	3742351	3742824
P37675	yiaN		b3578	JW5651	YIAN_ECOLI	EG12282	yiaN	P37675	JW5651	Clockwise	3742827	3744104
P37676	yiaO		b3579	JW3551	YIAO_ECOLI	EG12283	yiaO	P37676	JW3551	Clockwise	3744117	3745103
P37677	lyx	lyxK sgbK xylK yiaP	b3580	JW3552	LYXK_ECOLI	EG12284	lyxK	P37677	JW3552	Clockwise	3745107	3746603
P37678	sgbH	yiaQ	b3581	JW3553	SGBH_ECOLI	EG12285	yiaQ	P37678	JW3553	Clockwise	3746600	3747262
P37679	sgbU	yiaR	b3582	JW5650	SGBU_ECOLI	EG12286	yiaR	P37679	JW5650	Clockwise	3747255	3748115
P37680	sgbE	yiaS	b3583	JW3555	SGBE_ECOLI	EG12287	yiaS	P37680	JW3555	Clockwise	3748109	3748804
P37681	yiaT		b3584	JW3556	YIAT_ECOLI	EG12288	yiaT	P37681	JW3556	Counterclockwise	3749151	3749891
P37682	yiaU		b3585	JW3557	YIAU_ECOLI	EG12289	yiaU	P37682	JW3557	Clockwise	3750015	3750989
P37683	yiaV		b3586	JW3558	YIAV_ECOLI	EG12290	yiaV	P37683	JW3558	Counterclockwise	3750986	3752122
P0ADK4	yiaW		b3587	JW3559	YIAW_ECOLI	EG12291	yiaW	P0ADK4	JW3559	Counterclockwise	3752128	3752451
P37685	aldB	yiaX	b3588	JW3561	ALDB_ECOLI	EG12292	aldB	P37685	JW3561	Counterclockwise	3752996	3754534
P37686	yiaY		b3589	JW5648	ADH2_ECOLI	EG12293	yiaY	P37686	JW5648	Counterclockwise	3754699	3755850
P0AC62	grxC	yibM	b3610	JW3585	GLRX3_ECOLI	EG12294	grxC	P0AC62	JW3585	Counterclockwise	3782214	3782465
P0AG27	yibN		b3611	JW3586	YIBN_ECOLI	EG12295	yibN	P0AG27	JW3586	Counterclockwise	3782607	3783038
P37689	gpmI	pgmI yibO	b3612	JW3587	GPMI_ECOLI	EG12296	gpmM	P37689	JW3587	Clockwise	3783283	3784827
P37690	yibP		b3613	JW5646	YIBP_ECOLI	EG12297	envC	P37690	JW5646	Clockwise	3784861	3786120
P37691	yibQ		b3614	JW5645	YIBQ_ECOLI	EG12298	yibQ	P37691	JW5645	Clockwise	3786124	3787083
P0ACU2	rutR	ycdC	b1013	JW0998	RUTR_ECOLI	EG12301	rutR	P0ACU2	JW0998	Clockwise	1073465	1074103
P0A720	tmk	ycfG	b1098	JW1084	KTHY_ECOLI	EG12302	tmk	P0A720	JW1084	Clockwise	1154347	1154988
P0AFQ7	ycfH		b1100	JW1086	YCFH_ECOLI	EG12303	ycfH	P0AFQ7	JW1086	Clockwise	1156000	1156797
P0AAH4	sapD		b1291	JW1284	SAPD_ECOLI	EG12304	sapD	P0AAH4	JW1284	Counterclockwise	1350660	1351652
P0AAH8	sapF		b1290	JW1283	SAPF_ECOLI	EG12305	sapF	P0AAH8	JW1283	Counterclockwise	1349852	1350658
P0AB12	yccF		b0961	JW0944	YCCF_ECOLI	EG12306	yccF	P0AB12	JW0944	Counterclockwise	1023125	1023571
P0A731	mgsA	yccG	b0963	JW5129	MGSA_ECOLI	EG12307	mgsA	P0A731	JW5129	Counterclockwise	1025780	1026238
P37767	yfhH		b2561	JW2545	YFHH_ECOLI	EG12308	yfhH	P37767	JW2545	Clockwise	2696781	2697629
P37005	lasT	yjtD	b4403	JW4366	LAST_ECOLI	EG12309	yjtD	P37005	JW4366	Clockwise	4638965	4639651
P37095	pepB	yfhI	b2523	JW2507	PEPB_ECOLI	EG12310	pepB	P37095	JW2507	Counterclockwise	2653097	2654380
P0C0L9	iscX	yfhJ	b2524	JW2508	ISCX_ECOLI	EG12311	iscX	P0C0L9	JW2508	Counterclockwise	2654558	2654758
P0A6I9	coaE	yacE	b0103	JW0100	COAE_ECOLI	EG12312	coaE	P0A6I9	JW0100	Counterclockwise	112599	113219
P36680	yacF		b0102	JW0099	YACF_ECOLI	EG12313	yacF	P36680	JW0099	Counterclockwise	111856	112599
P0A8H8	yacG		b0101	JW5008	YACG_ECOLI	EG12314	yacG	P0A8H8	JW5008	Counterclockwise	111649	111846
P36682	yacH		b0117	JW0113	YACH_ECOLI	EG12315	yacH	P36682	JW0113	Counterclockwise	129407	131260
P36683	acnB	yacI yacJ	b0118	JW0114	ACON2_ECOLI	EG12316	acnB	P36683	JW0114	Clockwise	131615	134212
P36649	cueO	yacK	b0123	JW0119	CUEO_ECOLI	EG12318	cueO	P36649	JW0119	Clockwise	137083	138633
P61517	can	cynT2 yadF	b0126	JW0122	CAN_ECOLI	EG12319	can	P61517	JW0122	Counterclockwise	142008	142670
P36879	yadG		b0127	JW0123	YADG_ECOLI	EG12320	yadG	P36879	JW0123	Clockwise	142779	143705
P0AFN6	yadH		b0128	JW0124	YADH_ECOLI	EG12321	yadH	P0AFN6	JW0124	Clockwise	143702	144472
P36881	yadI		b0129	JW0125	YADI_ECOLI	EG12322	yadI	P36881	JW0125	Clockwise	144577	145017
P37014	yfaD		b2244	JW2238	YFAD_ECOLI	EG12323	yfaD	P37014	JW2238	Clockwise	2354926	2355825
P37016	yadK		b0136	JW0132	YADK_ECOLI	EG12325	yadK	P37016	JW0132	Counterclockwise	151003	151599
P37017	yadL		b0137	JW0133	YADL_ECOLI	EG12326	yadL	P37017	JW0133	Counterclockwise	151626	152231
P37018	yadM		b0138	JW0134	YADM_ECOLI	EG12327	yadM	P37018	JW0134	Counterclockwise	152243	152812
P37050	yadN		b0141	JW0137	YADN_ECOLI	EG12328	yadN	P37050	JW0137	Counterclockwise	156299	156883
P37024	hrpB	yadO	b0148	JW0144	HRPB_ECOLI	EG12329	hrpB	P37024	JW0144	Clockwise	162105	164534
P37025	ligT	yadP	b0147	JW5011	LIGT_ECOLI	EG12330	ligT	P37025	JW5011	Counterclockwise	161501	162031
P37019	clcA	eriC yadQ	b0155	JW5012	CLCA_ECOLI	EG12331	clcA	P37019	JW5012	Clockwise	175107	176528
P0ACC3	erpA	yadR	b0156	JW0152	ERPA_ECOLI	EG12332	erpA	P0ACC3	JW0152	Clockwise	176610	176954
P0AFP0	yadS		b0157	JW0153	YADS_ECOLI	EG12333	yadS	P0AFP0	JW0153	Counterclockwise	177001	177624
P37028	btuF	yadT	b0158	JW0154	BTUF_ECOLI	EG12334	btuF	P37028	JW0154	Counterclockwise	177662	178462
P37047	cdaR	sdaR yaeG	b0162	JW5013	CDAR_ECOLI	EG12335	cdaR	P37047	JW5013	Clockwise	182463	183620
P62768	yaeH		b0163	JW0159	YAEH_ECOLI	EG12336	yaeH	P62768	JW0159	Counterclockwise	183709	184095
P37049	yaeI		b0164	JW5014	YAEI_ECOLI	EG12337	yaeI	P37049	JW5014	Counterclockwise	184257	185069
P37007	yagA		b0267	JW0260	YAGA_ECOLI	EG12338	yagA	P37007	JW0260	Counterclockwise	280053	281207
P37009	fbpC	afuC yagC	b0262	JW0254	FBPC_ECOLI	EG12340	afuC	P37009	JW0254	Counterclockwise	276980	278026
P0AFX7	rseA	mclA yfiJ	b2572	JW2556	RSEA_ECOLI	EG12341	rseA	P0AFX7	JW2556	Counterclockwise	2706776	2707426
P39410	yjjJ		b4385	JW4348	YJJJ_ECOLI	EG12342	yjjJ	P39410	JW4348	Clockwise	4619792	4621123
P0A9W3	yjjK		b4391	JW4354	YJJK_ECOLI	EG12343	yjjK	P0A9W3	JW4354	Counterclockwise	4626878	4628545
P37344	pspF	ycjB	b1303	JW1296	PSPF_ECOLI	EG12344	pspF	P37344	JW1296	Counterclockwise	1364959	1365936
P39831	ydfG		b1539	JW1532	YDFG_ECOLI	EG12345	ydfG	P39831	JW1532	Clockwise	1625541	1626287
P37305	hokA	yiaZ	b4455	JW3526	HOKA_ECOLI	EG12346	hokA	P37305	JW3526	Counterclockwise	3718471	3718623
P37774	yecC		b1917	JW1902	YECC_ECOLI	EG12347	yecC	P37774	JW1902	Counterclockwise	1995086	1995838
P0A9L5	ppiC	parVA	b3775	JW3748	PPIC_ECOLI	EG12352	ppiC	P0A9L5	JW3748	Counterclockwise	3957555	3957836
P0ADN6	yifL		b4558	JW3781	YIFL_ECOLI	EG12353	yifL	P0ADN6	JW3781	Clockwise	3992545	3992748
P40711	yaeJ		b0191	JW0187	YAEJ_ECOLI	EG12354	yaeJ	P40711	JW0187	Clockwise	214833	215255
P38035	rtcR	yhgB	b3422	JW3385	RTCR_ECOLI	EG12356	rtcR	P38035	JW3385	Clockwise	3556290	3557888
P38135	fadK	ydiD	b1701	JW5910	FADK_ECOLI	EG12357	fadK	P38135	JW5910	Clockwise	1781055	1782701
P0AAI1	ssuB	ycbE	b0933	JW0916	SSUB_ECOLI	EG12358	ssuB	P0AAI1	JW0916	Counterclockwise	992500	993267
P37909	ybgD		b0719	JW0709	YBGD_ECOLI	EG12359	ybgD	P37909	JW0709	Counterclockwise	751452	752018
P0ABW3	yfaE		b2236	JW2230	YFAE_ECOLI	EG12360	yfaE	P0ABW3	JW2230	Clockwise	2346536	2346790
P37769	kduD	ygeC yqeD	b2842	JW2810	KDUD_ECOLI	EG12361	kduD	P37769	JW2810	Counterclockwise	2980519	2981280
P38051	menF	yfbA	b2265	JW2260	MENF_ECOLI	EG12362	menF	P38051	JW2260	Counterclockwise	2377370	2378665
P39834	ygiL		b3043	JW3011	YGIL_ECOLI	EG12363	ygiL	P39834	JW3011	Clockwise	3183436	3183987
P0AEX5	prkB	yhfF	b3355	JW3318	KPPR_ECOLI	EG12365	prkB	P0AEX5	JW3318	Clockwise	3482512	3483381
P0AGL7	rsmE	yggJ	b2946	JW2913	RSME_ECOLI	EG12366	rsmE	P0AGL7	JW2913	Clockwise	3089156	3089887
P38054	cusA	ybdE	b0575	JW0564	CUSA_ECOLI	EG12367	cusA	P38054	JW0564	Clockwise	597937	601080
P39832	znuB	yebI	b1859	JW1848	ZNUB_ECOLI	EG12368	znuB	P39832	JW1848	Clockwise	1941438	1942223
P38055	ydjE		b1769	JW1758	YDJE_ECOLI	EG12369	ydjE	P38055	JW1758	Counterclockwise	1850645	1852003
P75969	intE	ycfI	b1140	JW1126	INTE_ECOLI	EG12370	intE	P75969	JW1126	Counterclockwise	1198902	1200029
P0AFB1	nlpI	yhbM	b3163	JW3132	NLPI_ECOLI	EG12371	nlpI	P0AFB1	JW3132	Counterclockwise	3306062	3306946
P38506	ygdG	exo xni	b2798	JW5446	XNI_ECOLI	EG12372	ygdG	P38506	JW5446	Clockwise	2929077	2929832
P0ADR8	ygdH		b2795	JW2766	YGDH_ECOLI	EG12373	ygdH	P0ADR8	JW2766	Clockwise	2924330	2925694
P0ADX5	yhfG		b3362	JW3325	YHFG_ECOLI	EG12374	yhfG	P0ADX5	JW3325	Counterclockwise	3489475	3489642
P37443	ycaI		b0913	JW5120	YCAI_ECOLI	EG12375	ycaI	P37443	JW5120	Clockwise	963543	965807
P39836	yfeH		b2410	JW5876	YFEH_ECOLI	EG12376	yfeH	P39836	JW5876	Clockwise	2524968	2525966
P0ADI7	yecD		b1867	JW5307	YECD_ECOLI	EG12378	yecD	P0ADI7	JW5307	Clockwise	1948856	1949422
P37348	yecE		b1868	JW1857	YECE_ECOLI	EG12379	yecE	P37348	JW1857	Clockwise	1949419	1950237
P39835	gntT	gntM usgA yhgC	b3415	JW5690	GNTT_ECOLI	EG12380	gntT	P39835	JW5690	Clockwise	3544581	3545897
P37146	nrdF	ygaD	b2676	JW2651	RIR4_ECOLI	EG12381	nrdF	P37146	JW2651	Clockwise	2801524	2802483
P37147	fxsA	yjeG	b4140	JW4100	FXSA_ECOLI	EG12382	fxsA	P37147	JW4100	Clockwise	4366687	4367163
P37306	arcC	ybcF	b0521	JW0510	ARCC_ECOLI	EG12384	ybcF	P37306	JW0510	Clockwise	549662	550555
P39838	rcsD	yojN yojP yojQ	b2216	JW2204	RCSD_ECOLI	EG12385	rcsD	P39838	JW2204	Clockwise	2311510	2314182
P37338	ygaE		b2664	JW2639	YGAE_ECOLI	EG12386	csiR	P37338	JW2639	Clockwise	2793696	2794358
P37339	ygaF		b2660	JW2635	YGAF_ECOLI	EG12387	lhgO	P37339	JW2635	Clockwise	2788004	2789272
P38052	sfmF	ybcG	b0534	JW5072	SFMF_ECOLI	EG12388	sfmF	P38052	JW5072	Clockwise	562553	563068
P69856	nanC	yjhA	b4311	JW5778	NANC_ECOLI	EG12389	nanC	P69856	JW5778	Counterclockwise	4536808	4537524
P0ACX9	ydiE		b1705	JW1695	YDIE_ECOLI	EG12391	ydiE	P0ACX9	JW1695	Clockwise	1787637	1787828
P0AFR2	ychM		b1206	JW5189	YCHM_ECOLI	EG12392	ychM	P0AFR2	JW5189	Counterclockwise	1258347	1260026
P39414	ttdT	ygjC ygjE	b3063	JW3035	TTDT_ECOLI	EG12393	ttdT	P39414	JW3035	Clockwise	3206046	3207509
P0A746	msrB	yeaA	b1778	JW1767	MSRB_ECOLI	EG12394	msrB	P0A746	JW1767	Counterclockwise	1860040	1860453
P0AAV0	ybgE		b0735	JW0725	YBGE_ECOLI	EG12395	ybgE	P0AAV0	JW0725	Clockwise	773532	773825
P38097	yegE		b2067	JW2052	YEGE_ECOLI	EG12396	yegE	P38097	JW2052	Clockwise	2141290	2144607
P40876	ycbF		b0944	JW5124	YCBF_ECOLI	EG12397	ycbF	P40876	JW5124	Clockwise	1003170	1003880
P37349	dhaM	ycgC	b1198	JW5185	DHAM_ECOLI	EG12399	dhaM	P37349	JW5185	Counterclockwise	1246919	1248337
P37340	mdtK	norE norM ydhE	b1663	JW1655	MDTK_ECOLI	EG12400	mdtK	P37340	JW1655	Clockwise	1741481	1742854
P36979	rlmN	yfgB	b2517	JW2501	RLMN_ECOLI	EG12401	rlmN	P36979	JW2501	Counterclockwise	2641151	2642305
P0AE63	chaB		b1217	JW1208	CHAB_ECOLI	EG12402	chaB	P0AE63	JW1208	Clockwise	1271342	1271572
P39163	chaC		b1218	JW1209	CHAC_ECOLI	EG12403	chaC	P39163	JW1209	Clockwise	1271730	1272425
P0AB52	ychN		b1219	JW1210	YCHN_ECOLI	EG12404	ychN	P0AB52	JW1210	Counterclockwise	1272469	1272822
P39165	ychO	ychP	b1220	JW1211	YCHO_ECOLI	EG12405	ychO	P39165	JW1211	Clockwise	1273007	1274401
P0ACU0	ybiH		b0796	JW0780	YBIH_ECOLI	EG12406	ybiH	P0ACU0	JW0780	Counterclockwise	829195	829866
P37595	iaaA	spt ybiK	b0828	JW0812	IAAA_ECOLI	EG12407	iaaA	P37595	JW0812	Clockwise	865791	866756
P37127	aegA	yffG	b2468	JW2452	AEGA_ECOLI	EG12409	aegA	P37127	JW2452	Counterclockwise	2581568	2583547
P37128	nudK	yffH	b2467	JW2451	NUDK_ECOLI	EG12410	nudK	P37128	JW2451	Counterclockwise	2580925	2581500
P37760	rfbD	rmlD	b2040	JW2025	RMLD_ECOLI	EG12411	rfbD	P37760	JW2025	Counterclockwise	2109101	2110000
P37759	rfbB	rmlB	b2041	JW2026	RMLB1_ECOLI	EG12412	rfbB	P37759	JW2026	Counterclockwise	2110000	2111085
P37326	intS	intC yfdB	b2349	JW2345	INTS_ECOLI	EG12413	intS	P37326	JW2345	Clockwise	2464567	2465724
P69828	gatA		b2094	JW2078 JW2081	PTKA_ECOLI	EG12414	gatA	P69828	"JW2078;JW2081"	Counterclockwise	2172619	2173071
P37188	gatB		b2093	JW2077	PTKB_ECOLI	EG12415	gatB	P37188	JW2077	Counterclockwise	2172304	2172588
P69831	gatC		b2092	JW2076	PTKC_ECOLI	EG12416	gatC	P69831	JW2076	Counterclockwise	2170945	2172300
P0A9S3	gatD		b2091	JW2075	GATD_ECOLI	EG12417	gatD	P0A9S3	JW2075	Counterclockwise	2169857	2170897
P0C8J8	gatZ		b2095	JW2082	GATZ_ECOLI	EG12418	gatZ	P37191	JW2082	Counterclockwise	2173081	2174343
P0C8J6	gatY	yegF	b2096	JW5343	GATY_ECOLI	EG12419	gatY	P37192	JW5343	Counterclockwise	2174372	2175226
P37327	yfdC		b2347	JW2344	YFDC_ECOLI	EG12420	yfdC	P37327	JW2344	Clockwise	2463323	2464255
P41039	ybiI		b0803	JW0788	YBII_ECOLI	EG12421	ybiI	P41039	JW0788	Counterclockwise	837413	837679
P0AAX3	ybiJ		b0802	JW0787	YBIJ_ECOLI	EG12422	ybiJ	P0AAX3	JW0787	Counterclockwise	836888	837148
P37610	tauD	ssiD yaiG	b0368	JW0360	TAUD_ECOLI	EG12423	tauD	P37610	JW0360	Clockwise	387019	387870
P0ACC1	hemK	prmC	b1212	JW1203	HEMK_ECOLI	EG12424	prmC	P0ACC1	JW1203	Clockwise	1265317	1266150
P37057	ogrK		b2082	JW2067	OGRK_ECOLI	EG12425	ogrK	P37057	JW2067	Counterclockwise	2165326	2165544
P37329	modA		b0763	JW0746	MODA_ECOLI	EG12427	modA	P37329	JW0746	Clockwise	794312	795085
P0AAR0	ybaJ		b0461	JW0450	YBAJ_ECOLI	EG12429	tomB	P0AAR0	JW0450	Counterclockwise	479558	479932
P0A9U6	puuR	ycjC	b1299	JW1292	PUUR_ECOLI	EG12431	puuR	P0A9U6	JW1292	Clockwise	1359935	1360492
P37766	ydiF		b1694	JW1684	YDIF_ECOLI	EG12432	ydiF	P37766	JW1684	Clockwise	1773611	1775206
P37765	rluB	yciL	b1269	JW1261	RLUB_ECOLI	EG12433	rluB	P37765	JW1261	Clockwise	1324876	1325751
P0ADT8	ygiM		b3055	JW3027	YGIM_ECOLI	EG12434	ygiM	P0ADT8	JW3027	Clockwise	3199229	3199849
P0AEH1	rseP	ecfE yaeL	b0176	JW0171	RSEP_ECOLI	EG12436	rseP	P0AEH1	JW0171	Clockwise	196546	197898
P37353	menE		b2260	JW2255	MENE_ECOLI	EG12437	menE	P37353	JW2255	Counterclockwise	2371670	2373025
P37355	menH	yfbB	b2263	JW2258	MENH_ECOLI	EG12438	menH	P37355	JW2258	Counterclockwise	2374856	2375614
P37772	yjfF		b4231	JW5754	YJFF_ECOLI	EG12439	yjfF	P37772	JW5754	Clockwise	4451606	4452601
P37773	mpl	yjfG	b4233	JW4192	MPL_ECOLI	EG12440	mpl	P37773	JW4192	Clockwise	4453808	4455181
P37908	yfjD	ypjE	b4461	JW5415	YFJD_ECOLI	EG12442	yfjD	P37908	JW5415	Clockwise	2746796	2748082
P38521	yggL		b2959	JW2926	YGGL_ECOLI	EG12443	yggL	P38521	JW2926	Counterclockwise	3099829	3100155
P0AB35	ycfJ		b1110	JW1096	YCFJ_ECOLI	EG12444	ycfJ	P0AB35	JW1096	Clockwise	1166822	1167361
P38101	eamB	yfiK	b2578	JW2562	EAMB_ECOLI	EG12445	eamB	P38101	JW2562	Clockwise	2713445	2714032
P11289	yfiL		b2602	JW5412	YFIL_ECOLI	EG12446	yfiL	P11289	JW5412	Clockwise	2739382	2739747
P0A951	speG		b1584	JW1576	ATDA_ECOLI	EG12447	speG	P0A951	JW1576	Clockwise	1654208	1654768
P37325	ybcH		b0567	JW0556	YBCH_ECOLI	EG12448	ybcH	P37325	JW0556	Counterclockwise	586314	587204
P39199	yfcB		b2330	JW5841	YFCB_ECOLI	EG12449	prmB	P39199	JW5841	Counterclockwise	2445530	2446462
P37596	norW	flrR ygbD	b2711	JW2681	NORW_ECOLI	EG12450	norW	P37596	JW2681	Clockwise	2831934	2833067
P38104	rspA		b1581	JW1573	RSPA_ECOLI	EG12451	rspA	P38104	JW1573	Counterclockwise	1651951	1653165
P38105	rspB		b1580	JW1572	RSPB_ECOLI	EG12452	rspB	P38105	JW1572	Counterclockwise	1650920	1651939
P0AF90	yjgD		b4255	JW4212	YJGD_ECOLI	EG12453	rraB	P0AF90	JW4212	Clockwise	4476496	4476912
P0AAR3	ybaK		b0481	JW0470	YBAK_ECOLI	EG12454	ybaK	P0AAR3	JW0470	Counterclockwise	505827	506306
P39196	lplT	ygeD	b2835	JW2803	LPLT_ECOLI	EG12455	lplT	P39196	JW2803	Counterclockwise	2970691	2971884
P63235	gadC	acsA xasA	b1492	JW1487	GADC_ECOLI	EG12456	gadC	P63235	JW1487	Counterclockwise	1566978	1568513
P77804	ydgA		b1614	JW1606	YDGA_ECOLI	EG12457	ydgA	P77804	JW1606	Clockwise	1687876	1689384
P39265	alsB	yjcX	b4088	JW4049	ALSB_ECOLI	EG12458	alsB	P39265	JW4049	Counterclockwise	4309130	4310065
P0ACS7	rpiR	alsR yjcY	b4089	JW4050	RPIR_ECOLI	EG12459	rpiR	P0ACS7	JW4050	Counterclockwise	4310124	4311014
P39267	yjcZ		b4110	JW5729	YJCZ_ECOLI	EG12460	yjcZ	P39267	JW5729	Clockwise	4327383	4328261
P60061	adiC	aniC yjdD yjdE	b4115	JW4076	ADIC_ECOLI	EG12462	adiC	P60061	JW4076	Counterclockwise	4333717	4335054
P39270	yjdF		b4121	JW4082	YJDF_ECOLI	EG12463	yjdF	P39270	JW4082	Counterclockwise	4342952	4343581
P0AD01	dcuR	yjdG	b4124	JW4085	DCUR_ECOLI	EG12464	dcuR	P0AD01	JW4085	Counterclockwise	4347338	4348057
P0AEC8	dcuS	yjdH	b4125	JW4086	DCUS_ECOLI	EG12465	dcuS	P0AEC8	JW4086	Counterclockwise	4348054	4349685
P0AF59	yjdI		b4126	JW4087	YJDI_ECOLI	EG12466	yjdI	P0AF59	JW4087	Clockwise	4349866	4350096
P39274	yjdJ		b4127	JW4088	YJDJ_ECOLI	EG12467	yjdJ	P39274	JW4088	Clockwise	4350108	4350380
P0AF61	yjdK		b4128	JW4089	YJDK_ECOLI	EG12468	yjdK	P0AF61	JW4089	Clockwise	4350607	4350903
P39276	yjdL	dtpC	b4130	JW4091	YJDL_ECOLI	EG12469	yjdL	P39276	JW4091	Counterclockwise	4352977	4354434
P39277	yjeH		b4141	JW4101	YJEH_ECOLI	EG12470	yjeH	P39277	JW4101	Counterclockwise	4367179	4368435
P0AF70	yjeI		b4144	JW5736	YJEI_ECOLI	EG12471	yjeI	P0AF70	JW5736	Clockwise	4370832	4371185
P39279	yjeJ		b4145	JW4105	YJEJ_ECOLI	EG12472	yjeJ	P39279	JW4105	Counterclockwise	4371388	4372257
P39280	yjeK		b4146	JW4106	YJEK_ECOLI	EG12473	yjeK	P39280	JW4106	Counterclockwise	4372652	4373680
P0A901	blc	yjeL	b4149	JW4110	BLC_ECOLI	EG12474	blc	P0A901	JW4110	Counterclockwise	4375212	4375745
P39282	yjeM		b4156	JW5739	YJEM_ECOLI	EG12475	yjeM	P39282	JW5739	Clockwise	4381862	4383364
P39283	yjeN		b4157	JW4118	YJEN_ECOLI	EG12476	yjeN	P39283	JW4118	Clockwise	4383416	4383730
P39284	yjeO		b4158	JW4119	YJEO_ECOLI	EG12477	yjeO	P39284	JW4119	Clockwise	4383727	4384041
P39285	yjeP		b4159	JW4120	YJEP_ECOLI	EG12478	yjeP	P39285	JW4120	Counterclockwise	4384070	4387393
P39286	rsgA	engC yjeQ	b4161	JW4122	RSGA_ECOLI	EG12479	rsgA	P39286	JW4122	Counterclockwise	4388480	4389532
P0A784	orn	yjeR	b4162	JW5740	ORN_ECOLI	EG12480	orn	P0A784	JW5740	Clockwise	4389627	4390172
P39288	yjeS		b4166	JW4124	YJES_ECOLI	EG12481	yjeS	P39288	JW4124	Counterclockwise	4390951	4392090
P0AF73	yjeT		b4176	JW4134	YJET_ECOLI	EG12482	yjeT	P0AF73	JW4134	Clockwise	4402409	4402606
P63177	rlmB	yjfH	b4180	JW4138	RLMB_ECOLI	EG12483	rlmB	P63177	JW4138	Clockwise	4407298	4408029
P0AF76	yjfI		b4181	JW4139	YJFI_ECOLI	EG12484	yjfI	P0AF76	JW4139	Clockwise	4408156	4408557
P0AF78	yjfJ		b4182	JW4140	YJFJ_ECOLI	EG12485	yjfJ	P0AF78	JW4140	Clockwise	4408576	4409274
P39293	yjfK		b4183	JW4141	YJFK_ECOLI	EG12486	yjfK	P39293	JW4141	Clockwise	4409325	4409984
P0AF80	yjfL		b4184	JW4142	YJFL_ECOLI	EG12487	yjfL	P0AF80	JW4142	Clockwise	4410002	4410400
P39295	yjfM		b4185	JW4143	YJFM_ECOLI	EG12488	yjfM	P39295	JW4143	Clockwise	4410410	4411048
P39297	bsmA	yjfO	b4189	JW5743	BSMA_ECOLI	EG12489	bsmA	P39297	JW5743	Counterclockwise	4414464	4414793
P39298	yjfP		b4190	JW4148	YJFP_ECOLI	EG12490	yjfP	P39298	JW4148	Clockwise	4414975	4415724
P0A9W0	ulaR	yjfQ	b4191	JW4149	ULAR_ECOLI	EG12491	ulaR	P0A9W0	JW4149	Counterclockwise	4415721	4416476
P39300	ulaG	yjfR	b4192	JW5868	ULAG_ECOLI	EG12492	ulaG	P39300	JW5868	Counterclockwise	4416584	4417648
P39301	ulaA	sgaT yjfS	b4193	JW5744	ULAA_ECOLI	EG12493	ulaA	P39301	JW5744	Clockwise	4418003	4419400
P69822	ulaB	sgaB yjfT	b4194	JW4152	ULAB_ECOLI	EG12494	ulaB	P69822	JW4152	Clockwise	4419416	4419721
P69820	ulaC	ptxA sgaA yjfU	b4195	JW4153	ULAC_ECOLI	EG12495	ulaC	P69820	JW4153	Clockwise	4419731	4420195
P39304	ulaD	sgaH yjfV	b4196	JW4154	ULAD_ECOLI	EG12496	ulaD	P39304	JW4154	Clockwise	4420209	4420859
P39305	ulaE	sgaU yjfW	b4197	JW4155	ULAE_ECOLI	EG12497	ulaE	P39305	JW4155	Clockwise	4420869	4421723
P39306	ulaF	sgaE yjfX	b4198	JW4156	ULAF_ECOLI	EG12498	ulaF	P39306	JW4156	Clockwise	4421723	4422409
P0AF86	yjfY		b4199	JW4157	YJFY_ECOLI	EG12499	yjfY	P0AF86	JW4157	Counterclockwise	4422539	4422814
