AAEA_ECOLI	P46482	C6EGL9_ECOBD
SLP_ECOLI	P37194	C6EEH9_ECOBD
SLT_ECOLI	P0AGC3	C6EBH9_ECOBD
SLYB_ECOLI	P0A905	C6EDK4_ECOBD
SMP_ECOLI	P0AGC7	C6EBI4_ECOBD
SMPA_ECOLI	P0A937	C6EJX6_ECOBD
SODC_ECOLI	P0AGD1	C6EDJ9_ECOBD
SOHB_ECOLI	P0AG14	C6EFW5_ECOBD
SOTB_ECOLI	P31122	C6EDW1_ECOBD
SPPA_ECOLI	P08395	C6ECJ1_ECOBD
SPR_ECOLI	P0AFV4	C6EA22_ECOBD
SPY_ECOLI	P77754	C6ECL5_ECOBD
SRNB_ECOLI	P13970	Null
SRP54_ECOLI	P0AGD7	C6EJY2_ECOBD
SSTT_ECOLI	P0AGE4	C6EHQ5_ECOBD
SSUA_ECOLI	P75853	C6EI46_ECOBD
SSUB_ECOLI	P0AAI1	C6EI49_ECOBD
SSUC_ECOLI	P75851	C6EI48_ECOBD
SUBI_ECOLI	P0AG78	C6EEY1_ECOBD
SUFA_ECOLI	P77667	Null
SUFB_ECOLI	P77522	C6ECS2_ECOBD
SUFC_ECOLI	P77499	C6ECS3_ECOBD
SUFD_ECOLI	P77689	C6ECS4_ECOBD
SUFE_ECOLI	P76194	C6ECS6_ECOBD
SUFI_ECOLI	P26648	C6EHX7_ECOBD
SUFS_ECOLI	P77444	C6ECS5_ECOBD
SUGE_ECOLI	P69937	C6ECX5_ECOBD
SURA_ECOLI	P0ABZ6	C6EB00_ECOBD
SYD_ECOLI	P21889	C6EBW1_ECOBD
SYDP_ECOLI	P0A8U0	C6EJ79_ECOBD
TATA_ECOLI	P69428	C6EF60_ECOBD
TATB_ECOLI	P69425	C6EF59_ECOBD
TATC_ECOLI	P69423	C6EF58_ECOBD
TATE_ECOLI	P0A843	C6EK66_ECOBD
TAUA_ECOLI	Q47537	C6ELL9_ECOBD
TAUB_ECOLI	Q47538	C6ELL8_ECOBD
TAUC_ECOLI	Q47539	C6ELL7_ECOBD
TDCC_ECOLI	P0AAD8	C6EHA8_ECOBD
TDCG_ECOLI	P42630	C6EHB2_ECOBD
TEHA_ECOLI	P25396	C6EET4_ECOBD
TESA_ECOLI	P0ADA1	C6EKX0_ECOBD
THD1_ECOLI	P04968	C6EG39_ECOBD
THD2_ECOLI	P0AGF6	C6EHA7_ECOBD
THIB_ECOLI	P31550	C6EAY7_ECOBD
THIC_ECOLI	P30136	C6EE24_ECOBD
THIF_ECOLI	P30138	C6EE26_ECOBD
THIK_ECOLI	P75948	C6EGY6_ECOBD
THIM_ECOLI	P76423	C6EAK6_ECOBD
THIP_ECOLI	P31549	C6EAY8_ECOBD
THIQ_ECOLI	P31548	C6EAY9_ECOBD
TISB_ECOLI	A5A627	Null
TNAB_ECOLI	P23173	C6EG94_ECOBD
TOLA_ECOLI	P19934	C6EJJ8_ECOBD
TOLB_ECOLI	P0A855	C6EJJ7_ECOBD
TOLC_ECOLI	P02930	C6EHV8_ECOBD
TOLQ_ECOLI	P0ABU9	C6EJK0_ECOBD
TOLR_ECOLI	P0ABV6	C6EJJ9_ECOBD
TONB_ECOLI	P02929	C6EFY4_ECOBD
TORA_ECOLI	P33225	C6EHL0_ECOBD
TORC_ECOLI	P33226	C6EHL1_ECOBD
TORS_ECOLI	P39453	C6EHL4_ECOBD
TORT_ECOLI	P38683	C6EHL3_ECOBD
TORY_ECOLI	P52005	C6EBV4_ECOBD
TORZ_ECOLI	P46923	C6EBV5_ECOBD
TPPB_ECOLI	P77304	Null
TQSA_ECOLI	P0AFS5	C6EDP7_ECOBD
TRAB1_ECOLI	P41067	Null
TRAC_ECOLI	P18004	Null
TRAD1_ECOLI	P09130	Null
TRAE1_ECOLI	P08322	Null
TRAF_ECOLI	P14497	Null
TRAG1_ECOLI	P33790	Null
TRAH1_ECOLI	P15069	Null
TRAK1_ECOLI	P41066	Null
TRAL1_ECOLI	P08321	Null
TRAN_ECOLI	P24082	Null
TRAP_ECOLI	P41068	Null
TRAQ_ECOLI	P18033	Null
TRAS1_ECOLI	P09129	Null
TRAT1_ECOLI	P13979	Null
TRAU_ECOLI	P18471	Null
TRAV_ECOLI	P41069	Null
TRAW_ECOLI	P18472	Null
TRAX1_ECOLI	P22709	Null
TRBA_ECOLI	P18034	Null
TRBB_ECOLI	P18035	Null
TRBC_ECOLI	P18473	Null
TRBE_ECOLI	Q05807	Null
TRBF_ECOLI	P15068	Null
TRBH_ECOLI	P19381	Null
TRBI_ECOLI	P18006	Null
TRBJ_ECOLI	P18353	Null
TREA_ECOLI	P13482	C6EGS0_ECOBD
TRKA_ECOLI	P0AGI8	C6EGH7_ECOBD
TRKG_ECOLI	P23849	C6EFM2_ECOBD
TRKH_ECOLI	P0AFZ7	C6EF49_ECOBD
TRPB_ECOLI	P0A879	C6EFX5_ECOBD
TRPC_ECOLI	P00909	C6EFX4_ECOBD
TRPG_ECOLI	P00904	C6EFX3_ECOBD
TRXB_ECOLI	P0A9P4	C6EI94_ECOBD
TSGA_ECOLI	P60778	C6EFL2_ECOBD
TSX_ECOLI	P0A927	C6ELH3_ECOBD
TTDR_ECOLI	P45463	C6EHT5_ECOBD
TTDT_ECOLI	P39414	C6EHT2_ECOBD
TYPH_ECOLI	P07650	C6EBI9_ECOBD
TYRP_ECOLI	P0AAD4	C6EBF2_ECOBD
UBIA_ECOLI	P0AGK1	C6EDY0_ECOBD
UBIB_ECOLI	P0A6A0	C6EF61_ECOBD
UBID_ECOLI	P0AAB4	C6EF55_ECOBD
UBIF_ECOLI	P75728	C6EK33_ECOBD
UBIH_ECOLI	P25534	C6EIK1_ECOBD
UDG_ECOLI	P76373	C6EB57_ECOBD
UGPA_ECOLI	P10905	C6EFC2_ECOBD
UGPB_ECOLI	P0AG80	C6EFC1_ECOBD
UGPC_ECOLI	P10907	C6EFC4_ECOBD
UGPE_ECOLI	P10906	C6EFC3_ECOBD
UHPB_ECOLI	P09835	C6EDA1_ECOBD
UHPC_ECOLI	P09836	C6EDA2_ECOBD
UHPT_ECOLI	P0AGC0	C6EDA3_ECOBD
UIDB_ECOLI	P0CE44	C6EDN1_ECOBD
UIDC_ECOLI	Q47706	C6EDN2_ECOBD
ULAA_ECOLI	P39301	C6ECF6_ECOBD
ULAC_ECOLI	P69820	C6ECF4_ECOBD
UPPP_ECOLI	P60932	C6EHT8_ECOBD
URAA_ECOLI	P0AGM7	C6EKL4_ECOBD
USHA_ECOLI	P07024	C6EKY4_ECOBD
USPA_ECOLI	P0AED0	C6EEJ0_ECOBD
USPB_ECOLI	P0A8S5	C6EEJ1_ECOBD
UUP_ECOLI	P43672	C6EI33_ECOBD
UVRA_ECOLI	P0A698	C6ED66_ECOBD
UXAA_ECOLI	P42604	C6EHQ3_ECOBD
VACJ_ECOLI	P76506	Null
VES_ECOLI	P76214	C6ECL6_ECOBD
VISC_ECOLI	P25535	C6EIK2_ECOBD
WAAU_ECOLI	P27242	Null
WCAD_ECOLI	P71238	C6EAQ1_ECOBD
WCAI_ECOLI	P32057	C6EAQ7_ECOBD
WCAJ_ECOLI	P71241	C6EAR0_ECOBD
WCAM_ECOLI	P71244	C6EAR4_ECOBD
WECA_ECOLI	P0AC78	C6EG28_ECOBD
WECC_ECOLI	P27829	C6EG25_ECOBD
WECF_ECOLI	P56258	C6EG19_ECOBD
WRBA_ECOLI	P0A8G6	C6EHK3_ECOBD
WZA_ECOLI	P0A930	C6EAP5_ECOBD
WZC_ECOLI	P76387	C6EAP7_ECOBD
WZXC_ECOLI	P77377	C6EAR1_ECOBD
WZXE_ECOLI	P0AAA7	C6EG20_ECOBD
WZYE_ECOLI	P27835	C6EG18_ECOBD
WZZB_ECOLI	P76372	C6EB58_ECOBD
WZZE_ECOLI	P0AG00	C6EG27_ECOBD
X19F_ECOLI	P47737	Null
XAPB_ECOLI	P45562	Null
XGPT_ECOLI	P0A9M5	C6EA49_ECOBD
XNI_ECOLI	P38506	C6EJ73_ECOBD
XYLE_ECOLI	P0AGF4	C6EDZ2_ECOBD
XYLF_ECOLI	P37387	C6EEB2_ECOBD
XYLG_ECOLI	P37388	Null
XYLH_ECOLI	P0AGI4	C6EEB1_ECOBD
Y1142_ECOLI	P75971	Null
YAAH_ECOLI	P0AC98	C6EB43_ECOBD
YAAI_ECOLI	P28696	C6EB41_ECOBD
YAAJ_ECOLI	P30143	C6EBG2_ECOBD
YAAU_ECOLI	P31679	C6EB08_ECOBD
YAAX_ECOLI	P75616	Null
YAAY_ECOLI	P75620	C6EB29_ECOBD
YABI_ECOLI	P30149	C6EAZ0_ECOBD
YACC_ECOLI	P0AA95	C6EAT5_ECOBD
YACH_ECOLI	P36682	C6EAU0_ECOBD
YADC_ECOLI	P31058	C6EAS2_ECOBD
YADE_ECOLI	P31666	C6EAS7_ECOBD
YADG_ECOLI	P36879	C6EAT0_ECOBD
YADH_ECOLI	P0AFN6	C6EAS9_ECOBD
YADI_ECOLI	P36881	C6EAS8_ECOBD
YADK_ECOLI	P37016	C6EAS1_ECOBD
YADL_ECOLI	P37017	C6EAS0_ECOBD
YADM_ECOLI	P37018	C6EAE6_ECOBD
YADN_ECOLI	P37050	C6EAE3_ECOBD
YADS_ECOLI	P0AFP0	C6EAC7_ECOBD
YAEF_ECOLI	P37056	C6EA91_ECOBD
YAET_ECOLI	P0A940	C6EAA8_ECOBD
YAFC_ECOLI	P30864	C6EA82_ECOBD
YAFK_ECOLI	P0AA99	C6EA64_ECOBD
YAFL_ECOLI	Q47151	C6EA60_ECOBD
YAFT_ECOLI	P77339	C6EA74_ECOBD
YAFU_ECOLI	P77354	Null
YAFY_ECOLI	P77365	Null
YAGG_ECOLI	P75683	Null
YAGL_ECOLI	P77607	Null
YAGP_ECOLI	P75684	C6EA41_ECOBD
YAGR_ECOLI	P77489	C6EA39_ECOBD
YAGS_ECOLI	P77324	C6EA38_ECOBD
YAGT_ECOLI	P77165	C6EA37_ECOBD
YAGU_ECOLI	P0AAA1	C6EA36_ECOBD
YAGV_ECOLI	P77263	C6EA34_ECOBD
YAGW_ECOLI	P77694	C6EA33_ECOBD
YAGX_ECOLI	P77802	C6EA32_ECOBD
YAHC_ECOLI	P77219	C6ELR3_ECOBD
YAHH_ECOLI	Q2EEQ3	C6ELQ8_ECOBD
YAHJ_ECOLI	P77554	C6ELQ6_ECOBD
YAHK_ECOLI	P75691	C6ELQ5_ECOBD
YAHN_ECOLI	P75693	C6ELQ2_ECOBD
YAHO_ECOLI	P75694	C6ELQ1_ECOBD
YAIO_ECOLI	Q47534	C6ELM2_ECOBD
YAIP_ECOLI	Q47536	Null
YAIT_ECOLI	P77199	C6ELL4_ECOBD
YAIW_ECOLI	P77562	C6ELK9_ECOBD
YAIY_ECOLI	P0AAP7	C6ELK8_ECOBD
YAIZ_ECOLI	P0AAQ0	C6ELK7_ECOBD
YAJC_ECOLI	P0ADZ7	C6ELH7_ECOBD
YAJG_ECOLI	P0ADA5	C6EL32_ECOBD
YAJI_ECOLI	P46122	C6ELH2_ECOBD
YAJR_ECOLI	P77726	C6EL42_ECOBD
YBAL_ECOLI	P39830	C6EKY6_ECOBD
YBAN_ECOLI	P0AAR5	C6EKZ6_ECOBD
YBAO_ECOLI	P0ACJ5	C6EL16_ECOBD
YBAT_ECOLI	P77400	C6EKX8_ECOBD
YBAV_ECOLI	P0AAR8	C6EL21_ECOBD
YBAY_ECOLI	P77717	C6EL10_ECOBD
YBBA_ECOLI	P0A9T8	C6EKW9_ECOBD
YBBC_ECOLI	P33668	C6EKW6_ECOBD
YBBD_ECOLI	P33669	C6EKW4_ECOBD
YBBJ_ECOLI	P0AAS3	C6EKX6_ECOBD
YBBL_ECOLI	P77279	C6EKX4_ECOBD
YBBM_ECOLI	P77307	C6EKX3_ECOBD
YBBP_ECOLI	P77504	C6EKW8_ECOBD
YBBV_ECOLI	P75711	Null
YBBY_ECOLI	P77328	C6EKV3_ECOBD
YBCH_ECOLI	P37325	Null
YBCI_ECOLI	P45570	C6EKT9_ECOBD
YBCL_ECOLI	P77368	C6EKE8_ECOBD
YBDG_ECOLI	P0AAT4	C6EKC4_ECOBD
YBDJ_ECOLI	P77506	C6EKC1_ECOBD
YBDR_ECOLI	P77316	C6EK86_ECOBD
YBET_ECOLI	P77296	Null
YBFA_ECOLI	P0AAU2	C6EJN5_ECOBD
YBFB_ECOLI	P0AAU5	C6EJN4_ECOBD
YBFC_ECOLI	P28915	C6EJN3_ECOBD
YBFD_ECOLI	P28916	C6EJN2_ECOBD
YBFL_ECOLI	P75741	Null
YBFM_ECOLI	P75733	C6EJQ3_ECOBD
YBFN_ECOLI	P75734	C6EJQ2_ECOBD
YBFP_ECOLI	P75737	C6EJP5_ECOBD
YBFQ_ECOLI	Q2EEQ8	Null
YBGC_ECOLI	P0A8Z3	C6EJK1_ECOBD
YBGD_ECOLI	P37909	C6EJL9_ECOBD
YBGE_ECOLI	P0AAV0	C6EJK2_ECOBD
YBGF_ECOLI	P45955	C6EJJ5_ECOBD
YBGO_ECOLI	P75748	C6EJM2_ECOBD
YBGP_ECOLI	P75749	C6EJM1_ECOBD
YBGQ_ECOLI	P75750	C6EJM0_ECOBD
YBGS_ECOLI	P0AAV6	C6EJJ1_ECOBD
YBGT_ECOLI	P56100	C6EJK3_ECOBD
YBHC_ECOLI	P46130	C6EJI8_ECOBD
YBHD_ECOLI	P52696	Null
YBHF_ECOLI	P0A9U1	C6EIY8_ECOBD
YBHG_ECOLI	P75777	C6EIY7_ECOBD
YBHI_ECOLI	P75763	Null
YBHL_ECOLI	P0AAC4	C6EIZ6_ECOBD
YBHM_ECOLI	P75769	C6EIZ5_ECOBD
YBHN_ECOLI	P75770	C6EIZ4_ECOBD
YBHO_ECOLI	P0AA84	C6EIZ3_ECOBD
YBHQ_ECOLI	P0AAW5	C6EIZ1_ECOBD
YBHR_ECOLI	P0AFP9	C6EIZ0_ECOBD
YBHS_ECOLI	P0AFQ2	C6EIY9_ECOBD
YBHT_ECOLI	P0AAW9	Null
YBIH_ECOLI	P0ACU0	C6EIY6_ECOBD
YBIJ_ECOLI	P0AAX3	C6EIY0_ECOBD
YBIO_ECOLI	P75783	C6EIX4_ECOBD
YBIP_ECOLI	P75785	C6EIW7_ECOBD
YBIR_ECOLI	P75788	C6EIW4_ECOBD
YBIS_ECOLI	P0AAX8	C6EIW3_ECOBD
YBIT_ECOLI	P0A9U3	C6EIW2_ECOBD
YBJC_ECOLI	P46119	C6EIQ5_ECOBD
YBJD_ECOLI	P75828	C6EIA5_ECOBD
YBJE_ECOLI	P75826	C6EIA7_ECOBD
YBJG_ECOLI	P75806	C6EIU2_ECOBD
YBJH_ECOLI	P0AAY4	C6EIU0_ECOBD
YBJJ_ECOLI	P75810	C6EIT8_ECOBD
YBJL_ECOLI	P60869	C6EIQ8_ECOBD
YBJM_ECOLI	P64439	C6EIQ7_ECOBD
YBJO_ECOLI	P0AAZ0	C6EIC3_ECOBD
YBJP_ECOLI	P75818	C6EIB6_ECOBD
YBJT_ECOLI	P75822	C6EIB2_ECOBD
YBJX_ECOLI	P75829	C6EIA4_ECOBD
YCAC_ECOLI	P21367	C6EI85_ECOBD
YCAD_ECOLI	P21503	C6EI84_ECOBD
YCAI_ECOLI	P37443	C6EI69_ECOBD
YCAK_ECOLI	P43340	C6EI81_ECOBD
YCAL_ECOLI	P43674	C6EI73_ECOBD
YCAM_ECOLI	P75835	C6EI83_ECOBD
YCAP_ECOLI	P75839	C6EI76_ECOBD
YCBB_ECOLI	P22525	C6EI57_ECOBD
YCBC_ECOLI	P0AB01	C6EI62_ECOBD
YCBF_ECOLI	P40876	C6EI38_ECOBD
YCBK_ECOLI	P0AB06	C6EI56_ECOBD
YCBQ_ECOLI	P75855	C6EI44_ECOBD
YCBR_ECOLI	P75856	C6EI43_ECOBD
YCBS_ECOLI	P75857	C6EI42_ECOBD
YCBT_ECOLI	P75858	C6EI41_ECOBD
YCBU_ECOLI	P75859	C6EI40_ECOBD
YCBV_ECOLI	P75860	C6EI39_ECOBD
YCCA_ECOLI	P0AAC6	C6EI11_ECOBD
YCCB_ECOLI	P24244	C6EHM8_ECOBD
YCCF_ECOLI	P0AB12	C6EI20_ECOBD
YCCM_ECOLI	P52636	C6EHL5_ECOBD
YCCS_ECOLI	P75870	C6EI21_ECOBD
YCCT_ECOLI	P0A8X4	C6EI17_ECOBD
YCDB_ECOLI	P31545	C6EHI8_ECOBD
YCDO_ECOLI	P0AB24	C6EHI9_ECOBD
YCDT_ECOLI	P75908	C6EHI2_ECOBD
YCDU_ECOLI	P75910	Null
YCDZ_ECOLI	P75916	C6EHH6_ECOBD
YCEB_ECOLI	P0AB26	C6EHF0_ECOBD
YCEG_ECOLI	P28306	C6EHB7_ECOBD
YCEH_ECOLI	P29217	C6EHE6_ECOBD
YCEI_ECOLI	P0A8X2	C6EHF7_ECOBD
YCEK_ECOLI	P0AB31	C6EHG2_ECOBD
YCEO_ECOLI	P64442	C6EHF5_ECOBD
YCFJ_ECOLI	P0AB35	C6EGY2_ECOBD
YCFL_ECOLI	P75946	C6EGY8_ECOBD
YCFM_ECOLI	P0AB38	C6EGY7_ECOBD
YCFS_ECOLI	P75954	C6EGX9_ECOBD
YCFT_ECOLI	P75955	C6EGX7_ECOBD
YCFZ_ECOLI	P75961	C6EGX0_ECOBD
YCGJ_ECOLI	P76001	C6EGT9_ECOBD
YCGK_ECOLI	P76002	C6EGT8_ECOBD
YCGR_ECOLI	P76010	C6EGS3_ECOBD
YCGV_ECOLI	P76017	C6EGR5_ECOBD
YCHE_ECOLI	P25743	C6EGM7_ECOBD
YCHH_ECOLI	P0AB49	C6EGR1_ECOBD
YCHM_ECOLI	P0AFR2	C6EGR0_ECOBD
YCHO_ECOLI	P39165	C6EGP4_ECOBD
YCIC_ECOLI	P21365	C6EFY1_ECOBD
YCIM_ECOLI	P0AB58	C6EFV4_ECOBD
YCIQ_ECOLI	P45848	Null
YCIS_ECOLI	P0ACV4	C6EFV5_ECOBD
YCJF_ECOLI	P0A8R7	C6EFR0_ECOBD
YCJN_ECOLI	P76042	C6EFS2_ECOBD
YCJO_ECOLI	P0AFR7	C6EFS1_ECOBD
YCJP_ECOLI	P77716	C6EFS0_ECOBD
YCJQ_ECOLI	P76043	C6EFR9_ECOBD
YCJV_ECOLI	P77481	C6EFR4_ECOBD
YCJZ_ECOLI	P77333	C6EFQ3_ECOBD
YDAS_ECOLI	P76063	Null
YDBA_ECOLI	P33666	Null
YDBD_ECOLI	P25907	C6EEV6_ECOBD
YDBH_ECOLI	P52645	C6EEW3_ECOBD
YDBJ_ECOLI	P0ACW2	C6EEW6_ECOBD
YDBL_ECOLI	P76076	C6EEW1_ECOBD
YDCA_ECOLI	P0ACW4	C6EEU3_ECOBD
YDCC_ECOLI	P28917	C6EEQ4_ECOBD
YDCD_ECOLI	P31991	C6EEQ5_ECOBD
YDCJ_ECOLI	P76097	C6EET9_ECOBD
YDCL_ECOLI	P64451	C6EET2_ECOBD
YDCO_ECOLI	P76103	C6EET0_ECOBD
YDCS_ECOLI	P76108	C6EES3_ECOBD
YDCT_ECOLI	P77795	C6EES2_ECOBD
YDCU_ECOLI	P77156	C6EES1_ECOBD
YDCV_ECOLI	P0AFR9	C6EES0_ECOBD
YDCX_ECOLI	P64453	C6EER8_ECOBD
YDCZ_ECOLI	P76111	C6EER6_ECOBD
YDDA_ECOLI	P31826	C6EEM1_ECOBD
YDDB_ECOLI	P31827	C6EEM2_ECOBD
YDDG_ECOLI	P46136	C6EEP4_ECOBD
YDDL_ECOLI	P77519	C6EEP5_ECOBD
YDDW_ECOLI	P64426	C6EEM6_ECOBD
YDEE_ECOLI	P31126	C6EDV3_ECOBD
YDEI_ECOLI	P31130	C6EDV0_ECOBD
YDEJ_ECOLI	P31131	C6EDU9_ECOBD
YDEK_ECOLI	P32051	C6EEK8_ECOBD
YDEN_ECOLI	P77318	C6EEL9_ECOBD
YDEO_ECOLI	P76135	C6EEL8_ECOBD
YDEQ_ECOLI	P77588	C6EEL5_ECOBD
YDER_ECOLI	P77294	C6EEL4_ECOBD
YDES_ECOLI	P77789	C6EEL3_ECOBD
YDEU_ECOLI	P77286	Null
YDFJ_ECOLI	P77228	C6EDU3_ECOBD
YDGA_ECOLI	P77804	C6EDN4_ECOBD
YDGC_ECOLI	P0ACX0	C6EDP1_ECOBD
YDGD_ECOLI	P76176	C6EDQ0_ECOBD
YDGH_ECOLI	P76177	C6EDP4_ECOBD
YDGK_ECOLI	P76180	C6EDM0_ECOBD
YDGU_ECOLI	A5A617	Null
YDHC_ECOLI	P37597	C6ECU3_ECOBD
YDHI_ECOLI	P64471	C6EDK2_ECOBD
YDHJ_ECOLI	P76185	C6EDK1_ECOBD
YDHK_ECOLI	P76186	C6EDK0_ECOBD
YDHO_ECOLI	P76190	C6ECU8_ECOBD
YDHP_ECOLI	P77389	C6ECU6_ECOBD
YDHX_ECOLI	P77375	C6ECT4_ECOBD
YDHY_ECOLI	P0AAL6	C6ECT1_ECOBD
YDIK_ECOLI	P0AFS7	C6ECR8_ECOBD
YDIM_ECOLI	P76197	Null
YDIN_ECOLI	P76198	C6ECR6_ECOBD
YDIY_ECOLI	P76206	C6ECN6_ECOBD
YDJE_ECOLI	P38055	C6ECI8_ECOBD
YDJG_ECOLI	P77256	C6ECI6_ECOBD
YDJJ_ECOLI	P77280	C6ECI3_ECOBD
YDJK_ECOLI	P76230	C6ECI2_ECOBD
YDJL_ECOLI	P77539	C6EC53_ECOBD
YDJM_ECOLI	P64481	C6ECN0_ECOBD
YDJN_ECOLI	P77529	C6ECM9_ECOBD
YDJX_ECOLI	P76219	C6ECK7_ECOBD
YDJY_ECOLI	P76220	C6ECK6_ECOBD
YDJZ_ECOLI	P76221	C6ECK5_ECOBD
YEAI_ECOLI	P76236	C6EC45_ECOBD
YEAJ_ECOLI	P76237	C6EC44_ECOBD
YEAL_ECOLI	P0ACY6	C6EC42_ECOBD
YEAN_ECOLI	P76242	C6EC40_ECOBD
YEAQ_ECOLI	P64485	Null
YEAT_ECOLI	P76250	Null
YEAV_ECOLI	P0ABD1	Null
YEAY_ECOLI	P0AA91	C6EC25_ECOBD
YEBA_ECOLI	P0AFS9	C6EBX1_ECOBD
YEBE_ECOLI	P33218	C6EBY3_ECOBD
YEBF_ECOLI	P33219	C6EBY1_ECOBD
YEBN_ECOLI	P76264	C6EC09_ECOBD
YEBO_ECOLI	P64499	C6EC05_ECOBD
YEBQ_ECOLI	P76269	C6EC01_ECOBD
YEBS_ECOLI	P0AD03	C6EBZ6_ECOBD
YEBT_ECOLI	P76272	C6EBZ5_ECOBD
YEBY_ECOLI	P64506	C6EBZ0_ECOBD
YEBZ_ECOLI	P76278	C6EBY9_ECOBD
YECC_ECOLI	P37774	C6EBE4_ECOBD
YECN_ECOLI	P64515	C6EBV8_ECOBD
YECR_ECOLI	P76308	C6EBF5_ECOBD
YECS_ECOLI	P0AFT2	C6EBE3_ECOBD
YECT_ECOLI	P76296	C6EBV0_ECOBD
YEDA_ECOLI	P0AA70	C6EBA7_ECOBD
YEDD_ECOLI	P31063	C6EBD3_ECOBD
YEDE_ECOLI	P31064	C6EBD2_ECOBD
YEDI_ECOLI	P46125	C6EBA8_ECOBD
YEDJ_ECOLI	P46144	C6EBA4_ECOBD
YEDQ_ECOLI	P76330	C6EBB0_ECOBD
YEDR_ECOLI	P76334	C6EBA3_ECOBD
YEDS_ECOLI	P76335	Null
YEDV_ECOLI	P76339	C6EBA0_ECOBD
YEDY_ECOLI	P76342	C6EB97_ECOBD
YEDZ_ECOLI	P76343	C6EB96_ECOBD
YEEA_ECOLI	P33011	C6EB75_ECOBD
YEEE_ECOLI	P33015	C6EB70_ECOBD
YEEF_ECOLI	P0AA47	C6EB69_ECOBD
YEEJ_ECOLI	P76347	C6EB89_ECOBD
YEEO_ECOLI	P76352	C6EB85_ECOBD
YEER_ECOLI	P76361	Null
YEEZ_ECOLI	P0AD12	C6EB67_ECOBD
YEFI_ECOLI	P37751	C6EB51_ECOBD
YEGE_ECOLI	P38097	C6EAP0_ECOBD
YEGH_ECOLI	P76389	C6EAP4_ECOBD
YEGI_ECOLI	P76393	C6EAN7_ECOBD
YEGJ_ECOLI	P76394	Null
YEGR_ECOLI	P76406	C6EAM3_ECOBD
YEGT_ECOLI	P76417	C6EAL2_ECOBD
YEGX_ECOLI	P76421	C6EAK8_ECOBD
YEHA_ECOLI	P33340	Null
YEHB_ECOLI	P33341	Null
YEHC_ECOLI	P33342	Null
YEHD_ECOLI	P33343	Null
YEHE_ECOLI	P33344	Null
YEHR_ECOLI	P33354	C6EAI9_ECOBD
YEHU_ECOLI	P0AD14	C6EAI6_ECOBD
YEHW_ECOLI	P33359	C6EAI3_ECOBD
YEHX_ECOLI	P33360	C6EAI2_ECOBD
YEHY_ECOLI	P33361	C6EAI1_ECOBD
YEIB_ECOLI	P25747	C6EAG1_ECOBD
YEIH_ECOLI	P62723	C6EAF5_ECOBD
YEIS_ECOLI	P64536	C6EAG7_ECOBD
YEIU_ECOLI	P76445	C6EA23_ECOBD
YEJA_ECOLI	P33913	C6EA20_ECOBD
YEJB_ECOLI	P0AFU0	C6EA19_ECOBD
YEJE_ECOLI	P33915	C6EA18_ECOBD
YEJF_ECOLI	P33916	C6EA17_ECOBD
YEJM_ECOLI	P0AD27	C6EA09_ECOBD
YEJO_ECOLI	P33924	C6EA08_ECOBD
YFAA_ECOLI	P17994	C6E9X1_ECOBD
YFAL_ECOLI	P45508	C6E9W8_ECOBD
YFAP_ECOLI	P76462	C6E9X5_ECOBD
YFAQ_ECOLI	P76463	C6E9X4_ECOBD
YFAS_ECOLI	P76464	C6E9X3_ECOBD
YFAT_ECOLI	P76466	C6E9X2_ECOBD
YFAV_ECOLI	P76470	Null
YFAZ_ECOLI	P76471	C6E9V0_ECOBD
YFBK_ECOLI	P76481	Null
YFBL_ECOLI	P76482	Null
YFBS_ECOLI	P0AFU2	C6ELG1_ECOBD
YFBV_ECOLI	P0A8D9	C6ELF8_ECOBD
YFCA_ECOLI	P0AD30	C6ELC6_ECOBD
YFCC_ECOLI	P39263	C6ELF5_ECOBD
YFCJ_ECOLI	P77549	C6ELD1_ECOBD
YFCO_ECOLI	P76498	C6ELC1_ECOBD
YFCP_ECOLI	P76499	C6ELC0_ECOBD
YFCQ_ECOLI	P76500	C6ELB9_ECOBD
YFCR_ECOLI	P76501	C6ELB8_ECOBD
YFCS_ECOLI	P77599	C6ELB7_ECOBD
YFCU_ECOLI	P77196	C6ELB6_ECOBD
YFCV_ECOLI	P77288	C6ELB5_ECOBD
YFDC_ECOLI	P37327	C6ELA5_ECOBD
YFDE_ECOLI	P76518	C6EL97_ECOBD
YFDI_ECOLI	P76507	Null
YFDV_ECOLI	P0AA49	C6EL96_ECOBD
YFDX_ECOLI	P76520	C6EL93_ECOBD
YFDY_ECOLI	P76521	C6EL91_ECOBD
YFEA_ECOLI	P23842	C6EL75_ECOBD
YFEH_ECOLI	P39836	C6EL69_ECOBD
YFEK_ECOLI	Q47702	C6EL58_ECOBD
YFEN_ECOLI	P45564	Null
YFEO_ECOLI	P67729	C6EL79_ECOBD
YFEW_ECOLI	P77619	Null
YFEY_ECOLI	P76537	C6EKS2_ECOBD
YFEZ_ECOLI	P76538	C6EKS1_ECOBD
YFFQ_ECOLI	P76548	Null
YFGC_ECOLI	P66948	C6EKL7_ECOBD
YFGF_ECOLI	P77172	C6EKK8_ECOBD
YFGG_ECOLI	P64545	C6EKK6_ECOBD
YFGH_ECOLI	P65290	C6EKK4_ECOBD
YFGI_ECOLI	P76573	C6EKK3_ECOBD
YFGL_ECOLI	P77774	C6EKJ7_ECOBD
