Join Name	BL21Remv	K12Total	No files found in	BL21Remv Duplicates	K12Total Duplicates
P38051	1	1	2	1	1	C6E9T4
P37355	1	1	2	1	1	C6E9T6
P0C0T5	1	1	2	1	1	C6ELC5
P07623	1	1	2	1	1	C6EE10
P00935	1	1	2	1	1	C6EE69
P06721	1	1	2	1	1	C6EHY6
P25665	1	1	2	1	1	C6EF82
P0AEZ1	1	1	2	1	1	C6EE67
P13009	1	1	2	1	1	C6EE05
P31547	1	1	2	1	1	C6EA86
P0A8U6	1	1	2	1	1	C6EE70
P0A817	1	1	2	1	1	C6EIG9
P30750	1	1	2	1	1	C6EA85
P28635	1	1	2	1	1	C6EA87
P0A9F9	1	1	2	1	1	C6EF83
P30958	1	1	2	1	1	C6EGX8
P0AAG8	1	1	2	1	1	C6EAG3
P23200	1	1	2	1	1	C6EAG4
P0A731	1	1	2	1	1	C6EI18
P77397	1	1	2	1	1	C6ELN3
P0ABR9	1	1	2	1	1	C6ELN2
P77044	1	1	2	1	1	C6ELN1
P77608	1	1	2	2	1	C6ELN0;C6EBM0
P77569	1	1	2	1	1	C6ELN4
P77589	1	1	2	1	1	C6ELM7
P16384	1	1	2	1	1	C6ECV7
P0AEI1	1	1	2	1	1	C6EK34
P18196	1	1	2	1	1	C6EGU0
P0AEZ3	1	1	2	1	1	C6EGU1
P0A734	1	1	2	1	1	C6EGU2
P03817	1	1	2	1	1	C6EG61
P0A908	1	1	2	1	1	C6EC47
P64602	1	1	2	1	1	C6EH36
P63386	1	1	2	1	1	C6EH32
P50456	1	1	2	1	1	C6EDQ4
P28224	1	1	2	1	1	C6EDK6
P33358	1	1	2	1	1	C6EAI5
P0A935	1	1	2	1	1	C6EJ53
P41052	1	1	2	1	1	C6EJT0
P0C066	1	1	2	1	1	C6EIE7
P0AEZ7	1	1	2	1	1	C6EA79
P0AGC5	1	1	2	1	1	C6EK32
P52045	1	1	2	1	1	C6EIJ0
P54746	1	1	2	1	1	C6EJK6
P13669	1	1	2	1	1	C6EJK8
P25745	1	1	2	1	1	C6EGV8
P77182	1	1	2	1	1	C6ELC9
P25522	1	1	2	1	1	C6EG97
P0A6U3	1	1	2	1	1	C6EG62
P0A769	1	1	2	1	1	C6EL77
P0A9F1	1	1	2	1	1	C6EIW5
P30745	1	1	2	1	1	C6EJ01
P0AEZ9	1	1	2	1	1	C6EJ00
P0A738	1	1	2	1	1	C6EIZ9
P30748	1	1	2	1	1	C6EIZ8
P30749	1	1	2	1	1	C6EIZ7
P32173	1	1	2	1	1	C6EF46
P32125	1	1	2	1	1	C6EF47
P12281	1	1	2	1	1	C6EIV5
P12282	1	1	2	1	1	C6EIV6
P0AF03	1	1	2	1	1	C6EB44
P76096	1	1	2	1	1	C6EEU2
P33236	1	1	2	1	1	C6EB36
P33345	1	1	2	1	1	C6EAJ6
P09348	1	1	2	1	1	C6EBT7
P0AF06	1	1	2	1	1	C6EBT8
P0ACV6	1	1	2	1	1	C6EFQ6
P76329	1	1	2	1	1	C6EBB1
P37773	1	1	2	1	1	C6ECB6
P77348	1	1	2	1	1	C6EFQ2
P0ACR9	1	1	2	1	1	C6EJU2
P33940	1	1	2	1	1	C6E9Y9
Q46865	1	1	2	1	1	C6EHX1
P0A6W3	1	1	2	1	1	C6EAW8
P22186	1	1	2	1	1	C6EAX4
P0A9X4	1	1	2	1	1	C6EGL0
P0ABH4	1	1	2	1	1	C6EGL2
P0AF08	1	1	2	1	1	C6EAJ8
P24202	1	1	2	1	1	C6EBM9
P60752	1	1	2	1	1	C6EI68
P24205	1	1	2	1	1	C6EBX2
P0A742	1	1	2	1	1	C6EGH6
P0C0S1	1	1	2	1	1	C6EII5
P0A744	1	1	2	1	1	C6ECC6
P0A746	1	1	2	1	1	C6EC51
P25738	1	1	2	1	1	C6EHG1
P76346	1	1	2	1	1	C6EB91
P46022	1	1	2	1	1	C6EH19
P09424	1	1	2	1	1	C6EDJ2
P0AF10	1	1	2	1	1	C6EDJ1
P0AF12	1	1	2	1	1	C6EAC5
P40874	1	1	2	1	1	C6EHF4
P0AAD2	1	1	2	1	1	C6EH64
P0A9H1	1	1	2	1	1	C6EHS7
P22523	1	1	2	1	1	C6EI58
P22524	1	1	2	1	1	C6EI59
P60293	1	1	2	1	1	C6EI60
P0A749	1	1	2	1	1	C6EH38
P08373	1	1	2	1	1	C6EE42
P17952	1	1	2	1	1	C6EAW4
P14900	1	1	2	1	1	C6EAW7
P22188	1	1	2	1	1	C6EAX0
P11880	1	1	2	1	1	C6EAW9
P17443	1	1	2	1	1	C6EAW5
P22634	1	1	2	1	1	C6EE43
P76535	1	1	2	1	1	C6EL49
P77245	1	1	2	1	1	C6EL50
P06722	1	1	2	1	1	C6EJ37
P23367	1	1	2	1	1	C6ECV8
P23909	1	1	2	1	1	C6EJD4
P08337	1	1	2	1	1	C6EAV6
P17802	1	1	2	1	1	C6EIE9
P75931	1	1	2	1	1	C6EHE5
P0AF16	1	1	2	1	1	C6EHE4
Q47005	1	1	2	1	1	C6EB83
P11458	1	1	2	1	1	C6EJJ4
P10902	1	1	2	2	1	C6EK12;C6ECE4
P30011	1	1	2	1	1	C6EAU8
P0A752	1	1	2	1	1	C6EK54
P18843	1	1	2	1	1	C6ECL8
P27278	1	1	2	1	1	C6EBI1
P0AF18	1	1	2	1	1	C6EJQ8
P0A759	1	1	2	1	1	C6EJQ7
P0AF20	1	1	2	1	1	C6EJQ9
P0AF24	1	1	2	1	1	C6EJR0
P75949	1	1	2	1	1	C6EGY5
P0A6L4	1	1	2	1	1	C6EH07
P69856	1	1	2	1	1	C6EBS4
P0A761	1	1	2	1	1	C6EH09
P39371	1	1	2	1	1	C6EBS5
P0A8W0	1	1	2	1	1	C6EH06
P41036	1	1	2	1	1	C6EH08
P33937	1	1	2	1	1	C6E9Z4
P0ABL3	1	1	2	1	1	C6E9Z7
P0ABL5	1	1	2	1	1	C6E9Z8
P0A9I5	1	1	2	1	1	C6E9Z3
P0AAL0	1	1	2	1	1	C6E9Z2
P0AAL3	1	1	2	1	1	C6E9Z5
P33934	1	1	2	1	1	C6E9Z6
P09152	1	1	2	1	1	C6EGN9
P11349	1	1	2	1	1	C6EGN8
P11350	1	1	2	1	1	C6EGN6
P0AF26	1	1	2	1	1	C6EGN7
P10903	1	1	2	1	1	C6EGP0
P0AF28	1	1	2	1	1	C6EGP3
P31802	1	1	2	1	1	C6EA07
P27896	1	1	2	1	1	C6EKP3
P37758	1	1	2	1	1	C6EEP6
P0AF32	1	1	2	1	1	C6EEQ0
P19317	1	1	2	1	1	C6EEP9
P0AFA2	1	1	2	1	1	C6EGP2
P19318	1	1	2	1	1	C6EEP8
P19319	1	1	2	1	1	C6EEP7
P0A763	1	1	2	1	1	C6EKJ1
P33920	1	1	2	1	1	C6EA11
P77258	1	1	2	1	1	C6ECV3
P67430	1	1	2	1	1	C6ECV4
P0ADL1	1	1	2	1	1	C6EDA7
P68739	1	1	2	1	1	C6EE20
P38489	1	1	2	1	1	C6EKC3
P17117	1	1	2	1	1	C6EIQ4
P63020	1	1	2	1	1	C6EFG0
P13738	1	1	2	1	1	C6EB35
P0AFA7	1	1	2	1	1	C6EGT1
P0A9G2	1	1	2	1	1	C6EB34
P77567	1	1	2	1	1	C6EEQ1
P52647	1	1	2	1	1	C6EEW7
P0ACD4	1	1	2	1	1	C6EKH8
P33590	1	1	2	1	1	C6EF98
P33591	1	1	2	1	1	C6EF97
P0AFA9	1	1	2	1	1	C6EF96
P33593	1	1	2	1	1	C6EF95
P33594	1	1	2	1	1	C6EF94
P0A6Z6	1	1	2	1	1	C6EF93
P08201	1	1	2	1	1	C6EFL1
P0AC26	1	1	2	1	1	C6EFK9
P0A9I8	1	1	2	1	1	C6EFL0
P04846	1	1	2	1	1	C6EDB0
P0A903	1	1	2	1	1	C6EKN4
P23898	1	1	2	1	1	C6ECP9
P0ADA3	1	1	2	1	1	C6EJC5
P40710	1	1	2	1	1	C6EA92
P0AFB1	1	1	2	1	1	C6EH62
P37013	1	1	2	1	1	C6EJS2
Q46877	1	1	2	1	1	C6EJS1
P37596	1	1	2	1	1	C6EJS0
P75960	1	1	2	1	1	C6EGX1
P28903	1	1	2	1	1	C6ECB1
P0A9N8	1	1	2	1	1	C6ECB2
P0AC65	1	1	2	1	1	C6EJV2
P0A772	1	1	2	1	1	C6EJV1
P0A8D0	1	1	2	1	1	C6ELH1
P0ABK9	1	1	2	1	1	C6ED55
P0ABL1	1	1	2	1	1	C6ED54
P0AAK7	1	1	2	1	1	C6ED53
P32709	1	1	2	1	1	C6ED52
P32711	1	1	2	1	1	C6ED50
P32712	1	1	2	1	1	C6ED49
P0A9E9	1	1	2	1	1	C6EAF0
P0AF63	1	1	2	1	1	C6ECH1
P0AFB5	1	1	2	1	1	C6EF32
P0AFB8	1	1	2	1	1	C6EF33
P0AFC0	1	1	2	1	1	C6EBW2
P32664	1	1	2	1	1	C6EE22
P32056	1	1	2	1	1	C6EAQ6
P45799	1	1	2	1	1	C6EFH9
P77788	1	1	2	1	1	C6ECJ8
P52006	1	1	2	1	1	C6E9U9
P0AEI6	1	1	2	1	1	C6EGV7
P37128	1	1	2	1	1	C6EKP5
P43337	1	1	2	1	1	C6EC18
P0AFC3	1	1	2	1	1	C6E9R4
P0AFC7	1	1	2	1	1	C6E9R5
P33599	1	1	2	1	1	C6E9R6
P0AFD1	1	1	2	1	1	C6E9R7
P31979	1	1	2	1	1	C6E9R8
P33602	1	1	2	1	1	C6E9R9
P0AFD4	1	1	2	1	1	C6E9S0
P0AFD6	1	1	2	1	1	C6E9S1
P0AFE0	1	1	2	1	1	C6E9S2
P33607	1	1	2	1	1	C6E9S4
P0AFE8	1	1	2	1	1	C6E9S5
P0AFF0	1	1	2	1	1	C6E9S6
P0AFF2	1	1	2	1	1	C6EL76
P33021	1	1	2	1	1	C6EAF2
P0AFF6	1	1	2	1	1	C6EH56
P0A780	1	1	2	1	1	C6ELG8
P0AFG0	1	1	2	1	1	C6EE37
P42641	1	1	2	1	1	C6EH44
P0AFG3	1	1	2	1	1	C6EJL2
P0AFG6	1	1	2	1	1	C6EJL1
P0AFG8	1	1	2	1	1	C6EAU3
P06959	1	1	2	1	1	C6EAU2
P0AFH0	1	1	2	1	1	C6EFP8
P0A910	1	1	2	1	1	C6EI25
P02931	1	1	2	1	1	C6EI53
P76045	1	1	2	1	1	C6EFR3
P76773	1	1	2	1	1	C6EF26
P77747	1	1	2	1	1	C6EEW8
P0AA16	1	1	2	1	1	C6EFG9
P0A915	1	1	2	1	1	C6EFY0
P0A917	1	1	2	1	1	C6EIW8
P27298	1	1	2	1	1	C6EEI7
P39401	1	1	2	1	1	C6EBL1
P75920	1	1	2	1	1	C6EHG5
P40120	1	1	2	1	1	C6EET8
P33136	1	1	2	1	1	C6EHG4
P62517	1	1	2	1	1	C6EHG3
P23843	1	1	2	1	1	C6EGM4
P0AFH2	1	1	2	1	1	C6EGM3
P0AFH6	1	1	2	1	1	C6EFZ1
P76027	1	1	2	1	1	C6EFZ0
P77737	1	1	2	1	1	C6EFY9
P0A784	1	1	2	1	1	C6ECW3
P0C0L2	1	1	2	1	1	C6EEN5
P0ADB1	1	1	2	1	1	C6ECL9
P33362	1	1	2	1	1	C6EAI0
P0AFH8	1	1	2	1	1	C6EBJ6
P04391	1	1	2	1	1	C6EC97
P31677	1	1	2	1	1	C6EBT3
P31678	1	1	2	1	1	C6EBT2
P25714	1	1	2	1	1	C6EG98
P0AFI0	1	1	2	1	1	C6EL95
P0ACQ4	1	1	2	1	1	C6EE48
P0A9L8	1	1	2	1	1	C6ELK1
P0A921	1	1	2	1	1	C6EF90
P00903	1	1	2	1	1	C6EGA3
P05041	1	1	2	1	1	C6EC19
P28305	1	1	2	1	1	C6EHB8
P0A912	1	1	2	1	1	C6EJJ6
P31057	1	1	2	1	1	C6EAS3
P31663	1	1	2	1	1	C6EAS4
P0A790	1	1	2	1	1	C6EAS6
P0A9J4	1	1	2	1	1	C6EL44
P16256	1	1	2	1	1	C6EGK2
P0AFI2	1	1	2	1	1	C6EHX4
P20083	1	1	2	1	1	C6EHW3
P42588	1	1	2	1	1	C6EHS3
P0AD65	1	1	2	1	1	C6EK58
P0AFI5	1	1	2	1	1	C6EAH7
P02918	1	1	2	1	1	C6EFI0
P02919	1	1	2	1	1	C6EAD5
P76577	1	1	2	1	1	C6EKJ0
P22259	1	1	2	1	1	C6EFH1
P0ABF1	1	1	2	1	1	C6EAE1
P0ACL9	1	1	2	1	1	C6EAU4
P19624	1	1	2	1	1	C6EB01
P05459	1	1	2	1	1	C6ELD3
P0AFI7	1	1	2	1	1	C6EDK7
P0A794	1	1	2	1	1	C6EK23
P40191	1	1	2	1	1	C6EL59
P77150	1	1	2	1	1	C6EDK9
P37095	1	1	2	1	1	C6EKI4
P15288	1	1	2	1	1	C6EA50
P0A7C6	1	1	2	1	1	C6EE03
P21165	1	1	2	1	1	C6EF51
P29745	1	1	2	1	1	C6EGW4
P0A9N4	1	1	2	1	1	C6EI80
P09373	1	1	2	2	1	C6EI79;C6EK07
P32675	1	1	2	1	1	C6EE57
P32674	1	1	2	1	1	C6EE58
P75794	1	1	2	1	1	C6EIV8
P75793	1	1	2	1	1	C6EIV9
P69434	1	1	2	1	1	C6EHI3
P75906	1	1	2	1	1	C6EHI4
P75905	1	1	2	1	1	C6EHI5
P69432	1	1	2	1	1	C6EHI6
P0A799	1	1	2	1	1	C6EII3
P36938	1	1	2	1	1	C6EJP6
P77366	1	1	2	1	1	C6EFR5
P18200	1	1	2	1	1	C6ELG6
P0A924	1	1	2	1	1	C6EFV6
P0ABF8	1	1	2	1	1	C6EBF0
P0A9J8	1	1	2	1	1	C6EJZ3
P24207	1	1	2	1	1	C6EKC5
P0AFJ1	1	1	2	1	1	C6ED16
P16681	1	1	2	1	1	C6ED17
P16677	1	1	2	1	1	C6ED18
P16682	1	1	2	1	1	C6ED19
P16683	1	1	2	1	1	C6ED20
P16684	1	1	2	1	1	C6ED21
P16685	1	1	2	1	1	C6ED22
P16686	1	1	2	1	1	C6ED23
P16687	1	1	2	1	1	C6ED24
P16688	1	1	2	1	1	C6ED25
P16678	1	1	2	1	1	C6ED26
P16679	1	1	2	1	1	C6ED27
P16689	1	1	2	1	1	C6ED28
P16690	1	1	2	1	1	C6ED29
P16691	1	1	2	1	1	C6ED30
P16692	1	1	2	1	1	C6ED31
P0AFJ5	1	1	2	1	1	C6ELI5
P02932	1	1	2	1	1	C6EA44
P0A9K1	1	1	2	1	1	C6EHI7
P0A9K3	1	1	2	1	1	C6EK35
P23836	1	1	2	1	1	C6EGW1
P23837	1	1	2	1	1	C6EGW2
P08400	1	1	2	1	1	C6ELI4
P0A9K7	1	1	2	1	1	C6EG79
P45548	1	1	2	1	1	C6EFJ7
P00914	1	1	2	1	1	C6EJN0
P77409	1	1	2	1	1	C6ECT5
P0AC86	1	1	2	1	1	C6EFE6
P00490	1	1	2	1	1	C6EFF7
Q46806	1	1	2	1	1	C6EIN5
P0A7A5	1	1	2	1	1	C6EJC4
P0AFJ7	1	1	2	1	1	C6EEJ2
P43676	1	1	2	1	1	C6EI05
P07000	1	1	2	1	1	C6EF86
P0A7A7	1	1	2	1	1	C6EDX9
P26647	1	1	2	1	1	C6EHX6
P27247	1	1	2	1	1	C6EHC4
P60782	1	1	2	1	1	C6EHT6
P0AFK0	1	1	2	1	1	C6ECB4
P37590	1	1	2	1	1	C6E9U0
P21369	1	1	2	1	1	C6ECI9
P18133	1	1	2	1	1	C6EI51
P05055	1	1	2	1	1	C6EH61
P07001	1	1	2	1	1	C6EDP5
P0AB67	1	1	2	1	1	C6EDP6
P0AFK2	1	1	2	1	1	C6EJJ3
P69874	1	1	2	1	1	C6EGW5
P0AFK4	1	1	2	1	1	C6EGW6
P0AFK6	1	1	2	1	1	C6EGW7
P0AFK9	1	1	2	1	1	C6EGW8
P0AAF1	1	1	2	1	1	C6EJP3
P31133	1	1	2	1	1	C6EIC7
P31134	1	1	2	1	1	C6EIC6
P31135	1	1	2	1	1	C6EIC5
P0AFL1	1	1	2	1	1	C6EIC4
P07003	1	1	2	1	1	C6EIB0
P07102	1	1	2	1	1	C6EHM7
P00634	1	1	2	1	1	C6ELK4
P33554	1	1	2	1	1	C6EJ43
P08371	1	1	2	1	1	C6EJ44
P08372	1	1	2	1	1	C6EJ46
P36647	1	1	2	1	1	C6EAU9
P0AFL3	1	1	2	1	1	C6EFL3
P23869	1	1	2	1	1	C6EKU1
P0A9L5	1	1	2	1	1	C6EG36
P0ADY1	1	1	2	1	1	C6EL22
P0A7B1	1	1	2	1	1	C6EKL0
P0A7B3	1	1	2	1	1	C6EJX8
Q46836	1	1	2	1	1	C6EID8
P23538	1	1	2	1	1	C6ECQ5
P31992	1	1	2	1	1	C6EEQ3
P0AFL6	1	1	2	1	1	C6EKK9
P0AFL9	1	1	2	1	1	C6EI32
P43671	1	1	2	1	1	C6EI31
P31828	1	1	2	1	1	C6EEM3
P23865	1	1	2	1	1	C6EBZ9
P17888	1	1	2	1	1	C6EE74
P07013	1	1	2	1	1	C6ECE8
P23862	1	1	2	1	1	C6EKZ7
P0ABS5	1	1	2	1	1	C6EHS9
P0A8T1	1	1	2	1	1	C6EGK1
P07004	1	1	2	1	1	C6EA42
P0A7B5	1	1	2	1	1	C6EA43
P0C0L7	1	1	2	1	1	C6ED13
P45577	1	1	2	1	1	C6EBZ8
P14175	1	1	2	1	1	C6EJU8
P14176	1	1	2	1	1	C6EJU7
P0AFM2	1	1	2	1	1	C6EJU6
P0AAE2	1	1	2	1	1	C6ELI2
P55798	1	1	2	2	1	C6EBZ1;C6EJG4
P55799	1	1	2	1	1	C6EJD3
P77541	1	1	2	1	1	C6ELP9
P31660	1	1	2	1	1	C6ELP7
P77243	1	1	2	1	1	C6ELP6
P77495	1	1	2	1	1	C6ELP5
P77743	1	1	2	1	1	C6ELQ0
P0A8K1	1	1	2	1	1	C6ECW5
P0A7C8	1	1	2	1	1	C6EDZ3
P0AFM4	1	1	2	1	1	C6ELK3
P37344	1	1	2	1	1	C6EFS9
P23830	1	1	2	1	1	C6EK01
P07654	1	1	2	1	1	C6EG77
P0AAH0	1	1	2	1	1	C6EG78
P0AGH8	1	1	2	1	1	C6EG76
P0AG82	1	1	2	1	1	C6EG75
P33025	1	1	2	1	1	C6EAE8
P30235	1	1	2	1	1	C6EAE7
P33024	1	1	2	1	1	C6EAE9
P08839	1	1	2	1	1	C6EL61
P37177	1	1	2	1	1	C6EJ40
P0A9M8	1	1	2	1	1	C6ELF6
P32155	1	1	2	1	1	C6EEZ9
P69811	1	1	2	1	1	C6EA29
P69808	1	1	2	1	1	C6EL81
P69816	1	1	2	1	1	C6EE59
P32676	1	1	2	1	1	C6EE56
P20966	1	1	2	1	1	C6EA31
P77579	1	1	2	1	1	C6EL82
P32672	1	1	2	1	1	C6EE60
P32154	1	1	2	1	1	C6EF00
P77439	1	1	2	1	1	C6EL85
P32670	1	1	2	1	1	C6EE61
P69783	1	1	2	1	1	C6EL60
P69786	1	1	2	1	1	C6EGZ1
P0A7D1	1	1	2	1	1	C6EGR2
P05706	1	1	2	1	1	C6EJS7
P56580	1	1	2	1	1	C6EJS8
P56579	1	1	2	1	1	C6EJS9
P0AA04	1	1	2	1	1	C6EL62
P24241	1	1	2	1	1	C6EJR6
P69828	1	1	2	1	1	C6EAL6
P37188	1	1	2	1	1	C6EAL7
P69831	1	1	2	1	1	C6EAL8
P00550	1	1	2	1	1	C6EDJ3
P69824	1	1	2	1	1	C6EIH6
P69826	1	1	2	1	1	C6EIH7
P69797	1	1	2	1	1	C6EC13
P69801	1	1	2	1	1	C6EC12
P69805	1	1	2	1	1	C6EC11
P19642	1	1	2	1	1	C6EDM6
P42909	1	1	2	1	1	C6EH87
P42904	1	1	2	1	1	C6EH94
P42910	1	1	2	1	1	C6EH86
P42911	1	1	2	2	1	C6EH85;C6EH92
P65870	1	1	2	1	1	C6EJA7
P69791	1	1	2	1	1	C6ECM2
P69795	1	1	2	1	1	C6ECM0
P17334	1	1	2	1	1	C6ECM1
P05458	1	1	2	1	1	C6EJ48
P24555	1	1	2	1	1	C6EBY4
P69829	1	1	2	1	1	C6EH23
P0A9N0	1	1	2	1	1	C6EH21
P36672	1	1	2	1	1	C6ECA8
P08722	1	1	2	1	1	C6EG81
P09323	1	1	2	1	1	C6EJQ6
P69789	1	1	2	1	1	C6ED86
P77272	1	1	2	1	1	C6EKS4
P0AG16	1	1	2	1	1	C6ELE1
P15640	1	1	2	1	1	C6EE13
P08179	1	1	2	1	1	C6EKL1
P15254	1	1	2	1	1	C6EKF0
P08178	1	1	2	1	1	C6EKL2
P0AG18	1	1	2	1	1	C6EKU3
P0A7D7	1	1	2	1	1	C6EKN5
P0AB89	1	1	2	1	1	C6EGW0
P15639	1	1	2	1	1	C6EE12
P0A7D4	1	1	2	1	1	C6ECH2
P09029	1	1	2	1	1	C6EKU4
P0ACP7	1	1	2	1	1	C6ECU5
P33221	1	1	2	1	1	C6EBX9
P37051	1	1	2	1	1	C6EGN5
P09546	1	1	2	1	1	C6EHJ3
P07117	1	1	2	1	1	C6EHJ1
P78061	1	1	2	1	1	C6EFT5
P37906	1	1	2	1	1	C6EFT1
P23883	1	1	2	2	1	C6EFT2;C6EBL7
P76038	1	1	2	1	1	C6EFT4
P50457	1	1	2	1	1	C6EFT0
P76037	1	1	2	1	1	C6EFT6
P0A9U6	1	1	2	1	1	C6EFT3
P0A786	1	1	2	1	1	C6ECA3
P05020	1	1	2	1	1	C6EHF1
P0A7E1	1	1	2	1	1	C6EI37
P0A7E3	1	1	2	1	1	C6EDE9
P08244	1	1	2	1	1	C6EFV3
P0A7E5	1	1	2	1	1	C6EJ92
P0A7E9	1	1	2	1	1	C6EAB4
P0A7F3	1	1	2	1	1	C6ECA4
P0AA53	1	1	2	1	1	C6EKX5
P28304	1	1	2	1	1	C6EDW9
P52076	1	1	2	1	1	C6EHW8
P40719	1	1	2	1	1	C6EHW7
P0A7F9	1	1	2	1	1	C6ELH9
P77756	1	1	2	1	1	C6EL19
Q46920	1	1	2	1	1	C6EJ78
P24554	1	1	2	1	1	C6EBI2
P0AD49	1	1	2	1	1	C6EJZ4
P60240	1	1	2	1	1	C6EAZ6
P0AAZ4	1	1	2	1	1	C6EI90
P27844	1	1	2	1	1	C6EFZ3
P31473	1	1	2	1	1	C6EG57
P0A7G2	1	1	2	1	1	C6EH58
P04983	1	1	2	2	1	C6EG53;C6EJ65
P02925	1	1	2	2	1	C6EG51;C6EJ67
P0A9J6	1	1	2	1	1	C6EG50
P0ACQ0	1	1	2	1	1	C6EG49
P69506	1	1	2	1	1	C6ECD5
P69405	1	1	2	1	1	C6EBB4
P14376	1	1	2	1	1	C6E9Y2
P69411	1	1	2	1	1	C6EA88
P52061	1	1	2	1	1	C6EIF7
P36767	1	1	2	1	1	C6ELJ1
P0C0K3	1	1	2	1	1	C6EF44
P0A7G6	1	1	2	1	1	C6EJT2
P0A7H0	1	1	2	1	1	C6ECH9
P24230	1	1	2	1	1	C6EDD8
P21893	1	1	2	1	1	C6EIL6
P05824	1	1	2	1	1	C6EJX7
P0A7H3	1	1	2	1	1	C6EK22
P15043	1	1	2	1	1	C6EF89
P0A7H6	1	1	2	1	1	C6EKZ2
P33596	1	1	2	1	1	C6EJT3
P0AG20	1	1	2	1	1	C6EJ88
P09980	1	1	2	1	1	C6EG35
P0A7I0	1	1	2	1	1	C6EGQ5
P0A7I4	1	1	2	1	1	C6EBJ7
P24173	1	1	2	1	1	C6EDG9
P37692	1	1	2	1	1	C6EDH0
P25740	1	1	2	1	1	C6EDG0
P0AFW0	1	1	2	1	1	C6EF56
P25741	1	1	2	1	1	C6EDG1
P25742	1	1	2	1	1	C6EDF9
P37759	1	1	2	1	1	C6EAR6
P37760	1	1	2	1	1	C6EAR7
P27833	1	1	2	1	1	C6EG21
P27832	1	1	2	1	1	C6EG22
P27830	1	1	2	1	1	C6EG24
P28369	1	1	2	1	1	C6EA51
P32170	1	1	2	1	1	C6EEZ5
P32171	1	1	2	1	1	C6EEZ4
P32169	1	1	2	1	1	C6EEZ6
P32156	1	1	2	1	1	C6EEZ7
P77215	1	1	2	1	1	C6E9V3
P09378	1	1	2	1	1	C6EEZ1
P09377	1	1	2	1	1	C6EEZ2
P27125	1	1	2	1	1	C6EEZ0
P0A8J8	1	1	2	1	1	C6EG33
P25888	1	1	2	1	1	C6EIY5
P0AG30	1	1	2	1	1	C6EG30
P0AA67	1	1	2	1	1	C6EIW9
P0AG34	1	1	2	1	1	C6EF87
P0AG38	1	1	2	1	1	C6EF88
P0A7I7	1	1	2	1	1	C6EFV7
P0A7J0	1	1	2	1	1	C6EHV2
P25539	1	1	2	1	1	C6ELH0
P0AG40	1	1	2	1	1	C6EB28
P41409	1	1	2	1	1	C6EK45
P33022	1	1	2	1	1	C6EAF1
P22564	1	1	2	1	1	C6EB23
P0A944	1	1	2	1	1	C6EBJ9
P0A948	1	1	2	1	1	C6EHE7
P0C0U4	1	1	2	1	1	C6EIQ3
P13857	1	1	2	1	1	C6EET6
P0A7X6	1	1	2	1	1	C6EJY4
P45748	1	1	2	1	1	C6EGI4
P0AEI4	1	1	2	1	1	C6EIU8
P0A8A8	1	1	2	1	1	C6EH55
P00452	1	1	2	1	1	C6E9W7
P69924	1	1	2	1	1	C6E9W6
P39452	1	1	2	1	1	C6EJV0
P37146	1	1	2	1	1	C6EJU9
P0AFU8	1	1	2	1	1	C6ECU1
P61714	1	1	2	1	1	C6ELG9
P0A7L0	1	1	2	1	1	C6EE35
P0A7J3	1	1	2	1	1	C6EE34
P0A7J7	1	1	2	1	1	C6EE36
P0AA10	1	1	2	1	1	C6EH01
P0ADY3	1	1	2	1	1	C6EGF6
P02413	1	1	2	1	1	C6EGG5
P0ADY7	1	1	2	1	1	C6EGF3
P0AG44	1	1	2	1	1	C6EGH2
P0A7K6	1	1	2	1	1	C6EJY6
P60422	1	1	2	1	1	C6EGE9
P0A7L3	1	1	2	1	1	C6ECP1
P0AG48	1	1	2	1	1	C6EH41
P61175	1	1	2	1	1	C6EGF1
P0ADZ0	1	1	2	1	1	C6EGE8
P60624	1	1	2	1	1	C6EGF7
P68919	1	1	2	1	1	C6EA12
P0A7L8	1	1	2	1	1	C6EH42
P0A7M2	1	1	2	1	1	C6EDF4
P60438	1	1	2	1	1	C6EGE6
P0AG51	1	1	2	1	1	C6EGG4
P0A7M9	1	1	2	1	1	C6EE73
P0A7N1	1	1	2	1	1	C6ELT3
P0A7N4	1	1	2	1	1	C6EHC5
P0A7N9	1	1	2	1	1	C6EDF5
P0A7Q6	1	1	2	1	1	C6EGG7
P60723	1	1	2	1	1	C6EGE7
P62399	1	1	2	1	1	C6EGF8
P0AG55	1	1	2	1	1	C6EGG1
P0A7K2	1	1	2	1	1	C6EE33
P0A7R1	1	1	2	1	1	C6ECE6
P36999	1	1	2	1	1	C6EC08
P63177	1	1	2	1	1	C6ECG9
P0C0R7	1	1	2	1	1	C6EH48
P75782	1	1	2	1	1	C6EIX5
P42596	1	1	2	1	1	C6EHR2
P0A8I8	1	1	2	1	1	C6EK57
P75876	1	1	2	1	1	C6EI14
P75864	1	1	2	1	1	C6EI34
P0ADR6	1	1	2	1	1	C6EJ60
P36979	1	1	2	1	1	C6EKJ2
P10100	1	1	2	1	1	C6EK60
P0AA37	1	1	2	1	1	C6EAZ7
P37765	1	1	2	1	1	C6EFW8
P0AA39	1	1	2	1	1	C6EHC8
P33643	1	1	2	1	1	C6EJZ6
P75966	1	1	2	1	1	C6EGV6
P32684	1	1	2	1	1	C6EE02
P0AFW2	1	1	2	1	1	C6EI29
P37744	1	1	2	1	1	C6EAR8
P61887	1	1	2	1	1	C6EG23
