Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq
ftsX	b3462	essential	predicted transporter subunit: membrane component of ABC superfamily	2,633397688
yhhF	b3465	noessential	predicted methyltransferase	2,482555693
zntA	b3469	noessential	"zinc; cobalt and lead efflux system"	
yhhP	b3470	noessential	conserved protein required for cell growth	
dcrB	b3472	noessential	periplasmic protein	3,685570549
nikC	b3478	noessential	nickel transporter subunit -!- membrane component of ABC superfamily	
nikD	b3479	noessential	nickel transporter subunit -!- ATP-binding component of ABC superfamily	
nikE	b3480	noessential	nickel transporter subunit -!- ATP-binding component of ABC superfamily	
yhhG	b3481	noessential	"DNA-binding transcriptional repressor; Ni-binding"	
yhiI	b3487	noessential	predicted HlyD family secretion protein	2,331102553
yhiR	b3499	noessential	predicted DNA (exogenous) processing protein	1,43732293
gor	b3500	noessential	glutathione oxidoreductase	1,114041773
arsC	b3503	noessential	arsenate reductase	
hdeB	b3509	noessential	acid-resistance protein	53,81901624
hdeA	b3510	noessential	stress response protein acid-resistance protein	134,8617851
yhiU	b3513	noessential	multidrug resistance efflux transporter	
kdgK	b3526	noessential	ketodeoxygluconokinase	1,78235158
yhjJ	b3527	noessential	predicted zinc-dependent peptidase	
yhjL	b3530	noessential	cellulose synthase subunit	
yhjS	b3536	noessential	conserved protein	
yhjU	b3538	noessential	predicted inner membrane protein	
dppA	b3544	noessential	dipeptide transporter -!- periplasmic-binding component of ABC superfamily	10,21570097
yiaE	b3553	noessential	2-keto-D-gluconate reductase (glyoxalate reductase) (2-ketoaldonate reductase)	
yiaF	b3554	noessential	conserved protein	7,751405159
yiaJ	b3574	noessential	predicted DNA-binding transcriptional repressor	
sgbH	b3581	noessential	3-keto-L-gulonate 6-phosphate decarboxylase	
yiaV	b3586	noessential	"membrane fusion protein (MFP) component of efflux pump; signal anchor"	
aldB	b3588	noessential	aldehyde dehydrogenase B	
selB	b3590	noessential	selenocysteinyl-tRNA-specific translation factor	
yibA	b3594	noessential	lyase containing HEAT-repeat	
yibL	b3602	noessential	conserved protein	5,343421396
lctD	b3605	noessential	"L-lactate dehydrogenase; FMN-linked"	
yibK	b3606	noessential	predicted rRNA methylase	
gpsA	b3608	essential	glycerol-3-phosphate dehydrogenase (NAD+)	2,836116099
yibN	b3611	noessential	predicted rhodanese-related sulfurtransferase	7,467956275
yibO	b3612	noessential	"phosphoglycero mutase III; cofactor-independent"	
kbl	b3617	noessential	glycine C-acetyltransferase	
htrL	b3618	noessential	predicted protein	2,680274436
kdtA	b3633	essential	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	1,528583091
mutM	b3635	noessential	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	
dfp	b3639	essential	"fused 4'-phosphopantothenoylcysteine decarboxylase -!- phosphopantothenoylcysteine synthetase; FMN-binding"	2,487550147
dut	b3640	essential	deoxyuridinetriphosphatase	2,674262253
gmk	b3648	essential	guanylate kinase	8,572701988
spoT	b3650	essential	"bifunctional (p)ppGpp synthetase II and guanosine-3';5'-bis pyrophosphate 3'-pyrophosphohydrolase"	3,959496477
recG	b3652	noessential	ATP-dependent DNA helicase	0,680675377
yicH	b3655	noessential	conserved protein	1,2932084
nlpA	b3661	noessential	cytoplasmic membrane lipoprotein-28	2,010467794
ilvB	b3671	noessential	"acetolactate synthase I; large subunit"	
yidH	b3676	noessential	conserved inner membrane protein	
hslS	b3686	noessential	heat shock chaperone	
yidR	b3689	noessential	conserved protein	1,390484677
dnaA	b3702	essential	"chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator"	7,393099005
rnpA	b3704	essential	protein C5 component of RNase P	6,825150044
yieF	b3713	noessential	"chromate reductase; Class I; flavoprotein"	
bglG	b3723	noessential	transcriptional antiterminator of the bgl operon	
pstS	b3728	noessential	phosphate transporter subunit -!- periplasmic-binding component of ABC superfamily	132,9554438
glmU	b3730	essential	fused N-acetyl glucosamine-1-phosphate uridyltransferase -!- glucosamine-1-phosphate acetyl transferase	6,799609488
atpC	b3731	noessential	"F1 sector of membrane-bound ATP synthase; epsilon subunit"	
atpG	b3733	noessential	"F1 sector of membrane-bound ATP synthase; gamma subunit"	
gidB	b3740	noessential	"methyltransferase; SAM-dependent methyltransferase; glucose-inhibited cell-division protein"	2,540292294
asnC	b3743	noessential	DNA-binding transcriptional dual regulator	0,872985255
yieM	b3745	noessential	predicted von Willibrand factor containing protein	
yieN	b3746	noessential	fused predicted transcriptional regulator: sigma54 activator protein -!- conserved protein	2,528612877
rbsB	b3751	noessential	D-ribose transporter subunit -!- periplasmic-binding compoent of ABC superfamily	2,188958023
ilvD	b3771	noessential	dihydroxyacid dehydratase	0,839977944
ilvA	b3772	noessential	threonine deaminase	
ppiC	b3775	noessential	peptidyl-prolyl cis-trans isomerase C (rotamase C)	1,627818976
rep	b3778	noessential	DNA helicase and single-stranded DNA-dependent ATPase	1,674523334
gpp	b3779	noessential	guanosine pentaphosphatase/exopolyphosphatase	4,540985407
rhlB	b3780	noessential	ATP-dependent RNA helicase	9,77610796
rho	b3783	essential	transcription termination factor	15,30168117
hemY	b3802	noessential	predicted protoheme IX synthesis protein	2,343559567
hemX	b3803	noessential	predicted uroporphyrinogen III methylase	4,496332543
cyaY	b3807	noessential	"frataxin; iron-binding and oxidizing protein"	10,03368042
dapF	b3809	noessential	diaminopimelate epimerase	7,253417747
yigA	b3810	noessential	conserved protein	4,909489114
uvrD	b3813	noessential	DNA-dependent ATPase I and helicase II	1,595717373
corA	b3816	noessential	magnesium/nickel/cobalt transporter	5,366874496
pldA	b3821	noessential	outer membrane phospholipase A	2,852949206
recQ	b3822	noessential	ATP-dependent DNA helicase	1,4341184
pldB	b3825	noessential	lysophospholipase L(2)	3,66124303
yigN	b3832	noessential	predicted recombination limiting protein	
ubiE	b3833	noessential	"bifunctional 2-octaprenyl-6-methoxy-1;4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"	5,871596752
b3838	b3838	noessential	TatABCE protein translocation system subunit	
fadA	b3845	noessential	3-ketoacyl-CoA thiolase (thiolase I)	
fadB	b3846	noessential	fused 3-hydroxybutyryl-CoA epimerase and delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase and enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase	0,176411629
pepQ	b3847	noessential	proline dipeptidase	2,935121318
yigZ	b3848	noessential	predicted elongation factor	1,387766118
mobB	b3856	noessential	molybdopterin-guanine dinucleotide biosynthesis protein B	1,711740891
mobA	b3857	noessential	molybdopterin-guanine dinucleotide synthase	
yihD	b3858	noessential	conserved protein	3,06702323
dsbA	b3860	noessential	periplasmic protein disulfide isomerase I	3,647882757
polA	b3863	noessential	fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease	4,178249505
yihI	b3866	noessential	conserved protein	3,848857609
hemN	b3867	noessential	"coproporphyrinogen III oxidase; SAM and NAD(P)H dependent; oxygen-independent"	1,44635872
glnL	b3869	noessential	sensory histidine kinase in two-component regulatory system with GlnG	
yihK	b3871	noessential	GTP-binding protein	
yihQ	b3878	noessential	alpha-glucosidase	
yihX	b3885	noessential	predicted hydrolase	4,033173461
yihZ	b3887	noessential	D-tyr-tRNA(Tyr) deacylase	
yiiD	b3888	noessential	predicted acetyltransferase	2,095254035
fdhD	b3895	noessential	formate dehydrogenase formation protein	
frvX	b3898	noessential	"predicted endo-1;4-beta-glucanase"	
yiiM	b3910	noessential	conserved protein	3,360088534
cpxR	b3912	noessential	DNA-binding response regulator in two-component regulatory system with CpxA	3,54371108
pfkA	b3916	noessential	6-phosphofructokinase I	5,797001285
menG	b3929	noessential	ribonuclease E (RNase E) inhibitor protein	
metB	b3939	noessential	"cystathionine gamma-synthase; PLP-dependent"	1,46305426
metL	b3940	noessential	fused aspartokinase II -!- homoserine dehydrogenase II	0,830575555
katG	b3942	noessential	catalase/hydroperoxidase HPI(I)	
gldA	b3945	noessential	"glycerol dehydrogenase; NAD"	
frwB	b3950	noessential	predicted enzyme IIB component of PTS	
pflD	b3951	noessential	predicted formate acetyltransferase 2 (pyruvate formate lyase II)	0,201096003
ppc	b3956	noessential	phosphoenolpyruvate carboxylase	6,077739882
argE	b3957	noessential	acetylornithine deacetylase	1,001666634
oxyR	b3961	noessential	DNA-binding transcriptional dual regulator	2,401244959
fabR	b3963	noessential	DNA-binding transcriptional repressor	
trmA	b3965	noessential	tRNA (uracil-5-)-methyltransferase	3,673394436
murI	b3967	essential	glutamate racemase	
murB	b3972	essential	"UDP-N-acetylenolpyruvoylglucosamine reductase; FAD-binding"	6,977292617
birA	b3973	essential	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase and DNA-binding transcriptional repressor; bio-5'-AMP-binding"	2,977192821
yjaD	b3996	noessential	NADH pyrophosphatase	
hemE	b3997	noessential	uroporphyrinogen decarboxylase	3,388881167
nfi	b3998	noessential	endonuclease V	4,01985014
yjaG	b3999	noessential	conserved protein	2,608379409
hydH	b4003	noessential	sensory histidine kinase in two-component regulatory system with ZraR	
arpA	b4017	noessential	regulator of acetyl CoA synthetase	
pepE	b4021	noessential	(alpha)-aspartyl dipeptidase	
pgi	b4025	noessential	glucosephosphate isomerase	9,795853013
ubiC	b4039	noessential	chorismate pyruvate lyase	5,37827331
plsB	b4041	essential	glycerol-3-phosphate O-acyltransferase	1,762942628
yjbJ	b4045	noessential	predicted stress response protein	
qor	b4051	noessential	"quinone oxidoreductase; NADPH-dependent"	2,976157806
dnaB	b4052	essential	replicative DNA helicase	5,301667051
alr	b4053	noessential	"alanine racemase 1; PLP-binding; biosynthetic"	
yjbQ	b4056	noessential	conserved protein	5,092785935
uvrA	b4058	noessential	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	1,257423132
yjcT	b4084	noessential	D-allose kinase	
yjcW	b4087	noessential	fused D-allose transporter subunits of ABC superfamily: ATP-binding components	
rpiB	b4090	noessential	ribose 5-phosphate isomerase B/allose 6-phosphate isomerase	0,975773378
phnP	b4092	noessential	carbon-phosphorus lyase complex accessory protein	
phnN	b4094	noessential	"ribose 1;5-bisphosphokinase"	
phnK	b4097	noessential	carbon-phosphorus lyase complex subunit	
phnJ	b4098	noessential	carbon-phosphorus lyase complex subunit	
phnD	b4105	noessential	phosphonate/organophosphate ester transporter subunit -!- periplasmic binding component of ABC superfamily	8,732777343
basS	b4112	noessential	sensory histidine kinase in two-component regulatory system with BasR	
basR	b4113	noessential	DNA-binding response regulator in two-component regulatory system with BasS	1,111191042
adiA	b4117	noessential	biodegradative arginine decarboxylase	
melR	b4118	noessential	DNA-binding transcriptional dual regulator	
yjdG	b4124	noessential	DNA-binding response regulator in two-component regulatory system with DcuS	
yjdI	b4126	noessential	conserved protein	2,390741597
yjdJ	b4127	noessential	predicted acyltransferase with acyl-CoA N-acyltransferase domain	2,935768221
lysU	b4129	noessential	"lysine tRNA synthetase; inducible"	0,411782523
cadA	b4131	noessential	lysine decarboxylase 1	0,152583712
yjdC	b4135	noessential	predicted transcriptional regulator	4,684826118
aspA	b4139	noessential	aspartate ammonia-lyase	1,860885741
yjeA	b4155	noessential	predicted lysyl-tRNA synthetase	
yjeQ	b4161	essential	ribosome small subunit-dependent GTPase A	
yjeE	b4168	essential	ATPase with strong ADP affinity	5,640335341
amiB	b4169	noessential	N-acetylmuramoyl-l-alanine amidase II	1,292670344
mutL	b4170	noessential	methyl-directed mismatch repair protein	1,352839075
hflK	b4174	noessential	modulator for HflB protease specific for phage lambda cII repressor	3,345278291
hflC	b4175	noessential	modulator for HflB protease specific for phage lambda cII repressor	2,375245425
yjeB	b4178	noessential	predicted DNA-binding transcriptional regulator	3,908936181
yjfH	b4180	noessential	23S rRNA (Gm2251)-methyltransferase	
aidB	b4187	noessential	isovaleryl CoA dehydrogenase	1,617957609
yjfQ	b4191	noessential	DNA-binding transcriptional dual regulator	
ytfE	b4209	noessential	predicted regulator of cell morphogenesis and cell wall metabolism	
ytfG	b4211	noessential	NAD(P)H:quinone oxidoreductase	
ytfL	b4218	noessential	predicted inner membrane protein	1,208045609
ytfN	b4221	noessential	conserved protein	1,226465684
ytfP	b4222	noessential	conserved protein	
yjgA	b4234	noessential	conserved protein	6,997353691
nrdG	b4237	noessential	anaerobic ribonucleotide reductase activating protein	1,819072725
nrdD	b4238	noessential	anaerobic ribonucleoside-triphosphate reductase	0,70097161
mgtA	b4242	noessential	magnesium transporter	3,779449885
yjgK	b4252	noessential	conserved protein	
yjgL	b4253	noessential	predicted protein	
holC	b4259	noessential	"DNA polymerase III; chi subunit"	3,599735935
yjgR	b4263	noessential	predicted ATPase	0,787695886
idnO	b4266	noessential	5-keto-D-gluconate-5-reductase	
yi41	b4278	noessential	"KpLE2 phage-like element; IS4 predicted transposase"	
yjhG	b4297	noessential	"KpLE2 phage-like element; predicted dehydratase"	
yjhH	b4298	noessential	"KpLE2 phage-like element; predicted lyase/synthase"	
yjhI	b4299	noessential	"KpLE2 phage-like element; predicted DNA-binding transcriptional regulator"	
sgcE	b4301	noessential	"KpLE2 phage-like element; predicted epimerase"	
yjhP	b4306	noessential	"KpLE2 phage-like element; predicted methyltransferase"	
yjhT	b4310	noessential	conserved protein	0,32352863
fimB	b4312	noessential	tyrosine recombinase/inversion of on/off regulator of fimA	1,126688237
fimE	b4313	noessential	tyrosine recombinase/inversion of on/off regulator of fimA	
fimD	b4317	noessential	"outer membrane usher protein; type 1 fimbrial synthesis"	0,363873177
yjiE	b4327	noessential	predicted DNA-binding transcriptional regulator	0,511068788
yjiN	b4336	noessential	conserved inner membrane protein	0,51544387
yjiT	b4342	noessential	conserved protein	0,129012999
mcrB	b4346	noessential	"5-methylcytosine-specific restriction enzyme McrBC; subunit McrB"	
hsdS	b4348	noessential	specificity determinant for hsdM and hsdR	0,415575938
hsdM	b4349	noessential	DNA methylase M	0,925965074
mrr	b4351	noessential	methylated adenine and cytosine restriction protein	1,471636103
yjiA	b4352	noessential	predicted GTPase	1,266956346
dnaT	b4362	essential	DNA biosynthesis protein (primosomal protein I)	
fhuF	b4367	noessential	ferric iron reductase involved in ferric hydroximate transport	4,679107558
holD	b4372	noessential	"DNA polymerase III; psi subunit"	
prfC	b4375	noessential	peptide chain release factor RF-3	4,98436944
osmY	b4376	noessential	periplasmic protein	9,680731031
yjjU	b4377	noessential	predicted esterase	2,046566462
yjjV	b4378	noessential	predicted DNase	1,625635369
yjjI	b4380	noessential	conserved protein	
lplA	b4386	noessential	lipoate-protein ligase A	0,68493656
smp	b4387	noessential	conserved protein	
rob	b4396	noessential	DNA-binding transcriptional activator	15,26262506
glcF	b4467	noessential	glycolate oxidase iron-sulfur subunit	0,66976403
