Gene Name	Ordered Locus Name	VALUE	ABS_CALL	DETECTION P-VALUE	NORMALIZED BY GLOBAL INTENSITY (EXPRESSED AS PARTS PER MILLION)
mutT	b0099	196,495	P	0,00157146	54
mutY	b2961	1137,8	P	0,000493549	313
mviM	b1068	400,459	P	0,00269283	110
mviN	b1069	529,183	P	0,000603158	145
MYP1CRE	ORF1	31,4332	A	0,083592	9
MYP1CRE	ORF2	6,57472	A	0,953518	2
nac	b1988	85,3594	P	0,0151637	23
nadA	b0750	197,5	P	0,00993898	54
nadB	b2574	192,238	P	0,00108112	53
nadC	b0109	541,571	P	0,00214285	149
nadE	b1740	1489,45	P	0,000327479	409
nadR	b4390	838,377	P	0,000327479	230
nagA	b0677	922,997	P	0,000327479	254
nagB	b0678	793,237	P	0,00130539	218
nagC	b0676	1188,36	P	0,000761638	327
nagD	b0675	917,362	P	0,00175518	252
nagE	b0679	394,447	P	0,0072983	108
nanA	b3225	57,7573	A	0,140265	16
nanT	b3224	22,4703	A	0,818256	6
napA	b2206	99,3173	A	0,48748	27
napB	b2203	81,2335	A	0,197123	22
napC	b2202	217,586	P	0,00928336	60
napD	b2207	162,53	P	0,0304463	45
napF	b2208	56,7017	A	0,135974	16
napG	b2205	220,705	P	0,00622665	61
napH	b2204	120,318	P	0,0206634	33
narG	b1224	39,7366	A	0,296809	11
narH	b1225	147,85	A	0,070073	41
narI	b1227	83,2817	A	0,140265	23
narJ	b1226	183,332	P	0,0304463	50
narK	b1223	56,169	A	0,366636	15
narL	b1221	902,229	P	0,00049077	248
narP	b2193	428,743	P	0,0178004	118
narQ	b2469	88,2878	A	0,24776	24
narU	b1469	146,239	P	0,0115479	40
narV	b1465	84,9419	P	0,00260662	23
narW	b1466	182,865	P	0,0234132	50
narX	b1222	369,158	P	0,0277665	101
narY	b1467	96,5617	P	0,0133783	27
narZ	b1468	86,1127	A	0,198363	24
ndh	b1109	2924,36	P	0,000327479	804
ndk	b2518	804,114	P	0,000327479	221
nei	b0714	383,662	P	0,000402638	105
nemA	b1650	749,767	P	0,000327479	206
nfi	b3998	938,813	P	0,00108112	258
nfnB	b0578	1509,72	P	0,000603158	415
nfo	b2159	605,096	P	0,00622665	166
nfrA	b0568	129,397	A	0,254899	36
nfrB	b0569	44,7197	M	0,0620214	12
nhaA	b0019	235,883	P	0,0178004	65
nhaB	b1186	607,918	P	0,00188612	167
nhaR	b0020	133,661	P	0,000327479	37
nikA	b3476	127,785	P	0,00622665	35
nikB	b3477	294,269	A	0,0990615	81
nikC	b3478	92,9081	A	0,230151	26
nikD	b3479	221,766	M	0,0620214	61
nikE	b3480	237,045	P	0,0497698	65
ninE	b0548	10,1595	A	0,801637	3
nirB	b3365	115,499	P	0,0442012	32
nirC	b3367	9,60348	A	0,786736	3
nirD	b3366	108,342	A	0,324781	30
nlp	b3188	155,852	P	0,00379911	43
nlpA	b3661	172,684	P	0,000493549	47
nlpB	b2477	2585,49	P	0,00049077	711
nlpC	b1708	261,385	P	0,00214285	72
nlpD	b2742	6730,43	P	0,00049077	1850
nmpC	b0553	95,1068	P	0,00225703	26
nohA	b1548	165,07	A	0,0883789	45
nrdA	b2234	967,703	P	0,00188612	266
nrdB	b2235	1251,85	P	0,000402638	344
nrdD	b4238	80,8602	M	0,0625767	22
nrdE	b2675	7,52439	A	0,904277	2
nrdF	b2676	65,8609	P	0,0072983	18
nrdG	b4237	46,2035	A	0,254899	13
nrdH	b2673	172,492	P	0,00550396	47
nrdI	b2674	89,6611	A	0,150145	25
nrfA	b4070	157,432	P	0,0133783	43
nrfB	b4071	58,0621	A	0,0789057	16
nrfC	b4072	99,1514	A	0,197123	27
nrfD	b4073	206,329	P	0,0178004	57
nrfE	b4074	75,9013	A	0,266065	21
nrfF	b4075	85,7595	A	0,388213	24
nrfG	b4076	53,0123	A	0,213264	15
nth	b1633	132,375	M	0,0558844	36
ntpA	b1865	3341,52	P	0,000327479	918
nuoA	b2288	4593,63	P	0,00049077	1262
nuoB	b2287	4871,86	P	0,00049077	1339
nuoC	b2286	6724,03	P	0,000327479	1848
nuoE	b2285	6823,81	P	0,00049077	1875
nuoF	b2284	5423,74	P	0,00049077	1491
nuoG	b2283	4359,04	P	0,000612512	1198
nuoH	b2282	3543,06	P	0,00049077	974
nuoI	b2281	3564,29	P	0,000612512	980
nuoJ	b2280	2901,5	P	0,000327479	797
nuoK	b2279	2950,27	P	0,000612512	811
nuoL	b2278	3671,71	P	0,00049077	1009
nuoM	b2277	2480,05	P	0,000327479	682
nuoN	b2276	3168,56	P	0,00049077	871
nupC	b2393	1254,57	P	0,000327479	345
nupG	b2964	167,732	P	0,00108112	46
nusA	b3169	4369,1	P	0,000612512	1201
nusB	b0416	2734,73	P	0,000327479	752
nusG	b3982	1862,83	P	0,000493549	512
ogrK	b2082	158,11	P	0,00379911	43
ogt	b1335	62,6877	A	0,24776	17
ompA	b0957	12119,6	P	0,00049077	3331
ompC	b2215	12497,2	P	0,000327479	3434
ompF	b0929	8766,8	P	0,000327479	2409
ompG	b1319	35,2769	A	0,213264	10
ompR	b3405	637,459	P	0,00049077	175
ompT	b0565	4072,92	P	0,00049077	1119
ompX	b0814	5086,53	P	0,000327479	1398
oppA	b1243	638,746	P	0,00130539	176
oppB	b1244	366,826	P	0,00622665	101
oppC	b1245	381,687	P	0,000493549	105
oppD	b1246	423,273	P	0,00269283	116
oppF	b1247	300,159	P	0,0044925	82
oraA	b2698	102,63	A	0,122747	28
ordL	b1301	256,386	A	0,0957232	70
osmB	b1283	123,377	P	0,0442012	34
osmC	b1482	271,058	P	0,000327479	74
osmE	b1739	191,661	P	0,000761638	53
osmY	b4376	387,142	P	0,0204441	106
otsA	b1896	63,7662	A	0,388782	18
otsB	b1897	76,4001	A	0,110449	21
oxyR	b3961	826,575	P	0,0234132	227
pabA	b3360	69,9835	A	0,275462	19
pabB	b1812	185,352	P	0,00188612	51
pabC	b1096	268,392	P	0,00188612	74
pal	b0741	4488,92	P	0,000327479	1234
panB	b0134	2378,04	P	0,000327479	654
panC	b0133	1032,91	P	0,00116472	284
panD	b0131	847,636	P	0,00143241	233
panF	b3258	211,393	P	0,0234132	58
parC	b3019	1035,29	P	0,00782678	285
parE	b3030	462,362	P	0,00049077	127
pbpC	b2519	212,564	M	0,0558844	58
pbpG	b2134	780,53	P	0,000327479	215
pckA	b3403	1489,88	P	0,000402638	409
pcm	b2743	1448,69	P	0,00049077	398
pcnB	b0143	1313,56	P	0,00049077	361
pdhR	b0113	1164,46	P	0,00269283	320
pdxA	b0052	1330,91	P	0,00157146	366
pdxB	b2320	1012,26	P	0,00049077	278
pdxH	b1638	1072,96	P	0,00049077	295
pdxJ	b2564	1285,39	P	0,00049077	353
pdxK	b2418	453,663	P	0,00320325	125
pdxY	b1636	1001,98	P	0,0129214	275
pepA	b4260	2185,31	P	0,000402638	601
pepB	b2523	1625,52	P	0,00049077	447
pepD	b0237	2180,13	P	0,000327479	599
pepE	b4021	78,0653	A	0,0990615	21
pepN	b0932	1711,43	P	0,000327479	470
pepP	b2908	2485,7	P	0,00049077	683
pepQ	b3847	2039,39	P	0,000402638	560
pepT	b1127	205,694	P	0,00852936	57
perM	b2493	275,48	P	0,0109718	76
perR	b0254	136,323	P	0,00315926	37
pfkA	b3916	2187,57	P	0,000402638	601
pfkB	b1723	535,803	P	0,00379911	147
pflA	b0902	832,759	P	0,000327479	229
pflB	b0903	2220,86	P	0,00049077	610
pflC	b3952	173,064	P	0,00379911	48
pflD	b3951	13,3991	A	0,65838	4
pfs	b0159	1020,85	P	0,000761638	281
pgi	b4025	2718,37	P	0,000402638	747
pgk	b2926	7698,85	P	0,00049077	2116
pgm	b0688	659,603	P	0,00108112	181
pgpA	b0418	483,385	P	0,0072983	133
pgpB	b1278	427,006	P	0,000327479	117
pgsA	b1912	567,677	P	0,00049077	156
pheA	b2599	513,064	P	0,000327479	141
pheL	b2598	173,917	P	0,000976563	48
pheM	b1715	113,034	P	0,00195313	31
pheP	b0576	67,3022	A	0,304618	18
pheS	b1714	1813,12	P	0,000327479	498
pheT	b1713	3290,08	P	0,00049077	904
pheU	b4134	214,455	P	0,0320196	59
pheV	b2967	156,742	P	0,03125	43
phnA	b4108	1436,69	P	0,000327479	395
phnB	b4107	3,94214	A	0,675219	1
phnC	b4106	46,2275	A	0,477354	13
phnD	b4105	286,445	P	0,0391461	79
phnE	b4104	50,164	A	0,413046	14
phnF	b4102	9,75995	A	0,764831	3
phnG	b4101	37,9121	A	0,562354	10
phnH	b4100	93,167	A	0,34162	26
phnI	b4099	55,3744	A	0,462489	15
phnJ	b4098	317,538	P	0,036797	87
phnK	b4097	26,0855	A	0,818657	7
phnL	b4096	152,125	A	0,122747	42
phnM	b4095	56,8808	A	0,345472	16
phnN	b4094	184,698	P	0,00550396	51
phnO	b4093	215,764	P	0,0109718	59
phnP	b4092	84,2697	A	0,213264	23
phnQ	b4091	159,783	A	0,150145	44
phoA	b0383	166,621	A	0,266065	46
phoB	b0399	202,797	M	0,0625767	56
phoE	b0241	88,0508	P	0,00459071	24
phoH	b1020	229,602	P	0,00130539	63
phoP	b1130	2158,68	P	0,00049077	593
phoQ	b1129	450,976	P	0,00049077	124
phoR	b0400	23,9035	A	0,522646	7
phoU	b3724	231,675	P	0,0391461	64
phpB	b0638	246,138	A	0,0990615	68
phrB	b0708	238,834	P	0,0234132	66
pin	b1158	109,885	P	0,015454	30
pinO	b3322	83,7603	P	0,0277665	23
pitA	b3493	505,975	P	0,000402638	139
pitB	b2987	26,0077	A	0,437646	7
pldA	b3821	341,967	P	0,000892689	94
pldB	b3825	371,891	P	0,000327479	102
plsB	b4041	465,465	P	0,00993898	128
plsC	b3018	668,969	P	0,000603158	184
plsX	b1090	1705,31	P	0,000327479	469
pmbA	b4235	1102,38	P	0,000402638	303
pmrD	b2259	502,774	P	0,000402638	138
pncB	b0931	792,575	P	0,000402638	218
pnp	b3164	4878,19	P	0,00049077	1341
pntA	b1603	2802,64	P	0,000327479	770
pntB	b1602	964,853	P	0,00782678	265
pnuC	b0751	164,695	P	0,00188612	45
polA	b3863	954,953	P	0,000327479	262
polB	b0060	170,043	P	0,0421419	47
potA	b1126	573,012	P	0,000327479	157
potB	b1125	409,307	P	0,000402638	112
potC	b1124	1054,99	P	0,00379911	290
potD	b1123	1300,71	P	0,0044925	357
potE	b0692	9,46338	A	0,832862	3
potF	b0854	210,168	P	0,00157146	58
potG	b0855	12,9736	A	0,675219	4
potH	b0856	101,188	P	0,0442012	28
potI	b0857	163,285	A	0,0957232	45
poxB	b0871	234,501	A	0,0864242	64
ppa	b4226	2020,2	P	0,000402638	555
ppc	b3956	2868,39	P	0,000327479	788
ppdA	b2826	37,7498	A	0,230151	10
ppdB	b2825	221,234	P	0,00188612	61
ppdC	b2823	299,874	A	0,140265	82
ppdD	b0108	39,0945	A	0,462489	11
pphA	b1838	41,2921	A	0,216313	11
pphB	b2734	23,1062	A	0,230151	6
ppiA	b3363	545,73	P	0,000327479	150
ppiB	b0525	3322,96	P	0,00315926	913
ppiC	b3775	440,853	P	0,000612512	121
ppk	b2501	965,238	P	0,00269283	265
ppsA	b1702	1156,62	P	0,00260662	318
ppx	b2502	648,99	P	0,00130539	178
pqiA	b0950	266,88	P	0,0178004	73
pqiB	b0951	419,318	P	0,00188612	115
pqqL	b1494	18,646	A	0,681117	5
prc	b1830	831,655	P	0,000327479	229
prfA	b1211	552,905	P	0,000327479	152
prfB	b2891	4252,17	P	9,11E-06	1169
prfC	b4375	474,386	P	0,000327479	130
prfH	b0236	39,9517	A	0,432352	11
priA	b3935	175,36	P	0,00657518	48
priB	b4201	9116,64	P	0,000327479	2505
priC	b0467	470,424	P	0,00928336	129
prkB	b3355	731,228	P	0,000402638	201
prlA	b3300	10799,8	P	0,00049077	2968
prlC	b3498	353,174	P	0,00459071	97
prmA	b3259	509,959	P	0,000603158	140
proA	b0243	415,516	P	0,0178004	114
proB	b0242	778,417	P	0,000327479	214
proC	b0386	722,579	P	0,00529677	199
proK	b3545	91,6785	A	0,388213	25
proL	b2189	170,423	A	0,171387	47
proM	b3799	58,5898	A	0,304618	16
proP	b4111	2941,29	P	0,000892689	808
proS	b0194	1178,56	P	0,0044925	324
proV	b2677	1657,95	P	0,000327479	456
proW	b2678	2533,13	P	0,000327479	696
proX	b2679	3008,72	P	0,000603158	827
proY	b0402	197,115	P	0,00157146	54
prpB	b0331	177,749	A	0,0698779	49
prpC	b0333	95,3693	M	0,0625767	26
prpD	b0334	15,5684	A	0,802877	4
prpE	b0335	111,5	A	0,167138	31
prpR	b0330	19,6888	A	0,75224	5
prsA	b1207	1541,4	P	0,00049077	424
psd	b4160	1062,07	P	0,00130539	292
pshM	b3334	20,8774	A	0,28503	6
psiF	b0384	113,156	P	0,00130539	31
pspA	b1304	327,627	P	0,0178004	90
pspB	b1305	393,319	P	0,00049077	108
pspC	b1306	151,862	P	0,000402638	42
pspD	b1307	173,568	P	0,0044925	48
pspE	b1308	185,953	P	0,000892689	51
pspF	b1303	299,51	P	0,00852936	82
pssA	b2585	1230,22	P	0,000327479	338
pssR	b3763	535,451	P	0,00805664	147
pstA	b3726	464,217	P	0,00225703	128
pstB	b3725	1043,36	P	0,000612512	287
pstC	b3727	204,441	P	0,00130539	56
pstS	b3728	369,963	P	0,000761638	102
pta	b2297	1947,78	P	0,000327479	535
pth	b1204	459,454	P	0,00049077	126
ptr	b2821	869,508	P	0,00094359	239
ptrB	b1845	136,067	P	0,00782678	37
ptsA	b3947	112,621	P	0,0421419	31
ptsG	b1101	2418,49	P	0,000327479	665
ptsH	b2415	6686,06	P	0,000327479	1837
ptsI	b2416	7361,4	P	0,000327479	2023
ptsN	b3204	2588,39	P	0,000327479	711
ptsO	b3206	574,863	P	0,00116472	158
ptsP	b2829	714,368	P	0,000402638	196
ptxA	b4195	131,102	M	0,0625767	36
purA	b4177	2077,46	P	0,000493549	571
purB	b1131	774,078	P	0,00315926	213
purC	b2476	839,569	P	0,00049077	231
purD	b4005	447,827	P	0,00143241	123
purE	b0523	374,022	A	0,122747	103
purF	b2312	85,1895	P	0,036797	23
purH	b4006	568,823	P	0,000327479	156
purK	b0522	390,176	P	0,00315926	107
purL	b2557	269,187	P	0,00260662	74
purM	b2499	470,457	P	0,00188612	129
purN	b2500	672,031	P	0,00157146	185
purR	b1658	481,144	P	0,00993898	132
purT	b1849	159,13	M	0,0625767	44
purU	b1232	915,432	P	0,000327479	252
putA	b1014	630,843	P	0,00116472	173
putP	b1015	491,299	P	0,000402638	135
pykA	b1854	784,431	P	0,000327479	216
pykF	b1676	2992,22	P	0,000402638	822
pyrB	b4245	5643,82	P	0,00049077	1551
pyrC	b1062	1138,38	P	0,000327479	313
pyrD	b0945	623,944	P	0,000734887	171
pyrE	b3642	145,409	P	0,00657518	40
pyrF	b1281	384,141	P	0,00094359	106
pyrG	b2780	3767,54	P	0,00049077	1035
pyrH	b0171	3719	P	0,000327479	1022
pyrI	b4244	4767,6	P	0,00049077	1310
pyrL	b4246	148,57	P	0,00049077	41
qor	b4051	652,396	P	0,00049077	179
queA	b0405	582,793	P	0,000603158	160
racC	b1351	3,13685	A	0,913576	1
radC	b3638	123,445	P	0,00315926	34
rarD	b3819	176,073	P	0,0320196	48
rbfA	b3167	1251,77	P	0,000761638	344
rbn	b3886	535,944	P	0,000402638	147
rbsA	b3749	271,442	P	0,0115479	75
rbsB	b3751	978,975	P	0,000327479	269
rbsC	b3750	181,202	P	0,00157146	50
rbsD	b3748	1274,47	P	0,000327479	350
rbsK	b3752	273,552	P	0,00157146	75
rbsR	b3753	317,592	P	0,00320325	87
rcsA	b1951	282,165	P	0,000493549	78
rcsB	b2217	2065,57	P	0,000327479	568
rcsC	b2218	354,573	P	0,00094359	97
rcsF	b0196	1347,44	P	0,00049077	370
recA	b2699	2013,88	P	0,00157146	553
recB	b2820	789,517	P	0,00379911	217
recC	b2822	445,551	P	0,00049077	122
recD	b2819	312,764	P	0,000493549	86
recE	b1350	7,94739	A	0,635055	2
recF	b3700	340,078	P	0,00622665	93
recG	b3652	313,936	P	0,000892689	86
recJ	b2892	628,656	P	0,000612512	173
recN	b2616	318,849	P	0,00622665	88
recO	b2565	355,598	P	0,000402638	98
recQ	b3822	273,249	A	0,0957232	75
recR	b0472	1082,35	P	0,000327479	297
recT	b1349	37,6379	A	0,28503	10
relA	b2784	787,741	P	0,000734887	216
relB	b1564	212,455	P	0,00175518	58
relE	b1563	236,525	P	0,000892689	65
relF	b1562	65,6465	P	0,0421419	18
rem	b1561	68,6205	A	0,198363	19
rep	b3778	197,952	P	0,0497698	54
rfaB	b3628	312,359	P	0,00049077	86
rfaC	b3621	1041,21	P	0,000327479	286
rfaD	b3619	3717,55	P	0,000327479	1022
rfaF	b3620	1904	P	0,000327479	523
rfaG	b3631	543,491	P	0,0109718	149
rfaH	b3842	112,12	M	0,0547106	31
rfaI	b3627	399,617	P	0,000327479	110
rfaJ	b3626	421,134	P	0,000327479	116
rfaK	b3623	425,927	P	0,000327479	117
rfaL	b3622	555,618	P	0,000327479	153
rfaP	b3630	437,486	P	0,000612512	120
rfaQ	b3632	547,859	P	0,000612512	151
rfaS	b3629	164,368	P	0,00049077	45
rfaY	b3625	486,001	P	0,000327479	134
rfaZ	b3624	224,7	P	0,00049077	62
rfbA	b2039	2609,83	P	0,000327479	717
rfbB	b2041	1379,82	P	0,00049077	379
rfbC	b2038	1329,72	P	0,000327479	365
rfbD	b2040	2676,43	P	0,000761638	736
rfbX	b2037	1119,96	P	0,000327479	308
rfe	b3784	521,618	P	0,000327479	143
rffG	b3788	766,357	P	0,000493549	211
rffH	b3789	1077,22	P	0,000493549	296
rhaA	b3903	25,82	A	0,41014	7
rhaB	b3904	139,063	P	0,0109718	38
rhaD	b3902	129,069	A	0,181343	35
rhaR	b3906	10,6305	A	0,633364	3
rhaS	b3905	20,8561	A	0,477354	6
rhaT	b3907	16,3779	A	0,586954	5
rhlB	b3780	3225,95	P	0,000327479	887
rhlE	b0797	639,03	P	0,00379911	176
rho	b3783	1934,89	P	0,000327479	532
rhoL	b3782	5327,78	P	0,000327479	1464
rhsA	b3593	32,0222	P	0,0178004	9
rhsB	b3482	25,1751	P	0,00315926	7
rhsC	b0700	46,3121	A	0,3125	13
rhsD	b0497	28,0108	A	0,181744	8
rhsE	b1456	21,597	A	0,167138	6
ribA	b1277	1514,63	P	0,00049077	416
ribB	b3041	2283,68	P	0,000402638	628
ribD	b0414	1676,92	P	0,00379911	461
ribE	b1662	714,28	P	0,000612512	196
ribF	b0025	2063,1	P	0,000327479	567
ribH	b0415	2398,84	P	0,000327479	659
rimI	b4373	868,808	P	0,00049077	239
rimJ	b1066	1653,25	P	0,000327479	454
rimK	b0852	259,579	A	0,181744	71
rimL	b1427	150,997	P	0,0044925	41
rlpA	b0633	1286,45	P	0,00143241	354
rlpB	b0641	2052,63	P	0,00049077	564
rmf	b0953	357,833	P	0,0204441	98
rna	b0611	505,894	P	0,000734887	139
rnb	b1286	1256,44	P	0,00315926	345
rnc	b2567	673,621	P	0,00269283	185
rnd	b1804	256,993	P	0,000734887	71
rne	b1084	1040,73	P	0,00214285	286
rnhA	b0214	698,425	P	0,00550396	192
rnhB	b0183	626,46	P	0,00225703	172
rnk	b0610	191,42	A	0,165268	53
rnpA	b3704	2944,28	P	0,000327479	809
rnpB	b3123	7482,65	P	0,000327479	2056
rnt	b1652	651,328	P	0,00529677	179
rob	b4396	1623,14	P	0,00315926	446
rpe	b3386	1026,25	P	0,00116472	282
rph	b3643	316,356	P	0,0304463	87
rpiA	b2914	1585,62	P	0,00049077	436
rpiB	b4090	202,04	P	0,0304463	56
rpiR	b4089	324,795	P	0,0109718	89
rplA	b3984	9826,25	P	0,000327479	2700
rplB	b3317	10525	P	0,00049077	2892
rplC	b3320	10079,8	P	0,00049077	2770
rplD	b3319	11261,6	P	0,000327479	3095
rplE	b3308	13247,7	P	0,000327479	3641
rplF	b3305	11392,6	P	0,000327479	3131
rplI	b4203	3760,12	P	0,000327479	1033
rplJ	b3985	8714,98	P	0,000327479	2395
rplK	b3983	9053,82	P	0,000327479	2488
rplL	b3986	6438,01	P	0,000327479	1769
rplM	b3231	10251,9	P	0,00049077	2817
rplN	b3310	10852,2	P	0,00049077	2982
rplO	b3301	13784,4	P	0,00049077	3788
rplP	b3313	10889,2	P	0,00049077	2993
rplQ	b3294	5764,19	P	0,00049077	1584
rplR	b3304	12009,6	P	0,00049077	3300
rplS	b2606	6146,47	P	0,00049077	1689
rplT	b1716	2452,44	P	0,000327479	674
rplU	b3186	9978,28	P	0,000327479	2742
rplV	b3315	11895,2	P	0,00049077	3269
rplW	b3318	11973,4	P	0,00049077	3290
rplX	b3309	11396,1	P	0,00049077	3132
rplY	b2185	6010,24	P	0,000327479	1652
rpmA	b3185	1958,27	P	0,000603158	538
rpmB	b3637	5811,8	P	0,00049077	1597
rpmC	b3312	8302,18	P	0,000327479	2282
rpmD	b3302	10391,9	P	0,00049077	2856
rpmE	b3936	2273,13	P	0,000327479	625
rpmF	b1089	3937,58	P	0,000493549	1082
rpmG	b3636	6625,9	P	0,000327479	1821
rpmH	b3703	3352,55	P	0,000327479	921
rpmI	b1717	5284,92	P	0,00049077	1452
rpmJ	b3299	14244,4	P	0,00049077	3915
rpoA	b3295	9740,21	P	0,00049077	2677
rpoB	b3987	6431,71	P	0,000327479	1768
rpoC	b3988	1602,07	P	0,00130539	440
rpoD	b3067	751,912	P	0,000603158	207
rpoE	b2573	1842,5	P	0,000612512	506
rpoH	b3461	539,806	P	0,000612512	148
rpoN	b3202	4054,16	P	0,000327479	1114
rpoS	b2741	1742,7	P	0,00094359	479
rpoZ	b3649	3350,14	P	0,000327479	921
rpsA	b0911	8094,61	P	0,000327479	2225
rpsB	b0169	7210,68	P	0,000327479	1982
rpsC	b3314	11436,5	P	0,00049077	3143
rpsD	b3296	10637,3	P	0,00049077	2923
rpsE	b3303	13338,8	P	0,000402638	3666
rpsF	b4200	8297,27	P	0,000327479	2280
rpsG	b3341	10463,3	P	0,00049077	2875
rpsH	b3306	12845,3	P	0,00049077	3530
rpsI	b3230	6683,89	P	0,00049077	1837
rpsJ	b3321	10392,2	P	0,00049077	2856
rpsK	b3297	11159	P	0,000327479	3067
rpsL	b3342	11573,2	P	0,00049077	3180
rpsM	b3298	13267,6	P	0,00049077	3646
rpsN	b3307	13396,5	P	0,000327479	3682
rpsO	b3165	1693,72	P	0,000612512	465
rpsP	b2609	5344,1	P	0,000327479	1469
rpsQ	b3311	9084,42	P	0,000327479	2497
rpsR	b4202	8469,04	P	0,000327479	2327
rpsS	b3316	15379,4	P	0,000327479	4226
rpsT	b0023	1022,63	P	0,00049077	281
rpsU	b3065	2064,94	P	0,000327479	567
rpsV	b1480	483,063	P	0,00157146	133
rrfA	b3855	7525,51	P	0,000976563	2068
rrfB	b3971	11242,5	P	0,000244141	3090
rrfC	b3759	10942,8	P	0,000244141	3007
rrfD	b3274	13934,1	P	0,000976563	3829
rrfE	b4010	12387,9	P	0,0078125	3404
rrfF	b3272	11708	P	0,000146526	3218
rrfG	b2588	10306,3	P	0,00390625	2832
rrfH	b0205	13816,1	P	0,0078125	3797
rrlA	b3854	9153,28	P	6,59E-05	2515
rrlC	b3758	8813,26	P	5,17E-05	2422
rrlD	b3275	9356,63	P	9,82E-05	2571
rrlE	b4009	8420,92	P	0,0078125	2314
rrlG	b2589	7555,94	P	0,000146526	2076
rrlH	b0204	7048,78	P	0,015625	1937
rrsA	b3851	10408,3	P	0,03125	2860
rrsC	b3756	9225,22	P	0,00195313	2535
rrsG	b2591	7972,62	P	9,11E-06	2191
rrsH	b0201	11030,8	P	1,89E-06	3031
rseA	b2572	3520,26	P	0,00049077	967
rseB	b2571	1141,78	P	0,00049077	314
rseC	b2570	530,277	P	0,00214285	146
rspA	b1581	4,34793	A	0,921094	1
rspB	b1580	15,564	A	0,48748	4
rstA	b1608	658,19	P	0,000402638	181
rstB	b1609	406,457	P	0,000327479	112
rsuA	b2183	899,032	P	0,00143241	247
rtcA	b3420	180,701	P	0,0421419	50
rtcB	b3421	226,429	A	0,150145	62
rtcR	b3422	64,0647	A	0,388213	18
rtn	b2176	419,128	P	0,0115479	115
rus	b0550	102,913	A	0,345472	28
ruvA	b1861	683,184	P	0,00049077	188
ruvB	b1860	411,474	P	0,0151637	113
ruvC	b1863	1314,66	P	0,000761638	361
sanA	b2144	114,587	P	0,015454	31
sapA	b1294	330,997	P	0,0072983	91
sapB	b1293	126,317	M	0,0620214	35
sapC	b1292	309,329	P	0,000327479	85
sapD	b1291	324,338	P	0,00459071	89
sapF	b1290	323,701	P	0,0044925	89
sbcB	b2011	486,223	P	0,000327479	134
sbcC	b0397	242,771	P	0,0072983	67
sbcD	b0398	259,343	P	0,00143241	71
sbm	b2917	70,118	A	0,296809	19
sbmA	b0377	230,517	P	0,00379911	63
sbmC	b2009	346,611	P	0,00049077	95
sbp	b3917	169,016	P	0,0267372	46
sdaA	b1814	382,019	P	0,0115479	105
sdaB	b2797	244,545	P	0,0178004	67
sdaC	b2796	1521,33	P	0,000327479	418
sdhA	b0723	5213,61	P	0,000327479	1433
sdhB	b0724	1926,74	P	0,000402638	529
sdhC	b0721	2568,51	P	0,00049077	706
sdhD	b0722	4318,38	P	0,000327479	1187
sdiA	b1916	441,707	P	0,00175518	121
secA	b0098	1042,24	P	0,000327479	286
secB	b3609	4125,09	P	0,00049077	1134
secD	b0408	1088,31	P	0,00225703	299
secE	b3981	2081,18	P	0,000603158	572
secF	b0409	1005,33	P	0,000327479	276
secG	b3175	1111,51	P	0,0239949	305
selA	b3591	824,242	P	0,00315926	227
selB	b3590	124,322	M	0,0625767	34
selC	b3658	78,2115	A	0,304618	21
selD	b1764	2379,37	P	0,00049077	654
seqA	b0687	1374,78	P	0,000603158	378
serA	b2913	3218,71	P	0,00049077	885
serB	b4388	708,028	P	0,00622665	195
serC	b0907	2341,49	P	0,000327479	643
serS	b0893	2037,29	P	0,000327479	560
serT	b0971	105,9	P	0,00214285	29
serU	b1975	966,705	P	0,00585938	266
serV	b2695	2139,89	P	0,000327479	588
serW	b0883	2442,89	P	0,00108112	671
sfa	b0991	71,5382	P	0,00852936	20
sfcA	b1479	1435,74	P	0,000402638	395
sfhB	b2594	1257,4	P	0,000402638	346
sfmA	b0530	24,7071	A	0,324781	7
sfmC	b0531	10,9543	A	0,197123	3
sfmD	b0532	26,3018	A	0,45478	7
sfmF	b0534	24,3864	A	0,41014	7
sfmH	b0533	42,0922	A	0,105738	12
sfsA	b0146	600,413	P	0,00108112	165
sgaB	b4194	51,8088	A	0,71497	14
sgaE	b4198	97,763	A	0,167138	27
sgaH	b4196	97,5962	A	0,11649	27
sgaT	b4193	52,0531	A	0,28503	14
sgaU	b4197	146,18	P	0,0133783	40
sgbE	b3583	49,5722	A	0,324781	14
sgbH	b3581	135,733	P	0,00116472	37
sgbU	b3582	71,5648	A	0,296809	20
sgcA	b4302	112,864	P	0,036797	31
sgcC	b4304	117,354	P	0,0391461	32
sgcE	b4301	91,5539	P	0,0497698	25
sgcQ	b4303	81,3078	A	0,45478	22
sgcR	b4300	32,0515	A	0,254899	9
sgcX	b4305	62,9336	A	0,364945	17
shiA	b1981	388,208	P	0,00379911	107
sieB	b1353	0,898209	A	0,802877	0
slp	b3506	163,524	P	0,00320325	45
slpA	b0028	1360,08	P	0,000327479	374
slt	b4392	321,122	P	0,00320325	88
slyA	b1642	644,557	P	0,00049077	177
slyB	b1641	4105,02	P	0,000327479	1128
slyD	b3349	2623,43	P	0,00049077	721
slyX	b3348	234,868	P	0,000603158	65
smf	b3286	98,9039	P	0,00094359	27
smf	b3285	2092,87	P	0,00438732	575
