Accession	Molecular Function(EcoCyc)
P38134	protein tyrosine kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZTC5	transferase activity
C4ZUF9	RNA binding|rRNA binding
B1X8K4	oxidoreductase activity
B1XAE3	hydrolase activity|metal ion binding|succinyl-diaminopimelate desuccinylase activity
P52044	DNA binding
B1XBM8	hydrolase activity|GTP binding|nucleotide binding|GTP cyclohydrolase II activity|metal ion binding
C4ZT38	receptor activity
C5A188	kinase activity
B1XHG4	DNA binding
B1XFP2	methyltransferase activity|transferase activity
C5A0R5	porin activity|metal ion binding|cobalamin transporter activity
P62517	transferase activity, transferring glycosyl groups|transferase activity
B1X827	nucleotide binding|ATP binding
P05194	lyase activity|3-dehydroquinate dehydratase activity
P06710	DNA-directed DNA polymerase activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P0A982	DNA binding
P37351	isomerase activity|ribose-5-phosphate isomerase activity
B1XEV7	nucleotide binding|ATP binding
C4ZT48	DNA binding
C4ZSA3	DNA binding
C4ZYQ0	DNA binding
P07023	isomerase activity|oxidoreductase activity|prephenate dehydrogenase activity|catalytic activity|chorismate mutase activity
P41065	metal ion binding
P60340	isomerase activity
B1XG23	RNA binding|rRNA binding
C4ZWK1	transferase activity|acyltransferase activity
B1XEL1	hydrolase activity
C4ZRP9	iron-sulfur cluster binding|metal ion binding
B1XBZ3	lyase activity
C4ZXJ0	transferase activity
P76015	transferase activity|kinase activity
B1X8I3	nucleotide binding|ATP binding
B1XG20	phenylalanine-tRNA ligase activity|magnesium ion binding|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
P62399	RNA binding|rRNA binding|tRNA binding
P24554	DNA binding|nucleotide binding|metal ion binding|ATP binding
B1XEM6	aspartate carbamoyltransferase activity|transferase activity
C4ZQZ8	DNA binding
P0AEM0	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P0CE65	DNA binding
B1XDV9	metal ion binding
P31828	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
P77044	hydrolase activity|hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
B1X7I0	transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
B1XBX4	DNA binding
C4ZYF8	DNA binding
P60664	lyase activity
B1X8X7	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity|lyase activity
C4ZQQ2	DNA binding
C4ZPW3	ligase activity
B1XA41	lyase activity
P77212	oxidoreductase activity
P77488	1-deoxy-D-xylulose-5-phosphate synthase activity|transferase activity
B1X9S7	hydrolase activity
P0A9M8	transferase activity|phosphate acetyltransferase activity|acyltransferase activity
P38036	nucleotide binding|ATP binding
B1X7V6	DNA binding
C4ZUS7	unfolded protein binding|nucleotide binding|ATP binding
C4ZRP8	antiporter activity
B1XAK7	transferase activity|acetyl-CoA C-acyltransferase activity|acyltransferase activity
B1XBF6	oxidoreductase activity|dihydrodipicolinate reductase activity
P28904	hydrolase activity|hydrolase activity, acting on glycosyl bonds|alpha,alpha-phosphotrehalase activity
C4ZXB5	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|3-phenylpropionate dioxygenase activity|metal ion binding
P0ABJ3	oxidoreductase activity
P0C018	RNA binding|rRNA binding
P0CF70	DNA binding
C5A0C2	lyase activity|phosphoenolpyruvate carboxylase activity
C4ZWT4	lyase activity
C5A0B3	aldehyde-lyase activity|lyase activity
P08204	transferase activity|ribulokinase activity|nucleotide binding|kinase activity|ATP binding
P21507	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
P62601	hydrolase activity|alpha,alpha-trehalase activity|hydrolase activity, acting on glycosyl bonds
B1XDL4	DNA binding
B1XDY4	porin activity
B1X759	transferase activity, transferring glycosyl groups|transferase activity
P0AG63	RNA binding|rRNA binding
P45549	metal ion binding
P0A8W0	DNA binding
P0AEP7	tartronate-semialdehyde synthase activity|lyase activity
P08956	hydrolase activity|helicase activity|DNA binding|Type I site-specific deoxyribonuclease activity|nucleotide binding|ATP binding
B1XH89	methyltransferase activity|transferase activity
B1XAK0	protein transporter activity
P45532	transferase activity
P39306	isomerase activity|metal ion binding|L-ribulose-phosphate 4-epimerase activity
P60955	transferase activity
C4ZUR7	hydrolase activity|methyl salicylate esterase activity|methyl jasmonate esterase activity|carboxylesterase activity|methyl indole-3-acetate esterase activity
C4ZZA0	hydrolase activity|succinylglutamate desuccinylase activity|metal ion binding
P51020	4-hydroxy-2-oxovalerate aldolase activity|lyase activity|metal ion binding
C5A051	transferase activity|kinase activity
B1XB38	pyridoxine 5'-phosphate synthase activity|transferase activity, transferring nitrogenous groups|transferase activity
C5A0J5	lyase activity
C4ZRB0	oxidoreductase activity
C4ZRL9	carbonate dehydratase activity|lyase activity
C4ZY80	DNA binding
P05847	4 iron, 4 sulfur cluster binding|L(+)-tartrate dehydratase activity|lyase activity|iron-sulfur cluster binding|metal ion binding
P63389	nucleotide binding|ATP binding
D0VEY3	transferase activity|acyltransferase activity
P45578	lyase activity|S-ribosylhomocysteine lyase activity|metal ion binding
B1X9D1	oxidoreductase activity
B1XCB9	ligase activity, forming aminoacyl-tRNA and related compounds|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ligase activity|ATP binding
P68187	hydrolase activity|maltose-transporting ATPase activity|nucleotide binding|ATP binding
C4ZSI4	transferase activity|kinase activity
C4ZYY6	lyase activity|tryptophanase activity
B1XA03	oxidoreductase activity
C4ZS71	lyase activity
P0ABW3	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P33634	DNA binding
P55799	hydrolase activity|phosphoprotein phosphatase activity|metal ion binding
B1XE28	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
C4ZRK2	transferase activity, transferring glycosyl groups|transferase activity
C4ZV83	methyltransferase activity|transferase activity
P77757	transferase activity, transferring glycosyl groups|transferase activity
B1XGD3	DNA binding
B1XBF8	nucleotide binding|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|metal ion binding|ATP binding|ligase activity
P36645	nucleotide binding|ATP binding
P0A752	transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding|nicotinate-nucleotide adenylyltransferase activity
C4ZTX6	orotidine-5'-phosphate decarboxylase activity|lyase activity|carboxy-lyase activity
B1XHG3	transferase activity
B1XCR0	DNA binding|nucleotide binding|ATP binding
B1X9D9	hydrolase activity
P00914	lyase activity|deoxyribodipyrimidine photo-lyase activity|DNA binding|nucleotide binding
P19624	oxidoreductase activity|4-hydroxythreonine-4-phosphate dehydrogenase activity|metal ion binding
P16525	DNA binding
C4ZQE2	oxidoreductase activity|DNA binding
B1X881	isomerase activity|RNA binding
A4UR86	DNA binding
C4ZQ59	hydrolase activity|nucleotide binding|ATP binding
C4ZVR7	kinase activity
B1XEE8	DNA binding
B1XCG3	DNA binding
C4ZPV2	aminoacyl-tRNA ligase activity|nucleotide binding|isoleucine-tRNA ligase activity|metal ion binding|ATP binding|ligase activity
C4ZRG1	DNA binding
P18775	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1XBC1	lyase activity|phosphoenolpyruvate carboxylase activity
B1XC91	dihydrolipoyl dehydrogenase activity|oxidoreductase activity
B1X5Z3	oxidoreductase activity
P0A9A9	DNA binding|metal ion binding
C4ZUC1	oxidoreductase activity
P42640	transferase activity
B1XGY3	argininosuccinate synthase activity|nucleotide binding|ligase activity|ATP binding
P12295	hydrolase activity|hydrolase activity, acting on glycosyl bonds
C4ZVV3	hydrolase activity|nucleotide binding|ATP binding
C4ZXG3	transaminase activity|transferase activity
P77455	oxidoreductase activity
P56262	hydrolase activity|carboxymethylenebutenolidase activity
P62615	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity|transferase activity|kinase activity|nucleotide binding|ATP binding
P69441	transferase activity|nucleotide binding|kinase activity|ATP binding|adenylate kinase activity
C4ZUP2	methyltransferase activity
B1XBA2	RNA binding|rRNA binding|metal ion binding
P77611	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P76458	acetate CoA-transferase activity|transferase activity
B1X623	4 iron, 4 sulfur cluster binding|lipoate synthase activity|sulfurtransferase activity
P14376	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
B1X8W0	L-rhamnonate dehydratase activity|lyase activity|metal ion binding
P71243	transferase activity, transferring glycosyl groups|transferase activity
P0A976	DNA binding
P23836	DNA binding
C4ZUM4	precorrin-2 dehydrogenase activity|lyase activity|oxidoreductase activity|methyltransferase activity|uroporphyrin-III C-methyltransferase activity|sirohydrochlorin ferrochelatase activity|transferase activity|catalytic activity
C4ZW49	DNA binding
B1XAP8	transferase activity|kinase activity|ribose phosphate diphosphokinase activity|nucleotide binding|metal ion binding|ATP binding
B1X9Q9	transferase activity
C4ZVS6	ion channel activity
P0A9L8	oxidoreductase activity|pyrroline-5-carboxylate reductase activity
P77181	transferase activity
C4ZY07	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|methyltransferase activity|transferase activity|metal ion binding
P12995	adenosylmethionine-8-amino-7-oxononanoate transaminase activity|transaminase activity|transferase activity
P19642	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P67662	DNA binding
C4ZYL1	nucleotide binding|ATP binding
C4ZUD3	transaminase activity|transferase activity
B1XDN5	transferase activity|kinase activity|metal ion binding
B1X929	isomerase activity|pseudouridine synthase activity
P00887	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
D0VEX8	lyase activity|hydro-lyase activity
P00634	hydrolase activity|alkaline phosphatase activity|metal ion binding
P00962	glutamine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P19930	hydrolase activity|peptidase activity|aspartic-type endopeptidase activity|metal ion binding
C4ZVE2	DNA binding
C5A072	transferase activity|nucleotide binding|kinase activity|rhamnulokinase activity|ATP binding
P0A8G3	isomerase activity|glucuronate isomerase activity
C4ZTF2	kinase activity
Q47156	DNA binding
B1XGX6	polyribonucleotide nucleotidyltransferase activity|RNA binding|transferase activity|nucleotidyltransferase activity
P0A817	transferase activity|nucleotide binding|methionine adenosyltransferase activity|metal ion binding|ATP binding
B1X941	transferase activity
B1XC42	hydrolase activity|DNA binding
P0A9L3	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P30844	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
C4ZRS9	lyase activity
C4ZUV8	isomerase activity
C4ZTT9	nucleotide binding|ATP binding
B1XGU8	isomerase activity
P0C0L7	symporter activity
C4ZTJ4	hydrolase activity|serine-type peptidase activity|peptidase activity|nucleotide binding|serine-type endopeptidase activity|ATP binding
C4ZQ50	DNA binding|nucleotide binding|ATP binding
C4ZZD2	oxidoreductase activity|metal ion binding
C4ZQJ0	transferase activity|CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
P0ABY7	DNA binding|metal ion binding
P0AF32	nitrate reductase activity|oxidoreductase activity|metal ion binding
B1XE69	oxidoreductase activity|metal ion binding
B1XFT8	transferase activity
P31449	DNA binding
C4ZWW1	DNA binding
B1XD32	DNA binding
P0A705	GTP binding|nucleotide binding|translation initiation factor activity
P0AE08	oxidoreductase activity|peroxidase activity|peroxiredoxin activity|antioxidant activity
P29018	nucleotide binding|ATP binding
P0AB65	hydrolase activity|acylphosphatase activity
B8LFD6	hydrolase activity|hydrolase activity, acting on glycosyl bonds|beta-galactosidase activity|magnesium ion binding|metal ion binding
B1XCS2	lyase activity|metal ion binding|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
C4ZUE2	methionyl-tRNA formyltransferase activity|methyltransferase activity|transferase activity
P63228	hydrolase activity
P38035	DNA binding|nucleotide binding|ATP binding
B1X6M5	DNA binding
P36879	nucleotide binding|ATP binding
P60716	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|lipoate synthase activity|transferase activity|metal ion binding
C4ZQG8	methyltransferase activity|transferase activity
B1X6W1	isomerase activity|1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
B1XGC2	hydrolase activity
C4ZS51	DNA binding
B1XCH2	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P77743	DNA binding|nucleotide binding|ATP binding
C4ZR28	lyase activity
B1X7X6	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
C5A0G4	exonuclease activity
P28861	ferredoxin-NADP+ reductase activity|oxidoreductase activity
B1XCC2	ligase activity
B1X8L5	DNA binding
C4ZZP5	sigma factor activity|DNA binding
P0AD57	transferase activity|metal ion binding
P0A8E7	nucleotide binding
B1X675	nucleotide binding|ATP binding
P0A8P8	DNA binding
P09378	DNA binding
P69816	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
C5A178	kinase activity
Q9JMT3	DNA binding
C4ZRD9	kinase activity
P50457	transaminase activity|transferase activity|4-aminobutyrate transaminase activity
P46854	transferase activity|acyltransferase activity
C4ZTG3	queuine tRNA-ribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity|metal ion binding
C4ZXP1	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
B1XEG8	hydrolase activity
B1XBP2	nucleotide binding|ATP binding
C4ZWN9	iron-sulfur cluster binding|oxidoreductase activity|metal ion binding
B1XE59	iron-sulfur cluster binding|oxidoreductase activity|metal ion binding
P37009	hydrolase activity|ferric-transporting ATPase activity|nucleotide binding|ATP binding
P0A8U6	DNA binding
C4ZSR7	hydrolase activity|metallopeptidase activity|peptidase activity|ATPase activity|nucleotide binding|metal ion binding|ATP binding
P0C960	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
C4ZYP3	hydrolase activity|helicase activity|nucleotide binding|ATP binding
B1XE04	nucleotide binding|ATP binding
P52048	oxidoreductase activity
P03007	hydrolase activity|DNA-directed DNA polymerase activity|transferase activity|exonuclease activity|metal ion binding|nucleotidyltransferase activity|nuclease activity
C4ZUJ7	RNA binding|rRNA binding|tRNA binding
C4ZZ50	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
B1XCX7	lyase activity
P76241	DNA binding
C4ZZN7	DNA binding|nucleotide binding|ATP binding
P0A796	transferase activity|kinase activity|6-phosphofructokinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding
Q46938	isomerase activity|4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity
B1XEW7	DNA binding
C4ZWU3	DNA binding
P39366	metallopeptidase activity|hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
P77399	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|catalytic activity|3-hydroxyacyl-CoA dehydrogenase activity
C4ZUD7	RNA binding|tRNA binding|nucleotide binding|ATP binding
C4ZQ80	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity|lyase activity
P00961	glycine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1X656	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
C5A079	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZXJ7	oxidoreductase activity|L-lactate dehydrogenase (cytochrome) activity
B1X7F3	lyase activity
P45799	hydrolase activity|metal ion binding
P77690	transaminase activity|transferase activity
B1XA06	lyase activity
P0AC41	oxidoreductase activity|succinate dehydrogenase activity
B1X7X3	peroxidase activity
P77569	DNA binding
P0A7A2	isomerase activity|phosphoglycerate mutase activity
P12998	8-amino-7-oxononanoate synthase activity|transferase activity
C4ZS54	hydrolase activity|helicase activity|nucleotide binding|ATP binding
C4ZQ28	lyase activity
Q46843	nucleotide binding|ATP binding
C4ZQJ2	DNA binding
B1XGX2	oxidoreductase activity
B1XEN3	ornithine carbamoyltransferase activity|transferase activity
B1XDU9	isomerase activity|metal ion binding|L-ribulose-phosphate 4-epimerase activity
C4ZUH5	RNA binding|rRNA binding
P69811	transferase activity|kinase activity
P27125	symporter activity
B1X9E8	hydrolase activity|metal ion binding
B1X6M8	hydrolase activity|potassium-transporting ATPase activity|nucleotide binding|metal ion binding|ATP binding
P52697	hydrolase activity|6-phosphogluconolactonase activity
C4ZSA8	transferase activity, transferring glycosyl groups|transferase activity|ATP phosphoribosyltransferase activity|nucleotide binding|metal ion binding|ATP binding
P0AAZ4	nucleotide binding|ATP binding
P76034	DNA binding
P05637	hydrolase activity|bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
C5A012	protein transporter activity
B1X8Q3	nucleotide binding|ATP binding
P18843	NAD+ synthase activity|nucleotide binding|ligase activity|ATP binding
C4ZSI6	hydrolase activity
P31548	hydrolase activity|nucleotide binding|ATP binding
B1X9K3	methyltransferase activity|transferase activity
P0ACU5	DNA binding
P18335	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity|transaminase activity|transferase activity|succinyldiaminopimelate transaminase activity
P75678	GTP binding|nucleotide binding
P0AAG5	hydrolase activity|xenobiotic-transporting ATPase activity|nucleotide binding|ATP binding
B1X6Q9	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|ligase activity|ATP binding
P37639	DNA binding
B1XCA1	carbonate dehydratase activity|lyase activity
C4ZVF4	hydrolase activity|helicase activity|nucleotide binding|ATP binding
B1XH98	hydrolase activity|serine-type peptidase activity|peptidase activity
B1X6M1	metal ion binding
C4ZS73	methyltransferase activity|RNA binding|tRNA binding|transferase activity|nucleotide binding|ATP binding
C5A0A5	DNA binding
P77541	lyase activity|methylisocitrate lyase activity
C4ZUG4	RNA binding|rRNA binding
B1XC07	DNA binding|nucleotide binding|ATP binding
C4ZV76	DNA binding
P0ACJ8	cAMP binding|DNA binding|nucleotide binding
P0AAT4	ion channel activity
P0A6W3	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity|transferase activity|phospho-N-acetylmuramoyl-pentapeptide-transferase activity
B1X9D4	DNA binding
P77268	nucleotide binding|ATP binding
P05704	signal transducer activity
B1X6Y1	transferase activity
P0ACU0	DNA binding
P75682	lyase activity
C4ZZG1	ligase activity
B1XHM8	methyltransferase activity|transferase activity
C4ZWA5	lyase activity|metal ion binding
B1XEM9	oxidoreductase activity
C4ZSC9	lyase activity|dTDP-glucose 4,6-dehydratase activity
P76561	hydrolase activity|carboxylesterase activity
C4ZR51	peptidase activity
P43337	hydrolase activity|metal ion binding
P06988	oxidoreductase activity|histidinol dehydrogenase activity|metal ion binding
C5A0I6	DNA binding
B1XF60	DNA binding
B1X8D0	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
B1XGW5	peptidase activity
B1X7A5	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|2 iron, 2 sulfur cluster binding|biotin synthase activity|metal ion binding
C4ZUU1	DNA binding
C4ZQX3	hydrolase activity|transferase activity|nucleotide binding|catalytic activity|ATP binding|RNA binding|nucleotidyltransferase activity|metal ion binding
B1X9C1	lyase activity|galactonate dehydratase activity|metal ion binding
P76536	oxidoreductase activity|metal ion binding
P77213	nucleotide binding|ligase activity|ATP binding
P05791	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|dihydroxy-acid dehydratase activity|metal ion binding
B1XCK3	ATP binding
C4ZVR6	transaminase activity|transferase activity
C4ZWB6	DNA binding
B1XF86	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
C4ZR29	transferase activity|acetate kinase activity|nucleotide binding|kinase activity|ATP binding
P10030	DNA binding
B1XA39	transferase activity|nucleotide binding|kinase activity|ATP binding
P0A877	lyase activity|tryptophan synthase activity
C5A0R0	DNA binding
P00935	cystathionine gamma-synthase activity|transferase activity
C4ZUS3	transferase activity, transferring glycosyl groups|adenine phosphoribosyltransferase activity|transferase activity
P0A7R1	RNA binding|rRNA binding
C4ZZ40	transaminase activity|transferase activity
P08179	phosphoribosylglycinamide formyltransferase activity|transferase activity
B1X737	shikimate kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
P0AEZ3	nucleotide binding|ATP binding
P33360	hydrolase activity|nucleotide binding|ATP binding
P0AA37	isomerase activity
C4ZUU8	peptidase activity
C4ZZG9	hydrolase activity|metal ion binding
C4ZWB7	transferase activity|lipoyl(octanoyl) transferase activity|acyltransferase activity
P0AE88	DNA binding
P10908	hydrolase activity|glycerophosphodiester phosphodiesterase activity|metal ion binding
P05825	receptor activity
P0ABW0	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
Q46942	DNA binding
C5A052	DNA binding
B1XFI3	hydrolase activity
P76330	diguanylate cyclase activity|GTP binding|transferase activity|nucleotide binding|metal ion binding
C4ZXG4	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C4ZTD0	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
P0A9K3	nucleotide binding|ATP binding
B1X8Z2	oxidoreductase activity
C4ZVG2	DNA binding
P04805	glutamate-tRNA ligase activity|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
B1X7K4	methionine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
P52073	oxidoreductase activity
B1X820	hydrolase activity|nucleotide binding|ATP binding
C4ZYX1	kinase activity
C4ZZL0	DNA binding
B1XEL5	nucleotide binding|ligase activity|ATP binding
P65556	hydrolase activity|metal ion binding
P0AFU8	transferase activity|riboflavin synthase activity
P43672	nucleotide binding|ATP binding
P39409	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
C4ZXY1	nucleotide binding|ATP binding
C4ZW98	oxidoreductase activity|metal ion binding
P33593	hydrolase activity|nickel-transporting ATPase activity|nucleotide binding|ATP binding
P07813	leucine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P39286	hydrolase activity|GTP binding|nucleotide binding|metal ion binding
B1XHH6	nucleotide binding|ATP binding
C4ZVT3	DNA binding
C4ZSG6	transferase activity|nucleotide binding|kinase activity|ATP binding
B1X7I3	oxidoreductase activity|metal ion binding
C4ZQ56	asparagine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
C4ZXV2	transferase activity
B1XCC3	hydrolase activity|helicase activity|nucleotide binding|ATP binding
C4ZV15	DNA binding
C4ZR69	hydrolase activity
B1X860	hydrolase activity|ribosylpyrimidine nucleosidase activity|hydrolase activity, acting on glycosyl bonds|metal ion binding
P0ABE5	metal ion binding
C4ZWH0	DNA binding
B1X8K1	DNA binding
B1X7J0	hydrolase activity
C4ZX92	rRNA (adenine-C2-)-methyltransferase activity|4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|methyltransferase activity|transferase activity|metal ion binding
P0A887	methyltransferase activity|transferase activity
B1XCC0	DNA binding
B1XGC0	nucleotide binding|ATP binding
P76086	DNA binding
B1XGN3	transferase activity|kinase activity
P37440	oxidoreductase activity
B1XEF9	transferase activity
P0AB38	enzyme regulator activity
B1XFP6	transferase activity
P23367	nucleotide binding|ATP binding
B1X713	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1X7C6	DNA binding
P0A7J0	3,4-dihydroxy-2-butanone-4-phosphate synthase activity|lyase activity|metal ion binding
B1XCY0	hydrolase activity|lyase activity
C4ZQG7	hydrolase activity|protein-glutamate methylesterase activity|signal transducer activity
P27302	transferase activity|metal ion binding|transketolase activity
C4ZZM1	peptidase activity
C4ZVY3	oxidoreductase activity|aspartate-semialdehyde dehydrogenase activity
C4ZQ02	DNA binding
B1XGL0	exonuclease activity
B1X612	lyase activity|transferase activity
B1X6E8	RNA binding|rRNA binding
C4ZVD8	oxidoreductase activity
C4ZQE9	hydrolase activity
B1X981	transferase activity|guanylate kinase activity|nucleotide binding|kinase activity|ATP binding
B1XAM6	glutamate-ammonia ligase activity|ligase activity
P61175	RNA binding|rRNA binding
P17169	transaminase activity|transferase activity|glutamine-fructose-6-phosphate transaminase (isomerizing) activity
C5A0E4	lyase activity
P25745	RNA binding|tRNA binding|transferase activity|nucleotide binding|ATP binding
P28631	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
B1XAL4	GTP binding|nucleotide binding
P27242	transferase activity, transferring glycosyl groups|transferase activity|lipopolysaccharide N-acetylglucosaminyltransferase activity
P23481	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P0A9Q1	DNA binding
C4ZY71	DNA binding
P58035	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P03012	DNA binding
B1X8W5	hydrolase activity
C4ZT63	lyase activity|deoxyribose-phosphate aldolase activity
P13738	antiporter activity
P0AEH1	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
B1X752	DNA binding
P08142	acetolactate synthase activity|transferase activity|metal ion binding
C4ZRS4	lipid-A-disaccharide synthase activity|transferase activity, transferring glycosyl groups|transferase activity
B1X8A4	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P32711	metal ion binding
B1XA87	transferase activity|kinase activity|metal ion binding
C5A0N8	hydrolase activity|peptidase activity|methyltransferase activity
P06846	DNA binding
P0A6H8	transferase activity
P42906	hydrolase activity
P75785	transferase activity
B1X774	transferase activity, transferring glycosyl groups|starch synthase activity|transferase activity
P32676	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
C4ZRV2	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
P24205	transferase activity|acyltransferase activity
C4ZXD1	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZX57	oxidoreductase activity
C4ZT15	DNA binding
P52005	metal ion binding
C4ZXN4	orotate phosphoribosyltransferase activity|transferase activity, transferring glycosyl groups|transferase activity
B1X837	hydrolase activity
C4ZX93	nucleoside diphosphate kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
C4ZQ88	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
C4ZXL1	isomerase activity|ADP-glyceromanno-heptose 6-epimerase activity
P28629	lyase activity|arginine decarboxylase activity|carboxy-lyase activity
P0AB91	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
P0A7A9	hydrolase activity|inorganic diphosphatase activity|metal ion binding
B1XGK6	hydrolase activity|N-succinylarginine dihydrolase activity
C4ZXR3	acetolactate synthase activity|transferase activity|metal ion binding
P39346	oxidoreductase activity|L-idonate 5-dehydrogenase activity|metal ion binding
C5A0J0	transferase activity
C4ZTN3	carboxypeptidase activity
P0CF50	DNA binding
C4ZZT7	kinase activity|nucleotide binding
P46068	DNA binding
P0ACK5	DNA binding
P76553	oxidoreductase activity
C4ZTP5	hydrolase activity|aminoacyl-tRNA hydrolase activity
P0AB80	branched-chain-amino-acid transaminase activity|L-valine transaminase activity|transaminase activity|L-leucine transaminase activity|transferase activity|L-isoleucine transaminase activity
C4ZSK7	kinase activity
B1XCG4	methyltransferase activity|transferase activity
P21889	aspartate-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P55138	transferase activity|kinase activity
C4ZTQ1	glutamyl-tRNA reductase activity|oxidoreductase activity
B1X6L6	DNA binding
C4ZRJ1	hydrolase activity
