Join Name	CommonCore	CommonCore_MG1655_ref	No files found in	CommonCore Duplicates	CommonCore_MG1655_ref Duplicates
b3195	1	1	2	1	1	EG12801
b3196	1		1	1		EG12802
b3197	1	1	2	1	1	EG12803
b3198	1	1	2	1	1	EG12804
b3208	1	1	2	1	1	EG12808
b3232	1	1	2	1	1	EG12819
b3240	1		1	1		EG12822
b3241	1	1	2	1	1	EG12823
b3243	1	1	2	1	1	EG12825
b3244	1	1	2	1	1	EG12826
b3269	1	1	2	1	1	EG12835
b3270	1	1	2	1	1	EG12836
b3271	1	1	2	1	1	EG12837
b3279	1	1	2	1	1	EG12838
b3282	1	1	2	1	1	EG12840
b3283	1	1	2	1	1	EG12841
b0468	1		1	1		EG12843
b0742	1		1	1		EG12854
b1424	1		1	1		EG12859
b1853	1	1	2	1	1	EG12860
b0772	1	1	2	1	1	EG12875
b0969	1	1	2	1	1	EG12876
b0528	1		1	1		EG12879
b2604	1	1	2	1	1	EG12880
b2987	1		1	1		EG12883
b3327	1		1	1		EG12885
b3325	1		1	1		EG12890
b3326	1		1	1		EG12891
b3343	1		1	1		EG12896
b3344	1		1	1		EG12897
b3345	1		1	1		EG12898
b3347	1		1	1		EG12900
b2378	1	1	2	1	1	EG12901
b3351	1	1	2	1	1	EG12902
b3352	1	1	2	1	1	EG12903
b3353	1	1	2	1	1	EG12904
b3358	1	1	2	1	1	EG12906
b3397	1	1	2	1	1	EG12926
b3399	1	1	2	1	1	EG12928
b3400	1		1	1		EG12929
b3401	1		1	1		EG12930
b3407	1	1	2	1	1	EG12932
b3413	1		1	1		EG12934
b3421	1	1	2	1	1	EG12939
b3434	1		1	1		EG12941
b3439	1	1	2	1	1	EG12943
b3441	1		1	1		EG12945
b1596	1	1	2	1	1	EG12951
b3070	1	1	2	1	1	EG12953
b1874	1	1	2	1	1	EG12956
b2388	1	1	2	1	1	EG12957
b2710	1		1	1		EG12963
b0951	1	1	2	1	1	EG12966
b1267	1	1	2	1	1	EG12967
b2902	1		1	1		EG12971
b2921	1	1	2	1	1	EG12974
b2950	1	1	2	1	1	EG12978
b2951	1	1	2	1	1	EG12979
b2952	1		1	1		EG12980
b2953	1		1	1		EG12981
b2954	1	1	2	1	1	EG12982
b2955	1	1	2	1	1	EG12983
b2975	1		1	1		EG12995
b2989	1	1	2	1	1	EG13005
b2997	1		1	1		EG13006
b3001	1		1	1		EG13010
b3010	1	1	2	1	1	EG13013
b3011	1	1	2	1	1	EG13014
b4469	1		1	1		EG13019
b3020	1		1	1		EG13021
b3023	1	1	2	1	1	EG13024
b3025	1	1	2	1	1	EG13026
b3026	1	1	2	1	1	EG13027
b2777	1	1	2	1	1	EG13034
b2865	1		1	1		EG13048
b4464	1		1	1		EG13067
b2887	1	1	2	1	1	EG13070
b2899	1	1	2	1	1	EG13077
b2810	1	1	2	1	1	EG13082
b2812	1	1	2	1	1	EG13084
b2813	1	1	2	1	1	EG13085
b2830	1	1	2	1	1	EG13091
b2832	1		1	1		EG13092
b2834	1	1	2	1	1	EG13093
b2844	1	1	2	1	1	EG13097
b2845	1	1	2	1	1	EG13098
b2734	1		1	1		EG13102
b2735	1		1	1		EG13103
b2736	1		1	1		EG13104
b2738	1		1	1		EG13106
b2739	1		1	1		EG13107
b2747	1	1	2	1	1	EG13110
b2765	1	1	2	1	1	EG13120
b1858	1	1	2	1	1	EG13132
b0909	1	1	2	1	1	EG13133
b0949	1		1	1		EG13134
b0231	1	1	2	1	1	EG13141
b0226	1		1	1		EG13142
b0221	1	1	2	1	1	EG13145
b0222	1	1	2	1	1	EG13146
b0223	1	1	2	1	1	EG13147
b0227	1	1	2	1	1	EG13149
b0234	1		1	1		EG13153
b0225	1		1	1		EG13154
b2364	1		1	1		EG13161
b2787	1	1	2	1	1	EG13167
b2788	1		1	1		EG13168
b2789	1	1	2	1	1	EG13169
b2790	1		1	1		EG13170
b2791	1	1	2	1	1	EG13171
b2794	1	1	2	1	1	EG13173
b2775	1		1	1		EG13174
b0387	1	1	2	1	1	EG13176
b1378	1	1	2	1	1	EG13183
b2267	1		1	1		EG13184
b1380	1	1	2	1	1	EG13186
b1302	1		1	1		EG13187
b1606	1	1	2	1	1	EG13189
b2647	1		1	1		EG13213
b2562	1	1	2	1	1	EG13215
b0446	1	1	2	1	1	EG13216
b0445	1	1	2	1	1	EG13217
b0447	1	1	2	1	1	EG13218
b0186	1	1	2	1	1	EG13219
b0188	1		1	1		EG13220
b0190	1	1	2	1	1	EG13223
b0187	1		1	1		EG13224
b0890	1	1	2	1	1	EG13226
b0761	1		1	1		EG13227
b1325	1	1	2	1	1	EG13228
b0767	1		1	1		EG13231
b1993	1	1	2	1	1	EG13238
b0638	1	1	2	1	1	EG13240
b0639	1	1	2	1	1	EG13241
b0482	1		1	1		EG13244
b0484	1		1	1		EG13246
b0441	1	1	2	1	1	EG13249
b0442	1		1	1		EG13250
b0444	1	1	2	1	1	EG13252
b0454	1	1	2	1	1	EG13254
b0487	1	1	2	1	1	EG13256
b0489	1	1	2	1	1	EG13258
b0492	1		1	1		EG13261
b0493	1		1	1		EG13262
b0496	1		1	1		EG13263
b0509	1		1	1		EG13265
b0504	1		1	1		EG13267
b0479	1		1	1		EG13268
b0875	1		1	1		EG13270
b0425	1	1	2	1	1	EG13271
b0424	1	1	2	1	1	EG13272
b2251	1		1	1		EG13275
b1931	1		1	1		EG13278
b2368	1	1	2	1	1	EG13282
b2367	1		1	1		EG13283
b2948	1	1	2	1	1	EG13289
b2949	1	1	2	1	1	EG13290
b0353	1		1	1		EG13293
b0355	1	1	2	1	1	EG13295
b0357	1	1	2	1	1	EG13296
b0366	1		1	1		EG13299
b0367	1		1	1		EG13301
b0709	1	1	2	1	1	EG13304
b0710	1	1	2	1	1	EG13305
b0711	1	1	2	1	1	EG13306
b0712	1	1	2	1	1	EG13307
b0713	1		1	1		EG13308
b0715	1		1	1		EG13310
b0794	1	1	2	1	1	EG13314
b0805	1	1	2	1	1	EG13317
b0807	1		1	1		EG13319
b0815	1	1	2	1	1	EG13321
b0819	1	1	2	1	1	EG13324
b0820	1	1	2	1	1	EG13325
b0174	1	1	2	1	1	EG13329
b0212	1	1	2	1	1	EG13330
b1339	1		1	1		EG13353
b1341	1		1	1		EG13355
b1342	1	1	2	1	1	EG13356
b1344	1	1	2	1	1	EG13357
b1329	1		1	1		EG13376
b1976	1	1	2	1	1	EG13377
b1978	1		1	1		EG13378
b2015	1	1	2	1	1	EG13392
b2520	1	1	2	1	1	EG13394
b2529	1	1	2	1	1	EG13395
b2531	1	1	2	1	1	EG13397
b2028	1	1	2	1	1	EG13407
b1642	1	1	2	1	1	EG13408
b1641	1		1	1		EG13409
b3052	1	1	2	1	1	EG13416
b1646	1	1	2	1	1	EG13419
b1651	1	1	2	1	1	EG13421
b0874	1		1	1		EG13426
b1107	1	1	2	1	1	EG13433
b1111	1	1	2	1	1	EG13435
b1113	1	1	2	1	1	EG13437
b1116	1		1	1		EG13439
b1117	1	1	2	1	1	EG13440
b1118	1		1	1		EG13441
b1119	1		1	1		EG13442
b1134	1	1	2	1	1	EG13446
b1135	1	1	2	1	1	EG13447
b2532	1	1	2	1	1	EG13452
b2536	1	1	2	1	1	EG13454
b2537	1		1	1		EG13455
b2541	1		1	1		EG13459
b2542	1		1	1		EG13460
b2556	1		1	1		EG13461
b2543	1		1	1		EG13462
b2544	1	1	2	1	1	EG13463
b2546	1		1	1		EG13465
b2547	1	1	2	1	1	EG13466
b2548	1	1	2	1	1	EG13467
b2550	1	1	2	1	1	EG13469
b0825	1	1	2	1	1	EG13471
b0833	1		1	1		EG13476
b0834	1	1	2	1	1	EG13477
b0835	1	1	2	1	1	EG13478
b0837	1	1	2	1	1	EG13480
b0838	1		1	1		EG13481
b1771	1		1	1		EG13483
b1772	1	1	2	1	1	EG13484
b1773	1		1	1		EG13485
b1774	1	1	2	1	1	EG13486
b1776	1	1	2	1	1	EG13488
b1781	1	1	2	1	1	EG13491
b1783	1		1	1		EG13493
b1784	1	1	2	1	1	EG13494
b1785	1	1	2	1	1	EG13495
b1786	1		1	1		EG13496
b1787	1		1	1		EG13497
b1790	1		1	1		EG13499
b1791	1		1	1		EG13500
b1792	1	1	2	1	1	EG13501
b1794	1	1	2	1	1	EG13502
b1795	1		1	1		EG13503
b1798	1	1	2	1	1	EG13505
b1799	1		1	1		EG13506
b1800	1		1	1		EG13507
b1801	1		1	1		EG13508
b1807	1	1	2	1	1	EG13512
b1808	1	1	2	1	1	EG13513
b1809	1	1	2	1	1	EG13514
b1815	1	1	2	1	1	EG13516
b1816	1	1	2	1	1	EG13517
b2667	1		1	1		EG13524
b2689	1	1	2	1	1	EG13529
b0600	1		1	1		EG13531
b0603	1		1	1		EG13534
b0604	1	1	2	1	1	EG13535
b0608	1		1	1		EG13537
b0613	1		1	1		EG13539
b1650	1	1	2	1	1	EG13546
b2062	1	1	2	1	1	EG13566
b2061	1	1	2	1	1	EG13567
b2060	1	1	2	1	1	EG13568
b2059	1	1	2	1	1	EG13569
b2058	1	1	2	1	1	EG13570
b2047	1	1	2	1	1	EG13575
b2046	1	1	2	1	1	EG13576
b2042	1	1	2	1	1	EG13578
b0305	1		1	1		EG13581
b0316	1		1	1		EG13586
b0325	1		1	1		EG13595
b0328	1		1	1		EG13598
b0330	1		1	1		EG13600
b0331	1		1	1		EG13601
b0334	1		1	1		EG13603
b0335	1		1	1		EG13604
b0402	1		1	1		EG13609
b0419	1	1	2	1	1	EG13611
b0420	1	1	2	1	1	EG13612
b0426	1	1	2	1	1	EG13613
b0427	1	1	2	1	1	EG13614
b0514	1		1	1		EG13621
b0570	1		1	1		EG13642
b0644	1		1	1		EG13647
b0647	1		1	1		EG13650
b0658	1	1	2	1	1	EG13654
b0659	1		1	1		EG13655
b0660	1	1	2	1	1	EG13656
b0661	1	1	2	1	1	EG13657
b0662	1	1	2	1	1	EG13658
b0752	1		1	1		EG13662
b0770	1		1	1		EG13665
b0790	1	1	2	1	1	EG13672
b0792	1	1	2	1	1	EG13674
b0841	1	1	2	1	1	EG13676
b0866	1	1	2	1	1	EG13686
b0867	1	1	2	1	1	EG13687
b0870	1	1	2	1	1	EG13690
b0872	1	1	2	1	1	EG13691
b0878	1	1	2	1	1	EG13694
b0879	1		1	1		EG13695
b0842	1	1	2	1	1	EG13696
b0900	1		1	1		EG13698
b0906	1	1	2	1	1	EG13700
b0927	1	1	2	1	1	EG13704
b0934	1		1	1		EG13705
b0947	1	1	2	1	1	EG13716
b0948	1	1	2	1	1	EG13717
b0955	1	1	2	1	1	EG13718
b0960	1	1	2	1	1	EG13721
b0965	1	1	2	1	1	EG13723
b0967	1	1	2	1	1	EG13725
b0968	1		1	1		EG13726
b0982	1		1	1		EG13727
b0983	1		1	1		EG13728
b0984	1		1	1		EG13729
b1432	1		1	1		EG13756
b1434	1		1	1		EG13757
b1433	1		1	1		EG13758
b1435	1		1	1		EG13759
b1439	1		1	1		EG13761
b1440	1		1	1		EG13762
b1441	1		1	1		EG13763
b1442	1		1	1		EG13764
b1443	1		1	1		EG13765
b1444	1		1	1		EG13766
b1447	1		1	1		EG13769
b1448	1		1	1		EG13770
b1449	1		1	1		EG13772
b1450	1		1	1		EG13773
b1451	1		1	1		EG13774
b1463	1	1	2	1	1	EG13780
b1490	1		1	1		EG13793
b1499	1	1	2	1	1	EG13797
b1501	1	1	2	1	1	EG13798
b1519	1		1	1		EG13812
b1520	1		1	1		EG13813
b1522	1		1	1		EG13814
b1524	1		1	1		EG13816
b1525	1	1	2	1	1	EG13817
b1526	1		1	1		EG13818
b1542	1	1	2	1	1	EG13821
b1582	1	1	2	1	1	EG13839
b1593	1	1	2	1	1	EG13849
b1595	1	1	2	1	1	EG13850
b0571	1	1	2	1	1	EG13851
b1006	1		1	1		EG13853
b1007	1	1	2	1	1	EG13854
b1009	1		1	1		EG13856
b1010	1	1	2	1	1	EG13857
b1011	1	1	2	1	1	EG13858
b1022	1		1	1		EG13863
b1023	1		1	1		EG13864
b1025	1		1	1		EG13866
b1045	1	1	2	1	1	EG13874
b1046	1	1	2	1	1	EG13875
b1069	1		1	1		EG13880
b1162	1		1	1		EG13886
b1163	1		1	1		EG13887
b1168	1		1	1		EG13888
b1180	1	1	2	1	1	EG13894
b1191	1		1	1		EG13896
b1201	1		1	1		EG13902
b1202	1		1	1		EG13903
b1297	1		1	1		EG13908
b1328	1		1	1		EG13923
b1330	1	1	2	1	1	EG13924
b1599	1		1	1		EG13926
b1600	1		1	1		EG13927
b1601	1		1	1		EG13928
b1605	1	1	2	1	1	EG13930
b1624	1	1	2	1	1	EG13931
b1627	1	1	2	1	1	EG13933
b1628	1	1	2	1	1	EG13934
b1629	1		1	1		EG13935
b1630	1	1	2	1	1	EG13936
b1631	1	1	2	1	1	EG13937
b1632	1		1	1		EG13938
b1634	1	1	2	1	1	EG13939
b1636	1	1	2	1	1	EG13940
b1640	1	1	2	1	1	EG13942
b1644	1		1	1		EG13944
b1645	1		1	1		EG13945
b1649	1	1	2	1	1	EG13947
b1655	1		1	1		EG13949
b1657	1		1	1		EG13950
b1671	1		1	1		EG13958
b1674	1	1	2	1	1	EG13959
b1680	1	1	2	1	1	EG13962
b1681	1	1	2	1	1	EG13963
b1682	1	1	2	1	1	EG13964
b1683	1	1	2	1	1	EG13965
b1686	1	1	2	1	1	EG13968
b1687	1	1	2	1	1	EG13969
b1696	1	1	2	1	1	EG13975
b1706	1		1	1		EG13980
b1725	1	1	2	1	1	EG13986
b1727	1	1	2	1	1	EG13988
b1729	1		1	1		EG13990
b1741	1	1	2	1	1	EG13993
b1746	1		1	1		EG13997
b1748	1	1	2	1	1	EG13999
b1753	1	1	2	1	1	EG14003
b1757	1	1	2	1	1	EG14007
b1759	1	1	2	1	1	EG14009
b1821	1	1	2	1	1	EG14012
b1678	1	1	2	1	1	EG14015
b1827	1	1	2	1	1	EG14018
b1832	1		1	1		EG14020
b1838	1	1	2	1	1	EG14026
b1840	1	1	2	1	1	EG14028
b1841	1		1	1		EG14029
b1844	1	1	2	1	1	EG14031
b1880	1		1	1		EG14035
b1918	1		1	1		EG14037
b1919	1		1	1		EG14038
b1969	1	1	2	1	1	EG14045
b1970	1	1	2	1	1	EG14046
b1971	1		1	1		EG14047
b1972	1	1	2	1	1	EG14048
b2063	1	1	2	1	1	EG14051
b2074	1	1	2	1	1	EG14056
b2075	1	1	2	1	1	EG14057
b2076	1		1	1		EG14058
b2081	1	1	2	1	1	EG14060
b2100	1		1	1		EG14065
b2101	1	1	2	1	1	EG14066
b2103	1	1	2	1	1	EG14068
b2104	1		1	1		EG14069
b2105	1		1	1		EG14070
b2106	1		1	1		EG14071
b2175	1	1	2	1	1	EG14076
b2176	1	1	2	1	1	EG14077
b2245	1		1	1		EG14083
b2246	1		1	1		EG14084
b2247	1		1	1		EG14085
b2248	1		1	1		EG14086
b2249	1	1	2	1	1	EG14087
b2253	1		1	1		EG14089
b2254	1	1	2	1	1	EG14090
b2255	1	1	2	1	1	EG14091
b2257	1	1	2	1	1	EG14093
b2270	1		1	1		EG14095
b2290	1	1	2	1	1	EG14101
b2292	1		1	1		EG14103
b2293	1	1	2	1	1	EG14104
b2301	1	1	2	1	1	EG14109
b2302	1	1	2	1	1	EG14110
b2304	1	1	2	1	1	EG14111
b2322	1		1	1		EG14113
b2324	1		1	1		EG14114
b2341	1	1	2	1	1	EG14127
b2342	1	1	2	1	1	EG14128
b2380	1	1	2	1	1	EG14148
b2381	1	1	2	1	1	EG14149
b2382	1	1	2	1	1	EG14150
b2387	1		1	1		EG14155
b2392	1	1	2	1	1	EG14157
b2431	1		1	1		EG14165
b2434	1	1	2	1	1	EG14168
b2412	1	1	2	1	1	EG14169
b2453	1	1	2	1	1	EG14183
b2458	1	1	2	1	1	EG14188
b2463	1	1	2	1	1	EG14193
b2475	1		1	1		EG14197
b2379	1	1	2	1	1	EG14198
b2494	1	1	2	1	1	EG14199
b2495	1		1	1		EG14200
b2496	1	1	2	1	1	EG14201
b2503	1		1	1		EG14202
b2511	1	1	2	1	1	EG14207
b2512	1	1	2	1	1	EG14208
b2519	1	1	2	1	1	EG14210
b2492	1		1	1		EG14220
b2493	1		1	1		EG14221
b2595	1	1	2	1	1	EG14222
b2583	1	1	2	1	1	EG14223
b2584	1	1	2	1	1	EG14224
b2611	1		1	1		EG14226
b0572	1		1	1		EG14233
b0457	1	1	2	1	1	EG14237
b0459	1		1	1		EG14239
b0465	1	1	2	1	1	EG14240
b0881	1	1	2	1	1	EG14241
b0990	1		1	1		EG14243
b1266	1	1	2	1	1	EG14257
b2303	1	1	2	1	1	EG14263
b1987	1	1	2	1	1	EG14264
b1988	1	1	2	1	1	EG14265
b1073	1	1	2	1	1	EG14266
b1074	1	1	2	1	1	EG14267
b1075	1		1	1		EG14268
b1076	1		1	1		EG14269
b1077	1	1	2	1	1	EG14270
b1078	1	1	2	1	1	EG14271
b1081	1	1	2	1	1	EG14272
b1879	1		1	1		EG14273
b0350	1		1	1		EG14274
b2346	1	1	2	1	1	EG14276
b0917	1		1	1		EG14287
b0296	1		1	1		EG14326
b1195	1		1	1		EG14338
b0449	1	1	2	1	1	EG14374
b3528	1		1	1		EG20044
b4478	1		1	1		EG20050
b0125	1	1	2	1	1	EG20098
b3350	1		1	1		EG20110
b0578	1	1	2	1	1	EG20151
b2297	1		1	1		EG20173
b1981	1	1	2	1	1	EG20205
b0417	1	1	2	1	1	EG20227
b4323	1		1	1		EG20248
b2407	1		1	1		EG20250
b3566	1	1	2	1	1	EG20252
b3569	1	1	2	1	1	EG20253
b1294	1	1	2	1	1	EG20254
b1293	1	1	2	1	1	EG20255
b1292	1	1	2	1	1	EG20256
b1080	1		1	1		EG20265
b1941	1		1	1		EG20266
b0346	1		1	1		EG20276
b3186	1		1	1		EG50001
b3185	1		1	1		EG50002
b1094	1		1	1		EG50003
b2441	1		1	1		EG50006
b0356	1	1	2	1	1	EG50010
b3177	1	1	2	1	1	EG50011
b0002		1	1		1	b0002
b0003		1	1		1	b0003
b0004		1	1		1	b0004
b0010		1	1		1	b0010
b0013		1	1		1	b0013
b0034		1	1		1	b0034
b0036		1	1		1	b0036
b0037		1	1		1	b0037
b0039		1	1		1	b0039
b0040		1	1		1	b0040
b0041		1	1		1	b0041
b0043		1	1		1	b0043
b0045		1	1		1	b0045
b0093		1	1		1	b0093
b0097		1	1		1	b0097
b0102		1	1		1	b0102
b0104		1	1		1	b0104
b0111		1	1		1	b0111
b0113		1	1		1	b0113
b0119		1	1		1	b0119
b0120		1	1		1	b0120
b0122		1	1		1	b0122
b0127		1	1		1	b0127
b0129		1	1		1	b0129
b0130		1	1		1	b0130
b0132		1	1		1	b0132
b0146		1	1		1	b0146
b0162		1	1		1	b0162
b0163		1	1		1	b0163
b0189		1	1		1	b0189
b0209		1	1		1	b0209
b0213		1	1		1	b0213
b0219		1	1		1	b0219
b0220		1	1		1	b0220
b0224		1	1		1	b0224
b0238		1	1		1	b0238
b0239		1	1		1	b0239
b0241		1	1		1	b0241
b0343		1	1		1	b0343
b0354		1	1		1	b0354
b0368		1	1		1	b0368
b0376		1	1		1	b0376
b0379		1	1		1	b0379
b0380		1	1		1	b0380
b0382		1	1		1	b0382
b0386		1	1		1	b0386
b0388		1	1		1	b0388
b0390		1	1		1	b0390
b0393		1	1		1	b0393
b0401		1	1		1	b0401
b0403		1	1		1	b0403
b0410		1	1		1	b0410
b0411		1	1		1	b0411
b0434		1	1		1	b0434
b0456		1	1		1	b0456
b0458		1	1		1	b0458
b0467		1	1		1	b0467
b0476		1	1		1	b0476
b0477		1	1		1	b0477
b0490		1	1		1	b0490
b0512		1	1		1	b0512
b0513		1	1		1	b0513
b0515		1	1		1	b0515
b0517		1	1		1	b0517
b0518		1	1		1	b0518
b0520		1	1		1	b0520
b0521		1	1		1	b0521
b0573		1	1		1	b0573
b0574		1	1		1	b0574
b0579		1	1		1	b0579
b0581		1	1		1	b0581
b0585		1	1		1	b0585
b0599		1	1		1	b0599
b0601		1	1		1	b0601
b0607		1	1		1	b0607
b0611		1	1		1	b0611
b0612		1	1		1	b0612
b0614		1	1		1	b0614
b0615		1	1		1	b0615
b0616		1	1		1	b0616
b0619		1	1		1	b0619
b0620		1	1		1	b0620
b0631		1	1		1	b0631
b0643		1	1		1	b0643
b0653		1	1		1	b0653
b0674		1	1		1	b0674
b0676		1	1		1	b0676
b0678		1	1		1	b0678
b0681		1	1		1	b0681
b0682		1	1		1	b0682
b0687		1	1		1	b0687
b0707		1	1		1	b0707
b0714		1	1		1	b0714
b0721		1	1		1	b0721
b0722		1	1		1	b0722
b0735		1	1		1	b0735
b0751		1	1		1	b0751
b0785		1	1		1	b0785
b0786		1	1		1	b0786
b0789		1	1		1	b0789
b0793		1	1		1	b0793
b0800		1	1		1	b0800
b0801		1	1		1	b0801
b0804		1	1		1	b0804
b0806		1	1		1	b0806
b0811		1	1		1	b0811
b0814		1	1		1	b0814
b0817		1	1		1	b0817
b0822		1	1		1	b0822
b0823		1	1		1	b0823
b0824		1	1		1	b0824
b0829		1	1		1	b0829
b0830		1	1		1	b0830
b0832		1	1		1	b0832
b0843		1	1		1	b0843
b0844		1	1		1	b0844
b0846		1	1		1	b0846
b0847		1	1		1	b0847
b0848		1	1		1	b0848
b0849		1	1		1	b0849
b0853		1	1		1	b0853
b0858		1	1		1	b0858
b0859		1	1		1	b0859
b0869		1	1		1	b0869
b0873		1	1		1	b0873
b0876		1	1		1	b0876
b0877		1	1		1	b0877
b0895		1	1		1	b0895
b0905		1	1		1	b0905
b0919		1	1		1	b0919
b0921		1	1		1	b0921
b0922		1	1		1	b0922
b0923		1	1		1	b0923
b0926		1	1		1	b0926
b0929		1	1		1	b0929
b0935		1	1		1	b0935
b0936		1	1		1	b0936
b0937		1	1		1	b0937
b0946		1	1		1	b0946
b0950		1	1		1	b0950
b0952		1	1		1	b0952
b0954		1	1		1	b0954
b0956		1	1		1	b0956
b0959		1	1		1	b0959
b0961		1	1		1	b0961
b0962		1	1		1	b0962
b0964		1	1		1	b0964
b0966		1	1		1	b0966
b0972		1	1		1	b0972
b0974		1	1		1	b0974
b0976		1	1		1	b0976
b0977		1	1		1	b0977
b0980		1	1		1	b0980
b0992		1	1		1	b0992
b0994		1	1		1	b0994
b0996		1	1		1	b0996
b0997		1	1		1	b0997
b0998		1	1		1	b0998
b0999		1	1		1	b0999
b1008		1	1		1	b1008
b1012		1	1		1	b1012
b1018		1	1		1	b1018
b1019		1	1		1	b1019
b1034		1	1		1	b1034
b1035		1	1		1	b1035
b1036		1	1		1	b1036
b1037		1	1		1	b1037
b1039		1	1		1	b1039
b1041		1	1		1	b1041
b1043		1	1		1	b1043
b1047		1	1		1	b1047
b1049		1	1		1	b1049
b1051		1	1		1	b1051
b1055		1	1		1	b1055
b1059		1	1		1	b1059
b1060		1	1		1	b1060
b1061		1	1		1	b1061
b1063		1	1		1	b1063
b1064		1	1		1	b1064
b1070		1	1		1	b1070
b1079		1	1		1	b1079
b1104		1	1		1	b1104
b1105		1	1		1	b1105
b1106		1	1		1	b1106
b1108		1	1		1	b1108
b1112		1	1		1	b1112
b1120		1	1		1	b1120
b1127		1	1		1	b1127
b1128		1	1		1	b1128
b1132		1	1		1	b1132
b1177		1	1		1	b1177
b1179		1	1		1	b1179
b1181		1	1		1	b1181
b1190		1	1		1	b1190
b1192		1	1		1	b1192
b1193		1	1		1	b1193
b1194		1	1		1	b1194
b1209		1	1		1	b1209
b1213		1	1		1	b1213
b1218		1	1		1	b1218
b1219		1	1		1	b1219
b1220		1	1		1	b1220
b1232		1	1		1	b1232
b1237		1	1		1	b1237
b1248		1	1		1	b1248
b1250		1	1		1	b1250
b1263		1	1		1	b1263
b1273		1	1		1	b1273
b1278		1	1		1	b1278
b1284		1	1		1	b1284
b1285		1	1		1	b1285
b1306		1	1		1	b1306
b1308		1	1		1	b1308
b1321		1	1		1	b1321
b1322		1	1		1	b1322
b1332		1	1		1	b1332
b1340		1	1		1	b1340
b1381		1	1		1	b1381
b1413		1	1		1	b1413
b1414		1	1		1	b1414
b1462		1	1		1	b1462
b1481		1	1		1	b1481
b1491		1	1		1	b1491
b1493		1	1		1	b1493
b1497		1	1		1	b1497
b1531		1	1		1	b1531
b1540		1	1		1	b1540
b1585		1	1		1	b1585
b1589		1	1		1	b1589
b1591		1	1		1	b1591
b1594		1	1		1	b1594
b1598		1	1		1	b1598
b1607		1	1		1	b1607
b1608		1	1		1	b1608
b1609		1	1		1	b1609
b1610		1	1		1	b1610
b1612		1	1		1	b1612
b1613		1	1		1	b1613
b1614		1	1		1	b1614
b1617		1	1		1	b1617
b1618		1	1		1	b1618
b1619		1	1		1	b1619
b1622		1	1		1	b1622
b1639		1	1		1	b1639
b1647		1	1		1	b1647
b1652		1	1		1	b1652
b1664		1	1		1	b1664
b1669		1	1		1	b1669
b1676		1	1		1	b1676
b1685		1	1		1	b1685
b1691		1	1		1	b1691
b1692		1	1		1	b1692
b1693		1	1		1	b1693
b1697		1	1		1	b1697
b1698		1	1		1	b1698
b1699		1	1		1	b1699
b1700		1	1		1	b1700
b1722		1	1		1	b1722
b1724		1	1		1	b1724
b1726		1	1		1	b1726
b1728		1	1		1	b1728
b1731		1	1		1	b1731
b1733		1	1		1	b1733
b1734		1	1		1	b1734
b1735		1	1		1	b1735
b1736		1	1		1	b1736
b1737		1	1		1	b1737
b1739		1	1		1	b1739
b1740		1	1		1	b1740
b1742		1	1		1	b1742
b1744		1	1		1	b1744
b1745		1	1		1	b1745
b1747		1	1		1	b1747
b1752		1	1		1	b1752
b1769		1	1		1	b1769
b1770		1	1		1	b1770
b1782		1	1		1	b1782
b1804		1	1		1	b1804
b1806		1	1		1	b1806
b1810		1	1		1	b1810
b1818		1	1		1	b1818
b1819		1	1		1	b1819
b1820		1	1		1	b1820
b1828		1	1		1	b1828
b1831		1	1		1	b1831
b1833		1	1		1	b1833
b1834		1	1		1	b1834
b1835		1	1		1	b1835
b1837		1	1		1	b1837
b1843		1	1		1	b1843
b1847		1	1		1	b1847
b1862		1	1		1	b1862
b1865		1	1		1	b1865
b1867		1	1		1	b1867
b1868		1	1		1	b1868
b1869		1	1		1	b1869
b1870		1	1		1	b1870
b1871		1	1		1	b1871
b1873		1	1		1	b1873
b1875		1	1		1	b1875
b1878		1	1		1	b1878
b1881		1	1		1	b1881
b1895		1	1		1	b1895
b1896		1	1		1	b1896
b1897		1	1		1	b1897
b1902		1	1		1	b1902
b1905		1	1		1	b1905
b1967		1	1		1	b1967
b1968		1	1		1	b1968
b1973		1	1		1	b1973
b1982		1	1		1	b1982
b1983		1	1		1	b1983
b2007		1	1		1	b2007
b2008		1	1		1	b2008
b2009		1	1		1	b2009
b2011		1	1		1	b2011
b2016		1	1		1	b2016
b2019		1	1		1	b2019
b2021		1	1		1	b2021
b2029		1	1		1	b2029
b2043		1	1		1	b2043
b2044		1	1		1	b2044
b2045		1	1		1	b2045
b2050		1	1		1	b2050
b2051		1	1		1	b2051
b2054		1	1		1	b2054
b2055		1	1		1	b2055
b2057		1	1		1	b2057
b2064		1	1		1	b2064
b2065		1	1		1	b2065
b2070		1	1		1	b2070
b2080		1	1		1	b2080
b2085		1	1		1	b2085
b2099		1	1		1	b2099
b2102		1	1		1	b2102
b2124		1	1		1	b2124
b2127		1	1		1	b2127
b2129		1	1		1	b2129
b2131		1	1		1	b2131
b2135		1	1		1	b2135
b2137		1	1		1	b2137
b2143		1	1		1	b2143
b2144		1	1		1	b2144
b2146		1	1		1	b2146
b2147		1	1		1	b2147
b2163		1	1		1	b2163
b2174		1	1		1	b2174
b2184		1	1		1	b2184
b2186		1	1		1	b2186
b2203		1	1		1	b2203
b2205		1	1		1	b2205
b2207		1	1		1	b2207
